date,반도체대장주
2022-06-23,3.07503
2022-06-24,3.07503
2022-06-25,0.861
2022-06-26,1.47601
2022-06-27,1.47601
2022-06-28,1.59901
2022-06-29,1.10701
2022-07-02,1.23001
2022-07-03,1.72201
2022-07-04,0.738
2022-07-05,0.861
2022-07-06,0.738
2022-07-07,1.47601
2022-07-08,2.70602
2022-07-09,0.615
2022-07-11,0.615
2022-07-12,0.615
2022-07-13,1.10701
2022-07-14,1.10701
2022-07-15,1.10701
2022-07-16,0.861
2022-07-17,1.35301
2022-07-18,3.19803
2022-07-19,2.09102
2022-07-20,4.42804
2022-07-21,5.78105
2022-07-22,4.67404
2022-07-23,0.861
2022-07-24,1.47601
2022-07-25,2.70602
2022-07-27,1.10701
2022-07-28,2.70602
2022-07-29,1.35301
2022-08-01,1.35301
2022-08-02,1.35301
2022-08-03,3.19803
2022-08-04,2.21402
2022-08-05,0.738
2022-08-06,0.738
2022-08-07,0.861
2022-08-08,2.09102
2022-08-09,3.56703
2022-08-10,4.42804
2022-08-11,2.82902
2022-08-12,3.81303
2022-08-13,1.47601
2022-08-14,1.59901
2022-08-15,1.59901
2022-08-16,2.09102
2022-08-17,1.10701
2022-08-18,1.35301
2022-08-19,1.23001
2022-08-20,0.984
2022-08-21,0.738
2022-08-23,0.738
2022-08-24,1.84501
2022-08-25,2.46002
2022-08-26,1.47601
2022-08-27,0.615
2022-08-28,0.861
2022-08-30,1.23001
2022-08-31,0.738
2022-09-01,1.23001
2022-09-02,1.35301
2022-09-03,0.738
2022-09-05,0.615
2022-09-06,0.615
2022-09-07,1.59901
2022-09-08,0.615
2022-09-13,0.615
2022-09-14,1.47601
2022-09-16,1.23001
2022-09-18,0.615
2022-09-19,1.23001
2022-09-20,1.10701
2022-09-21,0.984
2022-09-23,1.47601
2022-09-27,0.615
2022-09-30,1.35301
2022-10-01,1.59901
2022-10-03,0.738
2022-10-04,1.96801
2022-10-05,2.46002
2022-10-06,1.59901
2022-10-07,2.21402
2022-10-10,0.738
2022-10-12,0.738
2022-10-13,0.984
2022-10-14,1.23001
2022-10-15,1.96801
2022-10-17,1.10701
2022-10-18,1.47601
