date,특판예금
2022-03-06,7.51985
2022-03-07,13.59177
2022-03-08,12.61092
2022-03-09,6.16534
2022-03-10,12.61092
2022-03-11,13.31153
2022-03-12,8.17375
2022-03-13,7.28631
2022-03-14,13.49836
2022-03-15,13.1247
2022-03-16,13.59177
2022-03-17,17.42176
2022-03-18,14.89957
2022-03-19,9.29472
2022-03-20,6.81924
2022-03-21,17.14152
2022-03-22,16.16067
2022-03-23,14.52592
2022-03-24,15.88042
2022-03-25,14.66604
2022-03-26,8.40728
2022-03-27,7.75338
2022-03-28,15.41335
2022-03-29,15.13311
2022-03-30,15.88042
2022-03-31,17.51517
2022-04-01,16.48762
2022-04-02,8.17375
2022-04-03,9.10789
2022-04-04,15.6936
2022-04-05,15.7403
2022-04-06,15.55347
2022-04-07,15.36665
2022-04-08,13.078
2022-04-09,6.91265
2022-04-10,6.77253
2022-04-11,15.6936
2022-04-12,13.68519
2022-04-13,12.56422
2022-04-14,18.54273
2022-04-15,15.7403
2022-04-16,7.8935
2022-04-17,7.70667
2022-04-18,20.59785
2022-04-19,18.91639
2022-04-20,15.13311
2022-04-21,15.0397
2022-04-22,14.89957
2022-04-23,8.96777
2022-04-24,8.5474
2022-04-25,17.60859
2022-04-26,16.16067
2022-04-27,14.10555
2022-04-28,13.82531
2022-04-29,11.1163
2022-04-30,7.00607
2022-05-01,6.44558
2022-05-02,14.71275
2022-05-03,14.47921
2022-05-04,10.74264
2022-05-05,8.59411
2022-05-06,13.17141
2022-05-07,5.97851
2022-05-08,7.33302
2022-05-09,15.97384
2022-05-10,15.7403
2022-05-11,15.22652
2022-05-12,14.15226
2022-05-13,12.19056
2022-05-14,5.8851
2022-05-15,7.1929
2022-05-16,13.63848
2022-05-17,14.24567
2022-05-18,13.68519
2022-05-19,12.98458
2022-05-20,11.72349
2022-05-21,5.83839
2022-05-22,6.5857
2022-05-23,13.35824
2022-05-24,15.0397
2022-05-25,14.57262
2022-05-26,18.54273
2022-05-27,17.93554
2022-05-28,8.36057
2022-05-29,6.49229
2022-05-30,17.74871
2022-05-31,17.32835
2022-06-01,11.25642
2022-06-02,17.32835
2022-06-03,14.33909
2022-06-04,6.44558
2022-06-05,6.67912
2022-06-06,7.51985
2022-06-07,16.95469
2022-06-08,15.0864
2022-06-09,13.87202
2022-06-10,11.39654
2022-06-11,6.16534
2022-06-12,5.51144
2022-06-13,12.65763
2022-06-14,14.75945
2022-06-15,13.31153
2022-06-16,17.23493
2022-06-17,14.3858
2022-06-18,8.64082
2022-06-19,7.65997
2022-06-20,17.0481
2022-06-21,17.32835
2022-06-22,16.62774
2022-06-23,16.95469
2022-06-24,15.88042
2022-06-25,7.42643
2022-06-26,8.5007
2022-06-27,19.43017
2022-06-28,19.19663
2022-06-29,16.90798
2022-06-30,16.16067
2022-07-01,15.55347
2022-07-02,7.8468
2022-07-03,8.96777
2022-07-04,20.59785
2022-07-05,19.99065
2022-07-06,16.44091
2022-07-07,18.21578
2022-07-08,14.61933
2022-07-09,8.5007
2022-07-10,6.91265
2022-07-11,16.72115
2022-07-12,17.0481
2022-07-13,26.34283
2022-07-14,28.58477
2022-07-15,26.43624
2022-07-16,12.89117
2022-07-17,11.1163
2022-07-18,25.22185
2022-07-19,26.06258
2022-07-20,23.68052
2022-07-21,29.05184
2022-07-22,24.42783
2022-07-23,12.61092
2022-07-24,14.33909
2022-07-25,29.93928
2022-07-26,25.59551
2022-07-27,25.03503
2022-07-28,27.37038
2022-07-29,25.26856
2022-07-30,11.53666
2022-07-31,13.82531
2022-08-01,31.10695
2022-08-02,30.03269
2022-08-03,27.32368
2022-08-04,26.90331
2022-08-05,24.98832
2022-08-06,14.15226
2022-08-07,13.03129
2022-08-08,28.7716
2022-08-09,23.63381
2022-08-10,26.66978
2022-08-11,28.35123
2022-08-12,25.73563
2022-08-13,14.4325
2022-08-14,11.34983
2022-08-15,13.35824
2022-08-16,28.07099
2022-08-17,26.8099
2022-08-18,23.77393
2022-08-19,24.38113
2022-08-20,16.58103
2022-08-21,15.97384
2022-08-22,28.49135
2022-08-23,26.34283
2022-08-24,22.51284
2022-08-25,29.70574
2022-08-26,29.79915
2022-08-27,14.57262
2022-08-28,16.25408
2022-08-29,30.21952
2022-08-30,34.0028
2022-08-31,29.89257
2022-09-01,26.66978
2022-09-02,22.65296
2022-09-03,13.68519
2022-09-04,12.23727
2022-09-05,25.36198
2022-09-06,23.16674
