date,코스모스코인
2022-06-13,7.01248
2022-06-14,5.02721
2022-06-15,4.83509
2022-06-16,4.00256
2022-06-17,3.68235
2022-06-18,3.65033
2022-06-19,3.07396
2022-06-20,2.56163
2022-06-21,3.33013
2022-06-22,2.52961
2022-06-23,5.76368
2022-06-24,4.73903
2022-06-25,3.04194
2022-06-26,2.68972
2022-06-27,1.569
2022-06-28,2.72174
2022-06-29,2.36951
2022-06-30,2.36951
2022-07-01,1.92122
2022-07-02,4.64297
2022-07-03,1.79314
2022-07-04,2.33749
2022-07-05,4.73903
2022-07-06,5.69964
2022-07-07,2.91386
2022-07-08,2.75376
2022-07-09,1.53698
2022-07-10,1.44092
2022-07-11,2.11335
2022-07-12,2.8178
2022-07-13,1.18475
2022-07-14,1.50496
2022-07-15,2.59365
2022-07-16,2.43355
2022-07-17,1.79314
2022-07-18,2.33749
2022-07-19,2.30547
2022-07-20,3.36215
2022-07-21,9.44604
2022-07-22,8.45341
2022-07-23,3.42619
2022-07-24,3.29811
2022-07-25,6.17995
2022-07-26,4.48286
2022-07-27,2.78578
2022-07-28,2.68972
2022-07-29,4.32276
2022-07-30,3.74639
2022-07-31,2.72174
2022-08-01,5.02721
2022-08-02,3.61831
2022-08-03,2.78578
2022-08-04,2.78578
2022-08-05,2.43355
2022-08-06,2.36951
2022-08-07,3.36215
2022-08-08,6.14793
2022-08-09,2.94588
2022-08-10,3.87447
2022-08-11,3.77841
2022-08-12,2.6577
2022-08-13,3.33013
2022-08-14,2.6577
2022-08-15,2.11335
2022-08-16,3.138
2022-08-17,2.68972
2022-08-18,5.18731
2022-08-19,2.88184
2022-08-20,1.66506
2022-08-21,1.79314
2022-08-22,1.95325
2022-08-23,8.48543
2022-08-24,7.07652
2022-08-25,11.62343
2022-08-26,3.52225
2022-08-27,4.96317
2022-08-28,3.9065
2022-08-29,3.45821
2022-08-30,3.00992
2022-08-31,3.42619
2022-09-01,2.72174
2022-09-02,5.3154
2022-09-03,2.78578
2022-09-04,3.81043
2022-09-05,4.13064
2022-09-06,2.68972
2022-09-07,2.75376
2022-09-08,5.98783
2022-09-09,17.89945
2022-09-10,11.04707
2022-09-11,5.41146
2022-09-12,6.78834
2022-09-13,4.61095
2022-09-14,2.8178
2022-09-15,6.27601
2022-09-16,16.20236
2022-09-17,15.81812
2022-09-18,6.14793
2022-09-19,12.29586
2022-09-20,5.73166
2022-09-21,9.15786
2022-09-22,5.57156
2022-09-23,5.92379
2022-09-24,3.29811
2022-09-25,3.29811
2022-09-26,7.20461
2022-09-27,6.7243
2022-09-28,7.07652
2022-09-29,5.66762
2022-09-30,4.83509
2022-10-01,4.67499
2022-10-02,3.49023
2022-10-03,3.61831
2022-10-04,3.65033
2022-10-05,2.33749
2022-10-06,2.75376
2022-10-07,2.20941
2022-10-08,1.60102
2022-10-09,1.95325
2022-10-10,1.60102
2022-10-11,2.14537
2022-10-12,2.72174
2022-10-13,4.3868
2022-10-14,2.75376
2022-10-15,2.14537
2022-10-16,1.47294
2022-10-17,2.27345
2022-10-18,4.19468
2022-10-19,2.52961
2022-10-20,2.14537
2022-10-21,1.95325
2022-10-22,1.44092
2022-10-23,2.04931
2022-10-24,1.28081
2022-10-25,1.44092
2022-10-26,1.8892
2022-10-27,4.32276
2022-10-28,10.98302
2022-10-29,5.37944
2022-10-30,1.98527
2022-10-31,4.96317
2022-11-01,3.10598
2022-11-02,1.28081
2022-11-03,1.82516
2022-11-04,5.3154
2022-11-05,3.07396
2022-11-06,1.8892
2022-11-07,1.7291
2022-11-08,2.30547
2022-11-09,2.27345
2022-11-10,3.61831
2022-11-11,2.62568
2022-11-12,2.17739
2022-11-13,3.17002
2022-11-14,3.74639
2022-11-15,2.9779
2022-11-16,3.10598
2022-11-17,2.88184
2022-11-18,2.56163
2022-11-19,2.84982
2022-11-20,2.9779
2022-11-21,3.52225
2022-11-22,2.49759
2022-11-23,2.20941
2022-11-24,1.79314
2022-11-25,1.79314
2022-11-26,2.43355
2022-11-27,1.76112
2022-11-28,1.44092
2022-11-29,1.66506
2022-11-30,1.37688
2022-12-01,1.60102
2022-12-02,1.24879
2022-12-03,1.05667
2022-12-04,0.96061
2022-12-05,1.63304
2022-12-06,1.66506
2022-12-07,1.31284
2022-12-08,2.49759
2022-12-09,2.27345
2022-12-10,0.83253
2022-12-11,1.47294
2022-12-12,1.95325
2022-12-13,1.63304
2022-12-14,1.82516
2022-12-15,1.12071
2022-12-16,0.99263
2022-12-17,1.21677
2022-12-18,1.37688
2022-12-19,3.36215
2022-12-20,0.80051
2022-12-21,1.21677
2022-12-22,0.96061
2022-12-23,1.21677
2022-12-24,1.18475
2022-12-25,0.89657
2022-12-26,1.18475
2022-12-27,1.37688
2022-12-28,1.34486
2022-12-29,1.69708
2022-12-30,2.30547
2022-12-31,1.08869
2023-01-01,1.79314
2023-01-02,2.52961
2023-01-03,3.49023
2023-01-04,2.11335
2023-01-05,1.82516
2023-01-06,1.50496
2023-01-07,1.18475
2023-01-08,1.28081
2023-01-09,2.94588
2023-01-10,1.34486
2023-01-11,1.569
2023-01-12,1.82516
2023-01-13,2.04931
2023-01-14,2.68972
2023-01-15,2.49759
2023-01-16,2.36951
2023-01-17,1.79314
2023-01-18,1.7291
2023-01-19,1.15273
2023-01-20,1.37688
2023-01-21,1.15273
2023-01-22,1.66506
2023-01-23,2.27345
2023-01-24,1.66506
2023-01-25,2.11335
2023-01-26,2.6577
2023-01-27,1.95325
2023-01-28,1.8892
2023-01-29,1.24879
2023-01-30,2.49759
2023-01-31,1.21677
2023-02-01,2.94588
2023-02-02,5.34742
2023-02-03,2.6577
2023-02-04,2.33749
2023-02-05,1.69708
2023-02-06,2.01729
2023-02-07,1.82516
2023-02-08,2.11335
2023-02-09,1.8892
2023-02-10,1.47294
2023-02-11,1.7291
2023-02-12,1.28081
2023-02-13,1.47294
2023-02-14,1.34486
2023-02-15,1.53698
2023-02-16,2.59365
2023-02-17,1.50496
2023-02-18,3.71437
2023-02-19,1.82516
2023-02-20,1.8892
2023-02-21,2.94588
2023-02-22,2.46557
2023-02-23,1.8892
2023-02-24,1.79314
2023-02-25,1.34486
2023-02-26,1.98527
2023-02-27,2.14537
2023-02-28,2.08133
2023-03-01,2.62568
2023-03-02,2.84982
2023-03-03,1.60102
2023-03-04,2.75376
2023-03-05,2.43355
2023-03-06,2.84982
2023-03-07,2.33749
2023-03-08,2.33749
2023-03-09,3.00992
2023-03-10,2.46557
2023-03-11,1.4089
2023-03-12,1.21677
2023-03-13,1.76112
2023-03-14,3.81043
2023-03-15,3.36215
2023-03-16,3.52225
2023-03-17,2.33749
2023-03-18,3.36215
2023-03-19,6.01985
2023-03-20,5.7957
2023-03-21,5.44348
2023-03-22,4.93115
2023-03-23,4.13064
2023-03-24,4.83509
2023-03-25,4.35478
2023-03-26,3.36215
2023-03-27,4.2267
2023-03-28,4.89913
2023-03-29,7.90906
2023-03-30,7.17259
2023-03-31,4.35478
2023-04-01,7.42875
2023-04-02,5.41146
2023-04-03,3.87447
2023-04-04,4.93115
2023-04-05,4.64297
2023-04-06,4.61095
2023-04-07,4.51488
2023-04-08,3.55427
2023-04-09,2.49759
2023-04-10,2.68972
2023-04-11,5.92379
2023-04-12,4.67499
2023-04-13,7.42875
2023-04-14,6.85238
2023-04-15,5.12327
2023-04-16,6.98046
2023-04-17,5.6356
2023-04-18,5.02721
2023-04-19,2.94588
2023-04-20,4.09862
2023-04-21,2.6577
2023-04-22,2.68972
2023-04-23,3.138
2023-04-24,5.12327
2023-04-25,2.52961
2023-04-26,4.00256
2023-04-27,4.35478
2023-04-28,3.29811
2023-04-29,2.46557
2023-04-30,3.68235
2023-05-01,2.36951
2023-05-02,2.14537
2023-05-03,3.42619
2023-05-04,2.46557
2023-05-05,2.52961
2023-05-06,2.40153
2023-05-07,3.138
2023-05-08,3.33013
2023-05-09,2.62568
2023-05-10,4.00256
2023-05-11,3.10598
2023-05-12,3.58629
2023-05-13,1.92122
2023-05-14,2.36951
2023-05-15,2.43355
2023-05-16,2.40153
2023-05-17,2.33749
2023-05-18,2.20941
2023-05-19,2.11335
2023-05-20,1.66506
2023-05-21,1.47294
2023-05-22,2.04931
2023-05-23,2.17739
2023-05-24,1.69708
2023-05-25,1.8892
2023-05-26,2.20941
2023-05-27,1.31284
2023-05-28,1.66506
2023-05-29,1.8892
2023-05-30,2.11335
2023-05-31,2.01729
2023-06-01,1.8892
2023-06-02,2.43355
2023-06-03,2.43355
2023-06-04,2.94588
2023-06-05,3.00992
2023-06-06,2.68972
2023-06-07,2.56163
2023-06-08,3.52225
2023-06-09,3.49023
2023-06-10,6.59622
2023-06-11,3.33013
2023-06-12,4.03458
2023-06-13,2.52961
2023-06-14,2.36951
2023-06-15,2.59365
2023-06-16,1.92122
2023-06-17,1.95325
2023-06-18,1.98527
2023-06-19,2.04931
2023-06-20,2.68972
2023-06-21,3.17002
2023-06-22,4.09862
2023-06-23,2.68972
2023-06-24,3.71437
2023-06-25,2.84982
2023-06-26,1.98527
2023-06-27,2.40153
2023-06-28,1.92122
2023-06-29,1.47294
2023-06-30,3.04194
2023-07-01,2.43355
2023-07-02,2.24143
2023-07-03,3.39417
2023-07-04,3.61831
2023-07-05,1.92122
2023-07-06,2.30547
2023-07-07,1.4089
2023-07-08,1.60102
2023-07-09,1.7291
2023-07-10,1.44092
2023-07-11,2.40153
2023-07-12,3.52225
2023-07-13,3.49023
2023-07-14,6.27601
2023-07-15,3.39417
2023-07-16,3.45821
2023-07-17,4.29074
2023-07-18,3.71437
2023-07-19,3.49023
2023-07-20,5.44348
2023-07-21,4.25872
2023-07-22,2.78578
2023-07-23,2.68972
2023-07-24,2.52961
2023-07-25,2.11335
2023-07-26,2.8178
2023-07-27,2.72174
2023-07-28,2.20941
2023-07-29,2.62568
2023-07-30,2.72174
2023-07-31,3.10598
2023-08-01,3.68235
2023-08-02,3.45821
