date,진료기록지
2021-12-03,40.22988
2021-12-04,16.09195
2021-12-05,17.24137
2021-12-06,42.52873
2021-12-07,41.37931
2021-12-08,46.55172
2021-12-09,43.10344
2021-12-10,43.10344
2021-12-11,10.91954
2021-12-12,9.1954
2021-12-13,40.22988
2021-12-14,41.95402
2021-12-15,42.52873
2021-12-16,53.44827
2021-12-17,46.55172
2021-12-18,20.68965
2021-12-19,16.09195
2021-12-20,52.29885
2021-12-21,44.25287
2021-12-22,54.5977
2021-12-23,41.37931
2021-12-24,37.35632
2021-12-25,10.34482
2021-12-26,6.32183
2021-12-27,42.52873
2021-12-28,44.25287
2021-12-29,47.12643
2021-12-30,47.70114
2021-12-31,25.28735
2022-01-01,8.04597
2022-01-02,10.34482
2022-01-03,40.80459
2022-01-04,51.14942
2022-01-05,49.42528
2022-01-06,51.14942
2022-01-07,51.72413
2022-01-08,17.81609
2022-01-09,13.7931
2022-01-10,48.85057
2022-01-11,47.12643
2022-01-12,41.37931
2022-01-13,52.29885
2022-01-14,41.95402
2022-01-15,22.9885
2022-01-16,13.7931
2022-01-17,47.12643
2022-01-18,44.82758
2022-01-19,48.85057
2022-01-20,41.95402
2022-01-21,42.52873
2022-01-22,18.96551
2022-01-23,16.09195
2022-01-24,48.27586
2022-01-25,43.67816
2022-01-26,34.48275
2022-01-27,33.90804
2022-01-28,40.80459
2022-01-29,13.21839
2022-01-30,4.5977
2022-01-31,5.74712
2022-02-01,9.77011
2022-02-02,6.89655
2022-02-03,52.29885
2022-02-04,48.85057
2022-02-05,16.09195
2022-02-06,12.06896
2022-02-07,51.14942
2022-02-08,53.44827
2022-02-09,52.29885
2022-02-10,41.95402
2022-02-11,41.37931
2022-02-12,21.26436
2022-02-13,10.91954
2022-02-14,47.12643
2022-02-15,31.60919
2022-02-16,42.52873
2022-02-17,44.82758
2022-02-18,47.12643
2022-02-19,19.54022
2022-02-20,5.74712
2022-02-21,54.5977
2022-02-22,54.02298
2022-02-23,52.87356
2022-02-24,43.67816
2022-02-25,44.82758
2022-02-26,10.91954
2022-02-27,12.64367
2022-02-28,41.37931
2022-03-01,17.24137
2022-03-02,36.20689
2022-03-03,39.08045
2022-03-04,35.05747
2022-03-05,22.9885
2022-03-06,8.04597
2022-03-07,48.85057
2022-03-08,38.50574
2022-03-09,8.62068
2022-03-10,33.90804
2022-03-11,32.75862
2022-03-12,13.7931
2022-03-13,16.09195
2022-03-14,41.95402
2022-03-15,51.72413
2022-03-16,41.95402
2022-03-17,53.44827
2022-03-18,50.57471
2022-03-19,13.7931
2022-03-20,13.7931
2022-03-21,33.33333
2022-03-22,46.55172
2022-03-23,46.55172
2022-03-24,39.65517
