date,해외주식수수료비교
2022-09-22,1.44717
2022-09-24,2.17076
2022-09-26,1.73661
2022-09-27,0.72358
2022-09-28,0.8683
2022-09-30,2.4602
2022-10-01,3.3285
2022-10-02,2.02604
2022-10-03,3.61794
2022-10-04,3.76266
2022-10-05,6.36758
2022-10-06,3.90738
2022-10-07,3.03907
2022-10-08,2.31548
2022-10-09,2.02604
2022-10-10,1.88133
2022-10-11,0.8683
2022-10-12,4.63096
2022-10-13,2.74963
2022-10-14,1.88133
2022-10-15,2.4602
2022-10-16,1.59189
2022-10-17,3.18379
2022-10-18,3.76266
2022-10-19,3.18379
2022-10-20,2.89435
2022-10-21,2.74963
2022-10-22,1.30246
2022-10-23,0.72358
2022-10-24,3.03907
2022-10-25,3.76266
2022-10-26,4.48625
2022-10-27,3.90738
2022-10-28,3.18379
2022-10-29,2.60492
2022-10-30,1.59189
2022-10-31,3.76266
2022-11-01,2.74963
2022-11-02,4.9204
2022-11-03,3.03907
2022-11-04,4.34153
2022-11-05,2.89435
2022-11-06,0.8683
2022-11-07,2.89435
2022-11-08,5.20984
2022-11-09,5.49927
2022-11-10,6.22286
2022-11-11,6.07814
2022-11-12,4.63096
2022-11-13,2.31548
2022-11-14,4.9204
2022-11-15,6.36758
2022-11-16,6.07814
2022-11-17,5.20984
2022-11-18,4.48625
2022-11-19,2.4602
2022-11-20,1.73661
2022-11-21,3.61794
2022-11-22,2.17076
2022-11-23,3.76266
2022-11-24,3.3285
2022-11-25,2.4602
2022-11-26,2.31548
2022-11-27,2.31548
2022-11-28,3.18379
2022-11-29,3.90738
2022-11-30,4.9204
2022-12-01,5.64399
2022-12-02,2.17076
2022-12-04,2.4602
2022-12-05,5.20984
2022-12-06,3.03907
2022-12-07,5.49927
2022-12-08,3.61794
2022-12-09,4.9204
2022-12-10,3.18379
2022-12-11,1.88133
2022-12-12,3.61794
2022-12-13,2.74963
2022-12-14,3.61794
2022-12-15,2.89435
2022-12-16,3.3285
2022-12-17,3.76266
2022-12-18,1.01302
2022-12-19,2.74963
2022-12-20,4.77568
2022-12-21,3.61794
2022-12-22,4.9204
2022-12-23,3.18379
2022-12-24,5.20984
2022-12-25,3.03907
2022-12-26,4.34153
2022-12-27,4.9204
2022-12-28,7.3806
2022-12-29,5.20984
2022-12-30,5.78871
2022-12-31,2.31548
2023-01-01,2.17076
2023-01-02,3.76266
2023-01-03,4.63096
2023-01-04,6.36758
2023-01-05,3.61794
2023-01-06,4.34153
2023-01-07,5.49927
2023-01-08,3.18379
2023-01-09,6.5123
2023-01-10,6.80173
2023-01-11,6.5123
2023-01-12,6.65701
2023-01-13,7.23589
2023-01-14,4.19681
2023-01-15,3.3285
2023-01-16,5.93342
2023-01-17,6.36758
2023-01-18,7.67004
2023-01-19,4.77568
2023-01-20,6.07814
2023-01-21,3.03907
2023-01-22,3.47322
2023-01-23,4.9204
2023-01-24,10.70911
2023-01-25,8.53835
2023-01-26,7.81476
2023-01-27,10.56439
2023-01-28,9.84081
2023-01-29,7.23589
2023-01-30,8.53835
2023-01-31,9.55137
