date,WTI유가
2022-03-01,1.10947
2022-03-02,2.17872
2022-03-03,2.20789
2022-03-04,1.77033
2022-03-05,0.73931
2022-03-06,0.37016
2022-03-07,2.06103
2022-03-08,2.28735
2022-03-09,1.86187
2022-03-10,2.9291
2022-03-11,2.22901
2022-03-12,0.78055
2022-03-13,0.43051
2022-03-14,1.54401
2022-03-15,2.05399
2022-03-16,1.91518
2022-03-17,1.72909
2022-03-18,1.9534
2022-03-19,0.72624
2022-03-20,0.33696
2022-03-21,1.4223
2022-03-22,1.83672
2022-03-23,1.7482
2022-03-24,1.89003
2022-03-25,1.54401
2022-03-26,0.70008
2022-03-27,0.33797
2022-03-28,1.36295
2022-03-29,1.81459
2022-03-30,1.70093
2022-03-31,1.74921
2022-04-01,1.57016
2022-04-02,0.58038
2022-04-03,0.29673
2022-04-04,1.20101
2022-04-05,1.33378
2022-04-06,1.19598
2022-04-07,1.20503
2022-04-08,1.09439
2022-04-09,0.40536
2022-04-10,0.19614
2022-04-11,0.86102
2022-04-12,1.06119
2022-04-13,1.0793
2022-04-14,0.9596
2022-04-15,0.73227
2022-04-16,0.28667
2022-04-17,0.18407
2022-04-18,0.79162
2022-04-19,0.9777
2022-04-20,1.00889
2022-04-21,0.87712
2022-04-22,0.81676
2022-04-23,0.38524
2022-04-24,0.15892
2022-04-25,0.77653
2022-04-26,0.89824
2022-04-27,0.80268
2022-04-28,0.81375
2022-04-29,0.86002
2022-04-30,0.36211
2022-05-01,0.14786
2022-05-02,0.66085
2022-05-03,0.82884
2022-05-04,0.68701
2022-05-05,0.65683
2022-05-06,0.80972
2022-05-07,0.34099
2022-05-08,0.13277
2022-05-09,0.71718
2022-05-10,0.97368
2022-05-11,0.88617
2022-05-12,0.81375
2022-05-13,0.71417
2022-05-14,0.32791
2022-05-15,0.14685
2022-05-16,0.6689
2022-05-17,0.95859
2022-05-18,0.83789
2022-05-19,0.82179
2022-05-20,0.69505
2022-05-21,0.29874
2022-05-22,0.12875
2022-05-23,0.60955
2022-05-24,0.78961
2022-05-25,0.72523
2022-05-26,0.71115
2022-05-27,0.86706
2022-05-28,0.33998
2022-05-29,0.15591
2022-05-30,0.69505
2022-05-31,0.90025
2022-06-01,0.65784
2022-06-02,0.95759
2022-06-03,0.8228
2022-06-04,0.35004
2022-06-05,0.20117
2022-06-06,0.48281
2022-06-07,0.78961
2022-06-08,0.76848
2022-06-09,0.82079
2022-06-10,0.76144
2022-06-11,0.36312
2022-06-12,0.16395
2022-06-13,0.79262
2022-06-14,0.83688
2022-06-15,0.85901
2022-06-16,0.99581
2022-06-17,0.92842
2022-06-18,0.6508
2022-06-19,0.2585
2022-06-20,1.01895
2022-06-21,1.00788
2022-06-22,1.18592
2022-06-23,1.07628
2022-06-24,0.87309
2022-06-25,0.37519
2022-06-26,0.17904
2022-06-27,0.72624
2022-06-28,0.84392
2022-06-29,0.79162
