date,씨티카드
2022-07-25,29.98357
2022-07-26,22.15917
2022-07-27,18.97864
2022-07-28,16.48499
2022-07-29,18.21711
2022-07-30,6.83888
2022-07-31,6.68956
2022-08-01,22.08451
2022-08-02,16.45512
2022-08-03,15.46961
2022-08-04,12.88636
2022-08-05,15.67866
2022-08-06,5.53979
2022-08-07,5.95789
2022-08-08,17.02254
2022-08-09,14.94699
2022-08-10,19.17276
2022-08-11,16.45512
2022-08-12,16.26101
2022-08-13,6.1968
2022-08-14,5.7787
2022-08-15,6.46558
2022-08-16,22.27863
2022-08-17,18.78453
2022-08-18,16.09675
2022-08-19,14.85739
2022-08-20,6.54024
2022-08-21,6.33119
2022-08-22,20.84515
2022-08-23,19.44154
2022-08-24,17.42571
2022-08-25,19.60579
2022-08-26,18.27684
2022-08-27,6.03255
2022-08-28,5.25608
2022-08-29,19.87457
2022-08-30,18.05285
2022-08-31,18.45602
2022-09-01,18.12751
2022-09-02,15.48454
2022-09-03,5.50992
2022-09-04,5.76377
2022-09-05,20.44198
2022-09-06,16.51485
2022-09-07,18.23204
2022-09-08,14.51396
2022-09-09,4.53934
2022-09-10,3.56876
2022-09-11,5.13662
2022-09-12,7.06286
2022-09-13,25.50395
2022-09-14,23.62251
2022-09-15,20.24787
2022-09-16,19.53113
2022-09-17,6.79408
2022-09-18,5.73391
2022-09-19,19.90443
2022-09-20,19.97909
2022-09-21,23.32387
2022-09-22,19.14289
2022-09-23,20.62117
2022-09-24,7.30177
2022-09-25,7.00313
2022-09-26,26.53426
2022-09-27,22.74152
2022-09-28,20.17321
2022-09-29,18.3067
2022-09-30,20.6809
2022-10-01,6.13707
2022-10-02,5.18142
2022-10-03,6.45064
2022-10-04,21.56189
2022-10-05,21.0094
2022-10-06,17.9334
2022-10-07,16.96281
2022-10-08,6.5253
2022-10-09,5.58459
2022-10-10,7.94385
2022-10-11,23.87636
2022-10-12,23.21935
2022-10-13,20.23294
2022-10-14,18.47095
2022-10-15,8.69045
2022-10-16,8.04837
2022-10-17,24.48857
2022-10-18,18.73973
2022-10-19,15.63386
2022-10-20,16.66417
2022-10-21,17.58996
2022-10-22,5.71897
2022-10-23,5.58459
2022-10-24,21.11393
2022-10-25,23.20441
2022-10-26,17.53023
2022-10-27,16.64924
2022-10-28,16.02209
2022-10-29,6.18187
2022-10-30,4.6588
2022-10-31,23.48812
2022-11-01,18.23204
2022-11-02,17.39584
2022-11-03,15.70852
2022-11-04,13.73749
2022-11-05,4.74839
2022-11-06,5.70404
2022-11-07,18.18724
2022-11-08,15.1411
2022-11-09,16.24608
2022-11-10,17.11213
2022-11-11,14.55875
2022-11-12,5.39047
2022-11-13,6.71942
2022-11-14,19.06823
2022-11-15,21.74107
2022-11-16,16.73883
2022-11-17,14.60355
2022-11-18,14.72301
2022-11-19,5.01717
2022-11-20,5.28594
2022-11-21,20.66596
2022-11-22,17.73928
2022-11-23,17.72435
2022-11-24,15.54427
2022-11-25,18.99357
2022-11-26,6.10721
2022-11-27,5.85336
2022-11-28,23.23428
2022-11-29,19.36688
2022-11-30,19.29222
2022-12-01,17.5153
2022-12-02,13.36419
2022-12-03,4.77825
2022-12-04,5.0769
2022-12-05,21.29311
2022-12-06,16.08182
2022-12-07,15.40988
2022-12-08,14.30491
2022-12-09,13.39405
2022-12-10,5.67418
2022-12-11,5.80857
2022-12-12,20.29266
2022-12-13,18.18724
2022-12-14,16.52978
2022-12-15,16.27594
2022-12-16,15.58906
2022-12-17,5.70404
2022-12-18,5.25608
2022-12-19,17.33612
2022-12-20,17.142
2022-12-21,17.48544
2022-12-22,14.48409
2022-12-23,16.84336
2022-12-24,6.42078
2022-12-25,6.51037
2022-12-26,22.53247
2022-12-27,20.36732
2022-12-28,17.60489
2022-12-29,16.00716
2022-12-30,14.55875
2022-12-31,7.21218
2023-01-01,5.74884
2023-01-02,23.7121
2023-01-03,20.60624
2023-01-04,19.79991
2023-01-05,19.0981
2023-01-06,16.29087
2023-01-07,6.55517
2023-01-08,6.58503
2023-01-09,21.29311
2023-01-10,22.35329
2023-01-11,20.14334
2023-01-12,19.4266
2023-01-13,19.44154
2023-01-14,6.64476
2023-01-15,7.42123
2023-01-16,25.3845
2023-01-17,22.45781
2023-01-18,19.39674
2023-01-19,19.14289
2023-01-20,19.71031
2023-01-21,4.74839
2023-01-22,4.33029
2023-01-23,5.49499
2023-01-24,9.3176
2023-01-25,32.47722
2023-01-26,25.84739
2023-01-27,23.8017
2023-01-28,7.54068
2023-01-29,6.33119
2023-01-30,22.637
2023-01-31,21.97999
2023-02-01,18.7248
2023-02-02,17.17186
2023-02-03,15.91757
2023-02-04,6.25653
2023-02-05,5.53979
2023-02-06,20.00895
2023-02-07,16.3506
2023-02-08,14.84246
2023-02-09,14.0212
2023-02-10,15.00671
2023-02-11,5.95789
2023-02-12,5.88323
2023-02-13,19.5162
2023-02-14,19.02344
2023-02-15,18.08272
2023-02-16,16.18635
2023-02-17,13.81215
2023-02-18,6.12214
2023-02-19,5.88323
2023-02-20,18.7248
2023-02-21,17.82887
2023-02-22,15.32029
2023-02-23,15.90264
2023-02-24,17.23159
2023-02-25,6.68956
2023-02-26,7.33164
2023-02-27,23.81663
2023-02-28,24.05554
2023-03-01,9.63117
2023-03-02,20.08361
2023-03-03,16.42526
2023-03-04,5.95789
2023-03-05,5.67418
2023-03-06,21.29311
2023-03-07,17.27639
2023-03-08,14.7678
2023-03-09,12.4384
2023-03-10,14.18545
2023-03-11,4.95744
2023-03-12,5.30088
2023-03-13,17.61982
2023-03-14,17.48544
2023-03-15,16.03703
2023-03-16,13.6479
2023-03-17,12.67731
2023-03-18,5.06196
2023-03-19,5.39047
2023-03-20,16.85829
2023-03-21,14.52889
2023-03-22,14.58862
2023-03-23,13.42392
2023-03-24,16.09675
2023-03-25,6.18187
2023-03-26,5.58459
2023-03-27,20.48678
2023-03-28,16.87322
2023-03-29,15.82798
2023-03-30,13.40898
2023-03-31,14.26011
2023-04-01,5.37554
2023-04-02,4.9873
2023-04-03,18.65014
2023-04-04,16.79856
2023-04-05,15.67866
2023-04-06,13.12527
2023-04-07,10.69135
2023-04-08,4.77825
2023-04-09,5.3606
2023-04-10,19.24742
2023-04-11,14.73794
2023-04-12,14.87233
2023-04-13,14.00627
2023-04-14,11.49768
2023-04-15,5.4502
2023-04-16,5.21128
2023-04-17,19.18769
2023-04-18,14.99178
2023-04-19,13.96147
2023-04-20,14.42436
2023-04-21,14.20038
2023-04-22,5.42033
2023-04-23,5.70404
2023-04-24,20.08361
2023-04-25,20.62117
2023-04-26,22.89084
2023-04-27,23.0103
2023-04-28,17.94833
2023-04-29,6.21173
2023-04-30,5.89816
2023-05-01,11.70673
2023-05-02,22.99537
2023-05-03,20.18814
2023-05-04,17.63476
2023-05-05,6.22666
2023-05-06,4.71853
2023-05-07,5.30088
2023-05-08,22.24876
2023-05-09,19.77004
2023-05-10,25.11572
2023-05-11,18.41122
2023-05-12,21.12886
2023-05-13,5.4502
2023-05-14,6.89861
2023-05-15,23.23428
2023-05-16,19.91936
2023-05-17,17.72435
2023-05-18,15.58906
2023-05-19,14.54382
2023-05-20,5.56965
2023-05-21,5.04703
2023-05-22,19.5162
2023-05-23,19.50126
2023-05-24,17.142
2023-05-25,19.12796
2023-05-26,15.58906
2023-05-27,5.16649
2023-05-28,4.6588
