date,주식세금
2021-06-11,8.14616
2021-06-12,4.75901
2021-06-13,6.22799
2021-06-14,9.28736
2021-06-15,8.98385
2021-06-16,8.69248
2021-06-17,8.38897
2021-06-18,9.28736
2021-06-19,4.58904
2021-06-20,3.98203
2021-06-21,7.05353
2021-06-22,9.49374
2021-06-23,10.78062
2021-06-24,9.2388
2021-06-25,8.83816
2021-06-26,4.63761
2021-06-27,3.8242
2021-06-28,7.64841
2021-06-29,7.46631
2021-06-30,8.7896
2021-07-01,7.84266
2021-07-02,7.59985
2021-07-03,4.78329
2021-07-04,4.88041
2021-07-05,7.8548
2021-07-06,7.67269
2021-07-07,7.9155
2021-07-08,6.64076
2021-07-09,6.58006
2021-07-10,4.68617
2021-07-11,4.05487
2021-07-12,6.64076
2021-07-13,7.35704
2021-07-14,7.29634
2021-07-15,7.05353
2021-07-16,6.70146
2021-07-17,4.15199
2021-07-18,3.77564
2021-07-19,6.15515
2021-07-20,6.24013
2021-07-21,5.7788
2021-07-22,7.74553
2021-07-23,7.50273
2021-07-24,4.75901
2021-07-25,3.35073
2021-07-26,9.95508
2021-07-27,16.37732
2021-07-28,9.95508
2021-07-29,9.80939
2021-07-30,7.89122
2021-07-31,5.03824
2021-08-01,4.61333
2021-08-02,7.33276
2021-08-03,8.42539
2021-08-04,9.09311
2021-08-05,10.19788
2021-08-06,10.27072
2021-08-07,6.94427
2021-08-08,8.38897
2021-08-09,12.20104
2021-08-10,10.48925
2021-08-11,11.19339
2021-08-12,10.16146
2021-08-13,9.22666
2021-08-14,6.72574
2021-08-15,4.77115
2021-08-16,8.24329
2021-08-17,10.35571
2021-08-18,9.79725
2021-08-19,8.24329
2021-08-20,7.75767
2021-08-21,4.92897
2021-08-22,4.50406
2021-08-23,7.9762
2021-08-24,10.07648
2021-08-25,10.10076
2021-08-26,9.2995
2021-08-27,8.97171
2021-08-28,5.97304
2021-08-29,5.11108
2021-08-30,9.20237
2021-08-31,10.35571
2021-09-01,10.78062
2021-09-02,10.42855
2021-09-03,10.46497
2021-09-04,6.87143
2021-09-05,6.68932
2021-09-06,10.25858
2021-09-07,9.55444
2021-09-08,8.69248
2021-09-09,8.15831
2021-09-10,8.12188
2021-09-11,5.0868
2021-09-12,4.98968
2021-09-13,7.84266
2021-09-14,8.68034
2021-09-15,8.81388
2021-09-16,9.02027
2021-09-17,7.92764
2021-09-18,5.22034
2021-09-19,4.26126
2021-09-20,4.3341
2021-09-21,4.23697
2021-09-22,4.60118
2021-09-23,8.19473
2021-09-24,8.30399
2021-09-25,4.91683
2021-09-26,4.54048
2021-09-27,8.12188
