date,해외주식시간
2021-06-30,12.69886
2021-07-01,9.6875
2021-07-02,10.45454
2021-07-03,6.25
2021-07-04,2.61363
2021-07-05,29.51704
2021-07-06,21.42045
2021-07-07,13.4375
2021-07-08,11.98863
2021-07-09,10.51136
2021-07-10,5.14204
2021-07-11,2.92613
2021-07-12,13.06818
2021-07-13,11.64772
2021-07-14,11.07954
2021-07-15,9.63068
2021-07-16,10.0
2021-07-17,5.14204
2021-07-18,3.38068
2021-07-19,9.54545
2021-07-20,10.53977
2021-07-21,10.11363
2021-07-22,9.77272
2021-07-23,9.63068
2021-07-24,5.42613
2021-07-25,2.72727
2021-07-26,9.51704
2021-07-27,10.9375
2021-07-28,8.80681
2021-07-29,9.31818
2021-07-30,9.60227
2021-07-31,3.55113
2021-08-01,3.26704
2021-08-02,9.11931
2021-08-03,10.0
2021-08-04,10.25568
2021-08-05,10.05681
2021-08-06,11.96022
2021-08-07,5.68181
2021-08-08,3.63636
2021-08-09,13.1534
2021-08-10,13.75
2021-08-11,13.4659
2021-08-12,11.93181
2021-08-13,13.1534
2021-08-14,5.36931
2021-08-15,3.18181
2021-08-16,8.38068
2021-08-17,14.23295
2021-08-18,13.23863
2021-08-19,11.84659
2021-08-20,9.82954
2021-08-21,5.6534
2021-08-22,3.38068
2021-08-23,12.10227
2021-08-24,13.7784
2021-08-25,12.75568
2021-08-26,12.2159
2021-08-27,11.44886
2021-08-28,6.19318
2021-08-29,4.0909
2021-08-30,12.78409
2021-08-31,15.85227
2021-09-01,13.57954
2021-09-02,13.21022
2021-09-03,10.76704
2021-09-04,5.56818
2021-09-05,3.86363
2021-09-06,29.65909
2021-09-07,17.8125
2021-09-08,12.38636
2021-09-09,10.3409
2021-09-10,11.25
2021-09-11,6.39204
2021-09-12,4.20454
2021-09-13,12.13068
2021-09-14,10.76704
2021-09-15,9.91477
2021-09-16,11.05113
2021-09-17,11.53409
2021-09-18,7.27272
2021-09-19,4.03409
2021-09-20,7.24431
2021-09-21,8.86363
2021-09-22,9.65909
2021-09-23,13.26704
2021-09-24,12.61363
2021-09-25,6.42045
2021-09-26,4.0625
2021-09-27,13.32386
2021-09-28,13.21022
2021-09-29,14.46022
2021-09-30,10.6534
2021-10-01,9.54545
2021-10-02,5.25568
2021-10-03,2.78409
2021-10-04,8.55113
2021-10-05,10.3125
2021-10-06,10.25568
2021-10-07,8.49431
2021-10-08,8.1534
2021-10-09,4.0625
2021-10-10,2.98295
2021-10-11,6.50568
2021-10-12,8.7784
2021-10-13,8.32386
2021-10-14,9.03409
2021-10-15,9.0909
2021-10-16,4.63068
2021-10-17,3.125
2021-10-18,7.44318
2021-10-19,9.7159
2021-10-20,10.08522
2021-10-21,6.96022
2021-10-22,9.65909
2021-10-23,5.11363
2021-10-24,3.03977
2021-10-25,12.89772
2021-10-26,17.38636
2021-10-27,11.73295
2021-10-28,12.04545
2021-10-29,18.1534
2021-10-30,8.94886
2021-10-31,6.25
2021-11-01,21.39204
2021-11-02,21.96022
2021-11-03,15.99431
2021-11-04,16.5909
2021-11-05,16.42045
2021-11-06,10.39772
2021-11-07,6.07954
2021-11-08,40.71022
2021-11-09,32.5
2021-11-10,28.06818
2021-11-11,22.38636
2021-11-12,19.82954
2021-11-13,8.66477
2021-11-14,5.68181
2021-11-15,23.4659
2021-11-16,23.80681
2021-11-17,34.77272
2021-11-18,24.63068
2021-11-19,22.38636
2021-11-20,12.24431
2021-11-21,6.22159
2021-11-22,28.92045
2021-11-23,22.24431
2021-11-24,17.89772
2021-11-25,33.80681
2021-11-26,21.73295
2021-11-27,8.49431
2021-11-28,4.31818
2021-11-29,19.77272
2021-11-30,20.68181
2021-12-01,14.94318
2021-12-02,20.11363
2021-12-03,14.63068
2021-12-04,10.625
2021-12-05,6.25
2021-12-06,18.57954
2021-12-07,18.32386
2021-12-08,17.35795
2021-12-09,17.04545
2021-12-10,17.75568
2021-12-11,8.66477
2021-12-12,4.6875
2021-12-13,17.8125
2021-12-14,18.35227
2021-12-15,15.08522
2021-12-16,14.77272
2021-12-17,13.97727
2021-12-18,6.93181
2021-12-19,4.7159
2021-12-20,14.375
2021-12-21,14.46022
2021-12-22,14.26136
2021-12-23,12.61363
2021-12-24,21.07954
2021-12-25,5.76704
2021-12-26,5.11363
2021-12-27,16.67613
2021-12-28,15.79545
2021-12-29,12.95454
2021-12-30,10.73863
2021-12-31,10.6534
2022-01-01,4.57386
2022-01-02,5.90909
2022-01-03,17.30113
2022-01-04,19.88636
2022-01-05,18.1534
2022-01-06,20.73863
2022-01-07,15.48295
2022-01-08,7.10227
2022-01-09,6.22159
2022-01-10,17.5
2022-01-11,15.28409
2022-01-12,15.19886
2022-01-13,13.83522
2022-01-14,13.86363
2022-01-15,7.15909
2022-01-16,4.97159
2022-01-17,29.48863
2022-01-18,20.76704
2022-01-19,15.99431
2022-01-20,16.61931
2022-01-21,17.30113
2022-01-22,9.46022
2022-01-23,5.9659
2022-01-24,18.18181
2022-01-25,18.35227
2022-01-26,16.16477
2022-01-27,18.72159
2022-01-28,22.35795
2022-01-29,12.78409
2022-01-30,6.07954
2022-01-31,12.98295
2022-02-01,20.22727
2022-02-02,18.7784
2022-02-03,26.61931
2022-02-04,23.80681
2022-02-05,12.15909
2022-02-06,8.55113
2022-02-07,22.30113
2022-02-08,16.61931
2022-02-09,14.85795
2022-02-10,18.55113
2022-02-11,15.82386
2022-02-12,11.64772
2022-02-13,6.5625
2022-02-14,15.88068
2022-02-15,13.75
2022-02-16,15.25568
2022-02-17,14.85795
2022-02-18,16.73295
2022-02-19,9.0909
2022-02-20,4.74431
2022-02-21,23.57954
2022-02-22,19.54545
2022-02-23,13.21022
2022-02-24,21.47727
2022-02-25,20.05681
2022-02-26,9.46022
2022-02-27,4.31818
2022-02-28,13.1534
2022-03-01,13.7784
2022-03-02,12.47159
2022-03-03,11.07954
2022-03-04,10.9375
2022-03-05,8.40909
2022-03-06,4.34659
2022-03-07,13.09659
2022-03-08,15.0
2022-03-09,9.46022
2022-03-10,13.52272
2022-03-11,11.76136
2022-03-12,7.5284
2022-03-13,4.91477
2022-03-14,15.14204
2022-03-15,13.83522
2022-03-16,14.375
2022-03-17,14.85795
2022-03-18,13.03977
2022-03-19,9.88636
2022-03-20,4.63068
2022-03-21,13.52272
2022-03-22,11.76136
2022-03-23,12.92613
2022-03-24,12.95454
2022-03-25,11.5909
2022-03-26,7.04545
2022-03-27,3.80681
2022-03-28,11.44886
2022-03-29,13.125
2022-03-30,14.91477
2022-03-31,12.64204
2022-04-01,10.22727
2022-04-02,5.88068
2022-04-03,3.49431
2022-04-04,11.13636
2022-04-05,12.69886
2022-04-06,10.88068
2022-04-07,10.73863
2022-04-08,8.57954
2022-04-09,5.45454
2022-04-10,2.8125
2022-04-11,8.80681
2022-04-12,10.99431
2022-04-13,9.17613
2022-04-14,7.92613
2022-04-15,15.28409
2022-04-16,5.59659
2022-04-17,3.69318
2022-04-18,8.80681
2022-04-19,7.5284
