date,미수금
2021-10-26,38.41924
2021-10-27,35.32646
2021-10-28,32.50859
2021-10-29,32.43986
2021-10-30,10.51546
2021-10-31,8.04123
2021-11-01,33.05841
2021-11-02,33.33333
2021-11-03,34.2268
2021-11-04,29.8969
2021-11-05,31.89003
2021-11-06,9.62199
2021-11-07,9.27835
2021-11-08,35.189
2021-11-09,34.02061
2021-11-10,32.57731
2021-11-11,29.62199
2021-11-12,30.24054
2021-11-13,9.75945
2021-11-14,7.62886
2021-11-15,31.54639
2021-11-16,32.71477
2021-11-17,32.37113
2021-11-18,33.47079
2021-11-19,31.47766
2021-11-20,10.378
2021-11-21,8.59106
2021-11-22,31.47766
2021-11-23,33.53951
2021-11-24,32.92096
2021-11-25,30.378
2021-11-26,27.28522
2021-11-27,9.82817
2021-11-28,8.79725
2021-11-29,32.71477
2021-11-30,35.32646
2021-12-01,38.00687
2021-12-02,36.6323
2021-12-03,32.64604
2021-12-04,13.95189
2021-12-05,8.72852
2021-12-06,30.92783
2021-12-07,32.43986
2021-12-08,32.7835
2021-12-09,34.7079
2021-12-10,31.54639
2021-12-11,11.54639
2021-12-12,11.27147
2021-12-13,30.30927
2021-12-14,33.33333
2021-12-15,33.33333
2021-12-16,31.20274
2021-12-17,30.51546
2021-12-18,7.69759
2021-12-19,7.9725
2021-12-20,26.32302
2021-12-21,29.55326
2021-12-22,32.71477
2021-12-23,28.59106
2021-12-24,22.47422
2021-12-25,5.49828
2021-12-26,5.77319
2021-12-27,29.82817
2021-12-28,34.29553
2021-12-29,32.85223
2021-12-30,30.72164
2021-12-31,23.98625
2022-01-01,7.07903
2022-01-02,9.82817
2022-01-03,36.76975
2022-01-04,40.27491
2022-01-05,38.62542
2022-01-06,38.76288
2022-01-07,37.73195
2022-01-08,10.24054
2022-01-09,9.96563
2022-01-10,36.49484
2022-01-11,38.76288
2022-01-12,35.73883
2022-01-13,36.6323
2022-01-14,29.48453
2022-01-15,10.17182
2022-01-16,8.86597
2022-01-17,31.40893
2022-01-18,36.1512
2022-01-19,37.25085
2022-01-20,33.19587
2022-01-21,29.4158
2022-01-22,9.48453
2022-01-23,8.31615
2022-01-24,37.86941
2022-01-25,39.31271
2022-01-26,35.12027
2022-01-27,34.63917
2022-01-28,33.81443
2022-01-29,11.47766
2022-01-30,11.75257
2022-01-31,9.55326
2022-02-01,8.79725
2022-02-02,11.13402
2022-02-03,42.06185
2022-02-04,34.15807
2022-02-05,11.27147
2022-02-06,9.69072
2022-02-07,35.87628
2022-02-08,38.28178
2022-02-09,33.88316
2022-02-10,38.96907
2022-02-11,34.77663
2022-02-12,12.85223
2022-02-13,12.85223
2022-02-14,32.64604
2022-02-15,35.80756
2022-02-16,36.49484
2022-02-17,33.12714
2022-02-18,28.17869
2022-02-19,8.52233
2022-02-20,7.4914
2022-02-21,34.84536
2022-02-22,32.98969
2022-02-23,35.73883
2022-02-24,36.6323
2022-02-25,32.16494
2022-02-26,7.9725
2022-02-27,8.04123
2022-02-28,36.49484
2022-03-01,13.60824
2022-03-02,36.21993
2022-03-03,38.69415
2022-03-04,36.76975
2022-03-05,10.99656
2022-03-06,9.34707
2022-03-07,36.6323
2022-03-08,39.0378
2022-03-09,11.89003
2022-03-10,38.96907
2022-03-11,35.94501
2022-03-12,10.10309
2022-03-13,11.3402
2022-03-14,38.35051
2022-03-15,41.92439
2022-03-16,43.57388
2022-03-17,40.0
2022-03-18,34.15807
2022-03-19,11.68384
2022-03-20,11.13402
2022-03-21,40.75601
2022-03-22,41.30584
2022-03-23,38.62542
2022-03-24,35.73883
2022-03-25,33.95189
2022-03-26,12.85223
2022-03-27,10.99656
2022-03-28,34.91408
2022-03-29,38.28178
2022-03-30,34.57044
2022-03-31,41.71821
2022-04-01,36.08247
2022-04-02,11.13402
2022-04-03,12.43986
2022-04-04,36.1512
2022-04-05,42.54295
2022-04-06,34.36426
2022-04-07,38.90034
2022-04-08,35.73883
2022-04-09,13.95189
2022-04-10,13.7457
2022-04-11,36.01374
2022-04-12,36.97594
2022-04-13,39.5189
2022-04-14,36.28865
2022-04-15,33.7457
2022-04-16,11.47766
2022-04-17,11.89003
2022-04-18,37.18213
2022-04-19,40.0
2022-04-20,41.23711
2022-04-21,36.35738
2022-04-22,30.58419
2022-04-23,11.20274
2022-04-24,13.81443
2022-04-25,41.64948
2022-04-26,36.6323
2022-04-27,32.02749
2022-04-28,31.40893
2022-04-29,34.15807
2022-04-30,10.72164
2022-05-01,10.58419
2022-05-02,37.04467
2022-05-03,30.65292
2022-05-04,31.8213
2022-05-05,10.72164
2022-05-06,21.78694
2022-05-07,7.90378
2022-05-08,8.59106
2022-05-09,32.3024
2022-05-10,34.84536
2022-05-11,32.09621
2022-05-12,32.3024
2022-05-13,29.20962
2022-05-14,10.65292
2022-05-15,8.10996
2022-05-16,30.24054
2022-05-17,31.3402
2022-05-18,31.75257
2022-05-19,29.82817
2022-05-20,26.25429
2022-05-21,10.51546
2022-05-22,12.92096
2022-05-23,30.72164
2022-05-24,33.60824
2022-05-25,30.03436
2022-05-26,29.69072
2022-05-27,29.8969
2022-05-28,10.51546
2022-05-29,9.82817
2022-05-30,29.55326
2022-05-31,30.65292
2022-06-01,10.30927
2022-06-02,33.40206
2022-06-03,31.95876
2022-06-04,11.3402
2022-06-05,8.4536
2022-06-06,9.4158
2022-06-07,33.19587
2022-06-08,34.7079
2022-06-09,32.71477
2022-06-10,29.34707
2022-06-11,10.10309
2022-06-12,9.20962
2022-06-13,38.00687
2022-06-14,35.87628
2022-06-15,38.21305
2022-06-16,33.40206
2022-06-17,28.79725
2022-06-18,9.20962
2022-06-19,9.8969
2022-06-20,30.44673
2022-06-21,30.72164
2022-06-22,28.38487
2022-06-23,31.27147
2022-06-24,27.4914
2022-06-25,8.24742
2022-06-26,7.62886
2022-06-27,35.46391
2022-06-28,32.37113
2022-06-29,33.40206
2022-06-30,31.27147
2022-07-01,27.28522
2022-07-02,7.14776
2022-07-03,6.73539
2022-07-04,29.69072
2022-07-05,29.00343
2022-07-06,29.69072
2022-07-07,30.44673
2022-07-08,26.87285
2022-07-09,8.10996
2022-07-10,7.28522
2022-07-11,29.07216
2022-07-12,30.99656
2022-07-13,27.56013
2022-07-14,27.21649
2022-07-15,26.66666
2022-07-16,7.21649
2022-07-17,5.84192
2022-07-18,27.35395
2022-07-19,23.43642
