date,설치미술
2021-07-07,52.32558
2021-07-08,39.14728
2021-07-09,34.88372
2021-07-10,14.72868
2021-07-11,20.54263
2021-07-12,24.4186
2021-07-13,27.90697
2021-07-14,27.13178
2021-07-15,28.29457
2021-07-16,18.99224
2021-07-17,13.95348
2021-07-18,12.0155
2021-07-19,15.50387
2021-07-20,23.25581
2021-07-21,22.09302
2021-07-22,20.93023
2021-07-23,10.85271
2021-07-24,13.95348
2021-07-25,15.50387
2021-07-26,12.0155
2021-07-27,17.82945
2021-07-28,14.72868
2021-07-29,21.70542
2021-07-30,15.89147
2021-07-31,11.6279
2021-08-01,13.17829
2021-08-02,22.09302
2021-08-03,13.56589
2021-08-04,15.89147
2021-08-05,14.34108
2021-08-06,17.05426
2021-08-07,19.37984
2021-08-08,14.34108
2021-08-09,13.95348
2021-08-10,22.86821
2021-08-11,15.11627
2021-08-12,18.21705
2021-08-13,28.29457
2021-08-14,24.8062
2021-08-15,21.31782
2021-08-16,24.4186
2021-08-17,31.78294
2021-08-18,43.79844
2021-08-19,37.59689
2021-08-20,35.65891
2021-08-21,16.27906
2021-08-22,22.86821
2021-08-23,51.55038
2021-08-24,38.75968
2021-08-25,27.90697
2021-08-26,35.27131
2021-08-27,40.31007
2021-08-28,18.99224
2021-08-29,18.99224
2021-08-30,51.16279
2021-08-31,41.47286
2021-09-01,55.42635
2021-09-02,43.02325
2021-09-03,51.93798
2021-09-04,24.8062
2021-09-05,22.48062
2021-09-06,42.63565
2021-09-07,44.96124
2021-09-08,53.87596
2021-09-09,55.03875
2021-09-10,42.63565
2021-09-11,22.09302
2021-09-12,29.45736
2021-09-13,37.2093
2021-09-14,43.02325
2021-09-15,29.06976
2021-09-16,31.39534
2021-09-17,36.04651
2021-09-18,17.44186
2021-09-19,20.54263
2021-09-20,14.72868
2021-09-21,20.93023
2021-09-22,21.31782
2021-09-23,31.00775
2021-09-24,34.49612
2021-09-25,23.64341
2021-09-26,22.09302
2021-09-27,36.4341
2021-09-28,34.49612
2021-09-29,31.78294
2021-09-30,45.73643
2021-10-01,39.53488
2021-10-02,22.09302
2021-10-03,26.74418
2021-10-04,29.84496
2021-10-05,46.12403
2021-10-06,50.77519
2021-10-07,36.8217
2021-10-08,46.51162
2021-10-09,24.031
2021-10-10,24.031
2021-10-11,22.48062
2021-10-12,42.24806
2021-10-13,32.55813
2021-10-14,36.04651
2021-10-15,33.33333
2021-10-16,24.031
2021-10-17,38.75968
2021-10-18,43.02325
2021-10-19,59.68992
2021-10-20,41.86046
2021-10-21,46.51162
2021-10-22,37.98449
2021-10-23,30.62015
2021-10-24,48.06201
2021-10-25,39.92248
2021-10-26,47.67441
2021-10-27,40.69767
2021-10-28,63.95348
2021-10-29,51.55038
2021-10-30,20.54263
2021-10-31,29.06976
2021-11-01,42.24806
2021-11-02,39.92248
2021-11-03,34.10852
2021-11-04,39.53488
2021-11-05,36.04651
2021-11-06,18.99224
2021-11-07,27.51937
2021-11-08,37.59689
2021-11-09,44.57364
2021-11-10,31.00775
2021-11-11,35.65891
2021-11-12,36.8217
2021-11-13,23.25581
2021-11-14,30.62015
2021-11-15,68.21705
2021-11-16,39.92248
2021-11-17,31.00775
2021-11-18,27.90697
2021-11-19,29.45736
2021-11-20,23.25581
2021-11-21,20.54263
2021-11-22,34.88372
2021-11-23,39.53488
2021-11-24,30.62015
2021-11-25,32.94573
2021-11-26,29.06976
2021-11-27,24.031
2021-11-28,19.76744
2021-11-29,32.55813
2021-11-30,38.37209
2021-12-01,34.88372
2021-12-02,30.62015
2021-12-03,32.17054
2021-12-04,22.09302
2021-12-05,28.29457
2021-12-06,29.45736
2021-12-07,34.88372
2021-12-08,27.90697
2021-12-09,24.8062
2021-12-10,19.76744
2021-12-11,19.37984
2021-12-12,26.35658
2021-12-13,26.35658
2021-12-14,27.90697
2021-12-15,28.68217
2021-12-16,18.21705
2021-12-17,24.8062
2021-12-18,13.56589
2021-12-19,22.09302
2021-12-20,19.37984
2021-12-21,22.48062
2021-12-22,31.39534
2021-12-23,24.8062
2021-12-24,16.66666
2021-12-25,10.07751
2021-12-26,16.27906
2021-12-27,27.90697
2021-12-28,15.89147
2021-12-29,17.44186
2021-12-30,17.82945
2021-12-31,14.72868
2022-01-01,12.79069
2022-01-02,17.44186
2022-01-03,18.99224
2022-01-04,21.31782
2022-01-05,12.79069
2022-01-06,19.37984
