date,RMS
2021-12-22,59.43661
2021-12-23,59.15492
2021-12-24,44.22535
2021-12-25,12.39436
2021-12-26,12.95774
2021-12-27,43.09859
2021-12-28,45.91549
2021-12-29,46.19718
2021-12-30,40.84507
2021-12-31,34.36619
2022-01-01,12.11267
2022-01-02,16.61971
2022-01-03,46.19718
2022-01-04,56.33802
2022-01-05,56.05633
2022-01-06,62.53521
2022-01-07,44.50704
2022-01-08,14.92957
2022-01-09,16.9014
2022-01-10,56.05633
2022-01-11,65.35211
2022-01-12,54.36619
2022-01-13,64.50704
2022-01-14,47.60563
2022-01-15,22.25352
2022-01-16,19.15492
2022-01-17,55.21126
2022-01-18,56.9014
2022-01-19,55.77464
2022-01-20,55.49295
2022-01-21,44.50704
2022-01-22,17.18309
2022-01-23,15.21126
2022-01-24,57.74647
2022-01-25,58.59154
2022-01-26,60.56338
2022-01-27,47.60563
2022-01-28,34.36619
2022-01-29,18.02816
2022-01-30,11.54929
2022-01-31,12.95774
2022-02-01,9.01408
2022-02-02,16.61971
2022-02-03,46.47887
2022-02-04,45.35211
2022-02-05,20.28169
2022-02-06,18.02816
2022-02-07,54.64788
2022-02-08,54.92957
2022-02-09,58.59154
2022-02-10,55.77464
2022-02-11,46.19718
2022-02-12,17.18309
2022-02-13,16.61971
2022-02-14,52.95774
2022-02-15,54.64788
2022-02-16,55.49295
2022-02-17,52.95774
2022-02-18,48.73239
2022-02-19,14.0845
2022-02-20,14.36619
2022-02-21,62.25352
2022-02-22,52.95774
2022-02-23,65.07042
2022-02-24,62.53521
2022-02-25,50.14084
2022-02-26,20.84507
2022-02-27,16.9014
2022-02-28,42.25352
2022-03-01,27.60563
2022-03-02,58.87323
2022-03-03,63.38028
2022-03-04,56.05633
2022-03-05,23.66197
2022-03-06,20.28169
2022-03-07,59.15492
2022-03-08,63.38028
2022-03-09,30.98591
2022-03-10,59.15492
2022-03-11,55.49295
2022-03-12,24.78873
2022-03-13,24.50704
2022-03-14,66.76056
2022-03-15,70.42253
2022-03-16,78.87323
2022-03-17,67.60563
2022-03-18,63.09859
2022-03-19,31.2676
2022-03-20,36.61971
2022-03-21,74.36619
2022-03-22,67.88732
2022-03-23,77.46478
2022-03-24,63.09859
2022-03-25,58.30985
2022-03-26,29.29577
2022-03-27,26.47887
2022-03-28,70.14084
2022-03-29,82.25352
2022-03-30,81.69014
2022-03-31,70.70422
2022-04-01,57.18309
2022-04-02,22.53521
2022-04-03,31.2676
2022-04-04,63.38028
2022-04-05,72.95774
2022-04-06,70.42253
2022-04-07,64.22535
2022-04-08,54.92957
2022-04-09,30.42253
2022-04-10,32.67605
2022-04-11,69.85915
2022-04-12,77.46478
2022-04-13,68.4507
2022-04-14,76.33802
2022-04-15,58.59154
2022-04-16,31.2676
2022-04-17,35.21126
2022-04-18,70.42253
2022-04-19,90.70422
2022-04-20,67.60563
