date,저PBR
2021-07-07,0.33775
2021-07-08,0.31363
2021-07-09,0.26537
2021-07-10,0.36188
2021-07-11,0.37394
2021-07-12,0.193
2021-07-13,0.21712
2021-07-14,0.42219
2021-07-15,0.22919
2021-07-16,0.26537
2021-07-17,0.31363
2021-07-18,0.14475
2021-07-19,0.33775
2021-07-20,0.16887
2021-07-21,0.21712
2021-07-22,0.37394
2021-07-23,0.27744
2021-07-24,0.22919
2021-07-25,0.15681
2021-07-26,0.24125
2021-07-27,0.08443
2021-07-28,0.14475
2021-07-29,0.26537
2021-07-30,0.27744
2021-07-31,0.12062
2021-08-01,0.13268
2021-08-02,0.32569
2021-08-03,0.20506
2021-08-04,0.22919
2021-08-05,0.21712
2021-08-06,0.22919
2021-08-07,0.21712
2021-08-08,0.22919
2021-08-09,0.21712
2021-08-10,0.20506
2021-08-11,0.20506
2021-08-12,0.41013
2021-08-13,0.24125
2021-08-14,0.193
2021-08-15,0.15681
2021-08-16,0.26537
2021-08-17,0.36188
2021-08-18,0.27744
2021-08-19,0.30156
2021-08-20,0.22919
2021-08-21,0.13268
2021-08-22,0.12062
2021-08-23,0.18094
2021-08-24,0.22919
2021-08-25,0.15681
2021-08-26,0.22919
2021-08-27,0.08443
2021-08-28,0.06031
2021-08-29,0.16887
2021-08-30,0.24125
2021-08-31,0.24125
2021-09-01,0.0965
2021-09-02,0.20506
2021-09-03,0.12062
2021-09-04,0.193
2021-09-05,0.0965
2021-09-06,0.26537
2021-09-07,0.18094
2021-09-08,0.20506
2021-09-09,0.21712
2021-09-10,0.26537
2021-09-11,0.18094
2021-09-12,0.26537
2021-09-13,0.25331
2021-09-14,0.32569
2021-09-16,0.24125
2021-09-17,0.22919
2021-09-18,0.24125
2021-09-19,0.14475
2021-09-20,0.18094
2021-09-21,0.07237
2021-09-22,0.42219
2021-09-23,0.37394
2021-09-24,0.25331
2021-09-25,0.32569
2021-09-26,0.07237
2021-09-27,0.193
2021-09-28,0.18094
2021-09-29,0.386
2021-09-30,0.15681
2021-10-01,0.26537
2021-10-02,0.12062
2021-10-03,0.18094
2021-10-04,0.20506
2021-10-05,0.10856
2021-10-06,0.22919
2021-10-07,0.193
2021-10-08,0.08443
2021-10-09,0.22919
2021-10-10,0.12062
2021-10-11,0.15681
2021-10-12,0.31363
2021-10-13,0.25331
2021-10-14,0.25331
2021-10-15,0.08443
2021-10-16,0.07237
2021-10-17,0.18094
2021-10-18,0.24125
2021-10-19,0.20506
2021-10-20,0.20506
2021-10-21,0.22919
2021-10-22,0.21712
2021-10-23,0.0965
2021-10-24,0.32569
2021-10-25,0.193
2021-10-26,0.24125
2021-10-27,0.16887
2021-10-28,0.14475
2021-10-29,0.08443
2021-10-30,0.08443
2021-10-31,0.08443
2021-11-01,0.15681
2021-11-03,0.13268
2021-11-04,0.25331
2021-11-05,0.10856
2021-11-06,0.18094
2021-11-07,0.13268
