date,자동차보험할증기준
2021-10-16,27.18446
2021-10-17,24.11003
2021-10-18,48.7055
2021-10-19,42.71844
2021-10-20,48.05825
2021-10-21,44.01294
2021-10-22,44.98381
2021-10-23,26.3754
2021-10-24,26.05177
2021-10-25,58.25242
2021-10-26,55.66343
2021-10-27,51.13268
2021-10-28,43.20388
2021-10-29,45.30744
2021-10-30,23.7864
2021-10-31,23.62459
2021-11-01,53.88349
2021-11-02,47.411
2021-11-03,44.01294
2021-11-04,44.33656
2021-11-05,40.12944
2021-11-06,24.43365
2021-11-07,24.91909
2021-11-08,47.89644
2021-11-09,47.24919
2021-11-10,46.44012
2021-11-11,36.73139
2021-11-12,36.73139
2021-11-13,30.09708
2021-11-14,22.4919
2021-11-15,58.57605
2021-11-16,52.26537
2021-11-17,44.66019
2021-11-18,46.76375
2021-11-19,42.07119
2021-11-20,31.39158
2021-11-21,23.30097
2021-11-22,58.09061
2021-11-23,46.44012
2021-11-24,44.822
2021-11-25,45.46925
2021-11-26,40.61488
2021-11-27,31.22977
2021-11-28,18.60841
2021-11-29,54.53074
2021-11-30,43.85113
2021-12-01,46.44012
2021-12-02,52.58899
2021-12-03,47.411
2021-12-04,27.6699
2021-12-05,23.7864
2021-12-06,53.23624
2021-12-07,49.83818
2021-12-08,44.66019
2021-12-09,43.85113
2021-12-10,37.86407
2021-12-11,28.80258
2021-12-12,24.11003
2021-12-13,54.85436
2021-12-14,49.67637
2021-12-15,48.7055
2021-12-16,41.42394
2021-12-17,38.99676
2021-12-18,37.37864
2021-12-19,30.90614
2021-12-20,65.37216
2021-12-21,52.7508
2021-12-22,49.19093
2021-12-23,54.36893
2021-12-24,34.78964
2021-12-25,24.27184
2021-12-26,22.16828
2021-12-27,56.79611
2021-12-28,58.41423
2021-12-29,45.30744
2021-12-30,54.69255
2021-12-31,42.71844
2022-01-01,26.05177
2022-01-02,26.86084
2022-01-03,59.38511
2022-01-04,48.86731
2022-01-05,53.88349
2022-01-06,50.80906
2022-01-07,51.77993
2022-01-08,30.58252
2022-01-09,26.53721
2022-01-10,52.7508
2022-01-11,50.16181
2022-01-12,44.822
2022-01-13,52.7508
2022-01-14,40.61488
2022-01-15,34.95145
2022-01-16,24.59546
2022-01-17,61.16504
2022-01-18,55.17799
2022-01-19,49.35275
2022-01-20,55.82524
2022-01-21,45.14563
2022-01-22,31.55339
2022-01-23,26.53721
2022-01-24,55.82524
2022-01-25,51.61812
2022-01-26,50.48543
2022-01-27,49.51456
2022-01-28,39.32038
2022-01-29,26.05177
2022-01-30,24.75728
2022-01-31,21.19741
2022-02-01,24.59546
2022-02-02,23.13915
2022-02-03,60.19417
2022-02-04,52.91262
2022-02-05,32.20064
2022-02-06,25.56634
2022-02-07,55.50161
2022-02-08,54.20711
2022-02-09,53.39805
2022-02-10,50.97087
2022-02-11,35.5987
2022-02-12,28.9644
2022-02-13,21.19741
2022-02-14,49.02912
2022-02-15,44.33656
2022-02-16,45.46925
2022-02-17,43.20388
2022-02-18,43.85113
2022-02-19,25.56634
2022-02-20,24.75728
2022-02-21,53.07443
2022-02-22,49.02912
2022-02-23,40.29126
2022-02-24,42.233
2022-02-25,41.10032
2022-02-26,26.86084
2022-02-27,25.40453
2022-02-28,49.02912
2022-03-01,24.27184
2022-03-02,45.30744
2022-03-03,47.57281
2022-03-04,41.10032
2022-03-05,28.80258
2022-03-06,24.11003
2022-03-07,48.86731
2022-03-08,44.66019
2022-03-09,23.62459
2022-03-10,36.73139
2022-03-11,43.20388
2022-03-12,28.64077
2022-03-13,23.7864
2022-03-14,42.39482
2022-03-15,39.80582
2022-03-16,42.71844
2022-03-17,36.40776
2022-03-18,37.54045
2022-03-19,23.62459
2022-03-20,20.38834
2022-03-21,44.49838
2022-03-22,39.15857
2022-03-23,39.80582
2022-03-24,38.02588
2022-03-25,34.78964
2022-03-26,25.24271
2022-03-27,24.59546
2022-03-28,50.48543
2022-03-29,44.98381
2022-03-30,38.34951
2022-03-31,38.1877
2022-04-01,35.43689
2022-04-02,26.86084
2022-04-03,21.19741
2022-04-04,49.51456
2022-04-05,44.822
2022-04-06,41.74757
2022-04-07,40.12944
2022-04-08,38.67313
2022-04-09,25.0809
2022-04-10,25.88996
2022-04-11,49.83818
2022-04-12,47.89644
2022-04-13,44.66019
2022-04-14,39.64401
2022-04-15,39.96763
2022-04-16,25.24271
2022-04-17,22.97734
2022-04-18,46.60194
2022-04-19,45.95469
2022-04-20,44.49838
2022-04-21,40.29126
2022-04-22,40.45307
2022-04-23,22.97734
2022-04-24,24.27184
2022-04-25,57.28155
2022-04-26,49.67637
2022-04-27,46.1165
2022-04-28,41.90938
2022-04-29,40.93851
2022-04-30,27.50809
2022-05-01,23.30097
2022-05-02,50.16181
2022-05-03,48.7055
2022-05-04,37.05501
2022-05-05,24.59546
2022-05-06,45.30744
2022-05-07,25.88996
2022-05-08,20.55016
2022-05-09,55.3398
2022-05-10,50.32362
2022-05-11,46.92556
2022-05-12,44.17475
2022-05-13,40.45307
2022-05-14,27.02265
2022-05-15,29.44983
2022-05-16,55.17799
2022-05-17,47.73462
2022-05-18,47.24919
2022-05-19,38.1877
2022-05-20,41.74757
2022-05-21,25.88996
2022-05-22,17.1521
2022-05-23,57.11974
2022-05-24,51.61812
2022-05-25,48.7055
2022-05-26,45.46925
2022-05-27,41.42394
2022-05-28,26.3754
2022-05-29,19.09385
2022-05-30,55.82524
2022-05-31,53.07443
2022-06-01,29.44983
2022-06-02,46.27831
2022-06-03,44.17475
2022-06-04,31.71521
2022-06-05,21.52103
2022-06-06,27.18446
2022-06-07,58.09061
2022-06-08,49.19093
2022-06-09,47.57281
2022-06-10,34.46601
2022-06-11,23.46278
2022-06-12,20.55016
2022-06-13,54.85436
2022-06-14,44.822
2022-06-15,46.92556
2022-06-16,45.46925
2022-06-17,39.80582
2022-06-18,29.12621
2022-06-19,23.94822
2022-06-20,50.80906
2022-06-21,49.83818
2022-06-22,49.67637
2022-06-23,51.29449
2022-06-24,45.63106
2022-06-25,25.88996
2022-06-26,22.65372
2022-06-27,56.14886
2022-06-28,49.19093
2022-06-29,47.57281
2022-06-30,46.44012
2022-07-01,39.4822
2022-07-02,25.88996
2022-07-03,25.0809
2022-07-04,49.35275
2022-07-05,51.13268
2022-07-06,47.73462
2022-07-07,43.36569
2022-07-08,45.30744
2022-07-09,26.53721
2022-07-10,22.16828
2022-07-11,55.66343
2022-07-12,46.60194
2022-07-13,44.66019
2022-07-14,47.411
2022-07-15,41.26213
2022-07-16,25.40453
2022-07-17,19.90291
2022-07-18,53.07443
2022-07-19,51.13268
2022-07-20,44.01294
2022-07-21,40.12944
2022-07-22,40.45307
2022-07-23,22.33009
2022-07-24,21.19741
2022-07-25,50.97087
2022-07-26,43.36569
2022-07-27,47.08737
2022-07-28,44.822
2022-07-29,38.99676
2022-07-30,26.69902
2022-07-31,19.25566
2022-08-01,52.10355
2022-08-02,47.411
2022-08-03,45.79288
2022-08-04,45.14563
2022-08-05,48.86731
2022-08-06,27.6699
2022-08-07,21.03559
2022-08-08,48.86731
2022-08-09,49.67637
2022-08-10,48.22006
2022-08-11,44.822
2022-08-12,44.822
2022-08-13,26.86084
2022-08-14,25.56634
2022-08-15,23.62459
2022-08-16,50.32362
2022-08-17,51.45631
2022-08-18,54.69255
2022-08-19,45.46925
2022-08-20,26.05177
2022-08-21,25.88996
2022-08-22,57.44336
2022-08-23,48.22006
2022-08-24,51.13268
2022-08-25,46.60194
2022-08-26,37.54045
2022-08-27,25.0809
2022-08-28,26.69902
2022-08-29,57.9288
2022-08-30,51.61812
2022-08-31,50.64724
2022-09-01,49.67637
2022-09-02,42.07119
2022-09-03,27.18446
2022-09-04,26.86084
2022-09-05,45.79288
2022-09-06,51.13268
2022-09-07,47.73462
2022-09-08,40.29126
2022-09-09,23.7864
2022-09-10,20.87378
2022-09-11,21.35922
2022-09-12,22.97734
2022-09-13,72.16828
2022-09-14,62.78317
2022-09-15,53.72168
2022-09-16,48.22006
2022-09-17,31.39158
2022-09-18,22.33009
2022-09-19,57.11974
2022-09-20,50.48543
2022-09-21,51.77993
2022-09-22,43.85113
2022-09-23,42.71844
2022-09-24,26.3754
2022-09-25,24.91909
2022-09-26,51.13268
2022-09-27,55.98705
2022-09-28,49.19093
2022-09-29,47.411
2022-09-30,47.73462
2022-10-01,28.9644
2022-10-02,21.84466
2022-10-03,23.62459
2022-10-04,56.47249
2022-10-05,49.51456
2022-10-06,37.54045
2022-10-07,41.90938
2022-10-08,28.9644
