date,금형제작
2021-12-19,12.42603
2021-12-20,40.53254
2021-12-21,36.09467
2021-12-22,32.84023
2021-12-23,34.31952
2021-12-24,29.28994
2021-12-25,14.49704
2021-12-26,10.65088
2021-12-27,27.81065
2021-12-28,34.02366
2021-12-29,28.40236
2021-12-30,33.43195
2021-12-31,18.63905
2022-01-01,13.3136
2022-01-02,11.53846
2022-01-03,26.33136
2022-01-04,28.1065
2022-01-05,27.81065
2022-01-06,36.68639
2022-01-07,31.36094
2022-01-08,18.04733
2022-01-09,17.45562
2022-01-10,34.31952
2022-01-11,38.75739
2022-01-12,39.64497
2022-01-13,37.2781
2022-01-14,34.31952
2022-01-15,19.82248
2022-01-16,13.90532
2022-01-17,41.12426
2022-01-18,47.04142
2022-01-19,35.50295
2022-01-20,40.53254
2022-01-21,34.91124
2022-01-22,16.8639
2022-01-23,14.20118
2022-01-24,34.02366
2022-01-25,36.68639
2022-01-26,35.50295
2022-01-27,36.98224
2022-01-28,23.96449
2022-01-29,16.8639
2022-01-30,13.3136
2022-01-31,7.10059
2022-02-01,12.42603
2022-02-02,14.79289
2022-02-03,36.09467
2022-02-04,33.43195
2022-02-05,15.68047
2022-02-06,15.68047
2022-02-07,46.4497
2022-02-08,38.75739
2022-02-09,36.98224
2022-02-10,30.17751
2022-02-11,29.28994
2022-02-12,18.63905
2022-02-13,10.35502
2022-02-14,35.50295
2022-02-15,39.05325
2022-02-16,28.1065
2022-02-17,35.79881
2022-02-18,26.33136
2022-02-19,14.79289
2022-02-20,13.90532
2022-02-21,32.54437
2022-02-22,32.84023
2022-02-23,37.2781
2022-02-24,34.91124
2022-02-25,26.33136
2022-02-26,15.08875
2022-02-27,11.83431
2022-02-28,28.69822
2022-03-01,19.23076
2022-03-02,35.50295
2022-03-03,39.34911
2022-03-04,32.24852
2022-03-05,15.08875
2022-03-06,14.20118
2022-03-07,41.71597
2022-03-08,34.02366
2022-03-09,18.04733
2022-03-10,34.31952
2022-03-11,38.75739
2022-03-12,14.49704
2022-03-13,13.60946
2022-03-14,39.05325
2022-03-15,35.50295
2022-03-16,37.57396
2022-03-17,35.2071
2022-03-18,26.62721
2022-03-19,14.49704
2022-03-20,15.68047
2022-03-21,25.44378
2022-03-22,47.63313
2022-03-23,34.02366
2022-03-24,29.58579
2022-03-25,29.88165
2022-03-26,19.82248
2022-03-27,24.85207
2022-03-28,33.72781
2022-03-29,35.79881
2022-03-30,29.28994
2022-03-31,38.75739
2022-04-01,31.06508
2022-04-02,10.94674
2022-04-03,11.53846
2022-04-04,30.17751
2022-04-05,24.55621
2022-04-06,27.81065
2022-04-07,33.72781
2022-04-08,32.84023
2022-04-09,10.65088
2022-04-10,12.13017
2022-04-11,22.4852
2022-04-12,26.33136
2022-04-13,28.1065
2022-04-14,24.85207
2022-04-15,26.33136
2022-04-16,13.90532
2022-04-17,16.56804
2022-04-18,26.92307
2022-04-19,27.81065
2022-04-20,30.47337
2022-04-21,30.47337
2022-04-22,28.99408
2022-04-23,8.87573
2022-04-24,12.72189
2022-04-25,26.62721
2022-04-26,24.85207
2022-04-27,30.47337
2022-04-28,19.82248
2022-04-29,20.4142
2022-04-30,9.17159
