date,사업자등록증
2022-08-02,42.97815
2022-08-03,40.97191
2022-08-04,45.47481
2022-08-05,38.16317
2022-08-06,11.76995
2022-08-07,13.64244
2022-08-08,47.03522
2022-08-09,45.65314
2022-08-10,46.90147
2022-08-11,42.08649
2022-08-12,36.37984
2022-08-13,11.59161
2022-08-14,10.2987
2022-08-15,15.51493
2022-08-16,52.20686
2022-08-17,44.62773
2022-08-18,43.9144
2022-08-19,38.47525
2022-08-20,13.28577
2022-08-21,14.17744
2022-08-22,53.14311
2022-08-23,48.90771
2022-08-24,45.16272
2022-08-25,42.39857
2022-08-26,38.65358
2022-08-27,12.26036
2022-08-28,15.15827
2022-08-29,46.58938
2022-08-30,45.16272
2022-08-31,43.60231
2022-09-01,40.74899
2022-09-02,33.8386
2022-09-03,11.85911
2022-09-04,13.41952
2022-09-05,45.7423
2022-09-06,43.20106
2022-09-07,41.95274
2022-09-08,29.11279
2022-09-09,8.38163
2022-09-10,7.4008
2022-09-11,7.89121
2022-09-12,12.57244
2022-09-13,56.39768
2022-09-14,52.11769
2022-09-15,44.22648
2022-09-16,41.72982
2022-09-17,12.26036
2022-09-18,13.24119
2022-09-19,51.53811
2022-09-20,46.09897
2022-09-21,45.60855
2022-09-22,44.40481
2022-09-23,37.00401
2022-09-24,11.81453
2022-09-25,13.50869
2022-09-26,51.98395
2022-09-27,45.92064
2022-09-28,48.23896
2022-09-29,47.30271
2022-09-30,44.80606
2022-10-01,16.04993
2022-10-02,13.55327
2022-10-03,20.41908
2022-10-04,66.78555
2022-10-05,60.49933
2022-10-06,55.14935
2022-10-07,44.76148
2022-10-08,13.64244
2022-10-09,12.26036
2022-10-10,19.75033
2022-10-11,56.97726
2022-10-12,53.05394
2022-10-13,52.07311
2022-10-14,45.96522
2022-10-15,15.29201
2022-10-16,17.38742
2022-10-17,59.20641
2022-10-18,55.77351
2022-10-19,48.72938
2022-10-20,50.60187
2022-10-21,41.64065
2022-10-22,14.84618
2022-10-23,14.5341
2022-10-24,53.90102
2022-10-25,51.8502
2022-10-26,51.8502
2022-10-27,48.59563
2022-10-28,42.75523
2022-10-29,13.77619
2022-10-30,13.68702
2022-10-31,55.19393
2022-11-01,57.646
2022-11-02,48.41729
2022-11-03,50.86937
2022-11-04,44.49398
2022-11-05,15.24743
2022-11-06,13.86535
2022-11-07,55.86268
2022-11-08,56.57601
2022-11-09,54.12394
2022-11-10,47.70396
2022-11-11,44.18189
2022-11-12,14.08827
2022-11-13,15.38118
2022-11-14,57.73517
2022-11-15,51.49353
2022-11-16,45.38564
2022-11-17,47.97146
2022-11-18,40.83816
2022-11-19,13.06286
2022-11-20,13.86535
2022-11-21,52.47436
2022-11-22,52.78644
2022-11-23,46.67855
2022-11-24,45.29647
2022-11-25,38.43067
2022-11-26,12.92911
2022-11-27,14.71243
2022-11-28,51.71645
2022-11-29,47.3473
2022-11-30,50.15604
2022-12-01,46.94605
2022-12-02,40.79358
2022-12-03,11.85911
2022-12-04,13.15202
2022-12-05,52.42978
2022-12-06,45.25189
2022-12-07,48.06063
2022-12-08,48.81854
2022-12-09,39.18858
2022-12-10,13.86535
2022-12-11,16.18368
2022-12-12,53.23227
2022-12-13,48.19438
2022-12-14,43.73606
2022-12-15,40.48149
2022-12-16,36.69193
2022-12-17,13.82077
2022-12-18,14.35577
2022-12-19,49.9777
2022-12-20,47.12438
2022-12-21,44.00356
2022-12-22,44.67231
2022-12-23,36.55818
2022-12-24,11.01203
2022-12-25,11.76995
2022-12-26,45.56397
2022-12-27,48.81854
2022-12-28,45.02897
2022-12-29,46.41105
2022-12-30,31.11903
2022-12-31,12.79536
2023-01-01,16.71868
2023-01-02,56.13018
2023-01-03,53.63352
2023-01-04,52.87561
2023-01-05,53.09852
2023-01-06,42.75523
2023-01-07,14.89077
2023-01-08,16.36201
2023-01-09,59.38475
2023-01-10,59.251
2023-01-11,52.78644
2023-01-12,52.56353
2023-01-13,44.22648
2023-01-14,15.64868
2023-01-15,14.71243
2023-01-16,61.6139
2023-01-17,55.8181
2023-01-18,53.09852
2023-01-19,47.16897
2023-01-20,36.02318
2023-01-21,10.07579
2023-01-22,8.96121
2023-01-23,11.50245
2023-01-24,16.71868
2023-01-25,58.89433
2023-01-26,55.90726
2023-01-27,48.50646
2023-01-28,14.62327
2023-01-29,15.29201
2023-01-30,62.01515
2023-01-31,56.88809
2023-02-01,52.60811
2023-02-02,51.35978
2023-02-03,47.21355
2023-02-04,16.45118
2023-02-05,15.69326
2023-02-06,59.5185
2023-02-07,56.62059
2023-02-08,51.71645
2023-02-09,46.85688
2023-02-10,50.86937
2023-02-11,15.82701
2023-02-12,18.7695
2023-02-13,59.74141
2023-02-14,53.54436
2023-02-15,55.68435
2023-02-16,55.10477
2023-02-17,45.65314
2023-02-18,14.35577
2023-02-19,17.25367
2023-02-20,57.28934
2023-02-21,54.39144
2023-02-22,52.65269
2023-02-23,53.09852
2023-02-24,46.72313
2023-02-25,16.13909
2023-02-26,15.11368
2023-02-27,55.59518
2023-02-28,52.38519
2023-03-01,23.04948
2023-03-02,61.52474
2023-03-03,51.18145
2023-03-04,15.55951
2023-03-05,18.502
2023-03-06,64.28889
2023-03-07,61.6139
2023-03-08,61.48016
2023-03-09,52.87561
2023-03-10,45.43022
2023-03-11,13.55327
2023-03-12,15.8716
2023-03-13,64.02139
2023-03-14,56.75434
2023-03-15,58.93892
2023-03-16,56.75434
2023-03-17,49.7102
2023-03-18,14.89077
2023-03-19,17.56576
2023-03-20,61.65849
2023-03-21,59.20641
2023-03-22,51.93936
2023-03-23,51.0477
2023-03-24,48.72938
2023-03-25,15.02452
2023-03-26,15.0691
2023-03-27,62.99598
2023-03-28,61.07891
2023-03-29,57.69059
2023-03-30,51.67186
2023-03-31,46.09897
2023-04-01,14.13285
2023-04-02,15.51493
2023-04-03,63.84306
2023-04-04,62.81765
2023-04-05,62.01515
2023-04-06,62.1489
2023-04-07,47.43646
2023-04-08,14.62327
2023-04-09,16.13909
2023-04-10,65.09139
2023-04-11,65.00222
2023-04-12,58.76058
2023-04-13,54.16852
2023-04-14,47.21355
2023-04-15,15.20285
2023-04-16,16.27284
2023-04-17,68.61346
2023-04-18,60.76683
2023-04-19,57.9135
2023-04-20,58.40392
2023-04-21,47.21355
2023-04-22,14.35577
2023-04-23,16.94159
2023-04-24,64.28889
2023-04-25,58.53767
2023-04-26,55.37226
2023-04-27,50.15604
2023-04-28,46.5448
2023-04-29,13.37494
2023-04-30,15.0691
2023-05-01,33.88319
2023-05-02,63.39723
2023-05-03,61.79224
2023-05-04,52.56353
2023-05-05,16.67409
2023-05-06,14.57868
2023-05-07,15.96076
2023-05-08,65.80472
2023-05-09,66.42888
2023-05-10,60.63308
2023-05-11,59.38475
2023-05-12,51.62728
2023-05-13,16.04993
2023-05-14,16.13909
2023-05-15,66.96388
2023-05-16,60.67766
2023-05-17,56.57601
2023-05-18,57.15559
2023-05-19,53.05394
2023-05-20,14.44493
2023-05-21,16.22826
2023-05-22,63.7539
2023-05-23,59.42933
2023-05-24,60.14266
2023-05-25,56.30851
2023-05-26,49.75479
2023-05-27,15.6041
