date,코미팜주가
2021-11-27,2.55004
2021-11-28,1.72503
2021-11-29,8.98863
2021-11-30,7.12513
2021-12-01,6.51935
2021-12-02,6.10396
2021-12-03,5.41741
2021-12-04,0.65193
2021-12-05,0.51924
2021-12-06,5.12317
2021-12-07,6.1905
2021-12-08,7.67899
2021-12-09,6.34627
2021-12-10,5.68857
2021-12-11,0.70385
2021-12-12,0.52501
2021-12-13,5.27317
2021-12-14,5.41164
2021-12-15,5.44048
2021-12-16,5.24433
2021-12-17,5.01355
2021-12-18,0.71539
2021-12-19,0.42116
2021-12-20,4.43662
2021-12-21,4.84047
2021-12-22,6.52512
2021-12-23,5.22125
2021-12-24,4.54047
2021-12-25,0.54808
2021-12-26,0.44423
2021-12-27,4.66739
2021-12-28,9.88865
2021-12-29,6.31742
2021-12-30,5.12894
2021-12-31,1.40771
2022-01-01,0.57116
2022-01-02,0.75578
2022-01-03,4.82316
2022-01-04,7.33283
2022-01-05,8.61939
2022-01-06,6.83666
2022-01-07,5.48664
2022-01-08,0.65193
2022-01-09,0.55962
2022-01-10,5.07702
2022-01-11,5.05394
2022-01-12,5.82703
2022-01-13,4.73662
2022-01-14,4.20585
2022-01-15,0.53654
2022-01-16,0.39808
2022-01-17,4.33854
2022-01-18,4.28662
2022-01-19,4.14238
2022-01-20,4.33854
2022-01-21,4.11354
2022-01-22,0.5827
2022-01-23,0.41539
2022-01-24,4.74816
2022-01-25,5.10586
2022-01-26,5.49818
2022-01-27,5.29048
2022-01-28,5.74049
2022-01-29,0.94617
2022-01-30,0.62885
2022-01-31,0.58847
2022-02-01,0.67501
2022-02-02,0.55962
2022-02-03,6.17319
2022-02-04,5.14048
2022-02-05,0.81347
2022-02-06,1.20579
2022-02-07,6.1905
2022-02-08,5.2674
2022-02-09,5.43471
2022-02-10,4.92701
2022-02-11,4.32123
2022-02-12,0.66924
2022-02-13,0.45577
2022-02-14,4.15969
2022-02-15,4.05007
2022-02-16,4.99624
2022-02-17,4.61547
2022-02-18,4.15969
2022-02-19,0.63462
2022-02-20,0.49039
2022-02-21,3.98084
2022-02-22,3.94622
2022-02-23,4.29239
2022-02-24,4.59239
2022-02-25,4.33854
2022-02-26,0.67501
2022-02-27,0.46154
2022-02-28,4.23469
2022-03-01,0.88847
2022-03-02,4.327
2022-03-03,4.92124
2022-03-04,4.12507
2022-03-05,0.5827
2022-03-06,0.40385
2022-03-07,4.08469
2022-03-08,4.41931
2022-03-09,0.65193
2022-03-10,4.90394
2022-03-11,5.27317
2022-03-12,0.81347
2022-03-13,0.78463
2022-03-14,5.17509
2022-03-15,4.71932
2022-03-16,5.61356
2022-03-17,5.4751
2022-03-18,5.44625
2022-03-19,0.81347
2022-03-20,0.54808
2022-03-21,5.02509
2022-03-22,5.24433
2022-03-23,5.39433
2022-03-24,5.17509
2022-03-25,5.03663
2022-03-26,0.66347
2022-03-27,0.64039
2022-03-28,4.9674
2022-03-29,4.98471
2022-03-30,6.20781
2022-03-31,5.07125
2022-04-01,4.23469
2022-04-02,0.55385
2022-04-03,0.49616
2022-04-04,5.00201
2022-04-05,4.48854
2022-04-06,4.00969
2022-04-07,4.03276
2022-04-08,3.86545
2022-04-09,0.53654
2022-04-10,0.40385
2022-04-11,4.00969
2022-04-12,3.3866
2022-04-13,4.32123
2022-04-14,3.90007
2022-04-15,3.63468
2022-04-16,0.38077
2022-04-17,0.35769
2022-04-18,4.29239
2022-04-19,4.70778
2022-04-20,3.8943
2022-04-21,4.39623
2022-04-22,3.76161
2022-04-23,0.51924
2022-04-24,0.35192
2022-04-25,3.62314
2022-04-26,3.75007
2022-04-27,3.82507
2022-04-28,3.58853
2022-04-29,3.9693
2022-04-30,0.38077
2022-05-01,0.3
2022-05-02,3.49045
2022-05-03,4.23469
2022-05-04,3.85392
2022-05-05,0.53654
2022-05-06,4.09623
2022-05-07,0.4327
2022-05-08,0.31731
2022-05-09,3.87122
2022-05-10,3.80776
2022-05-11,3.87122
2022-05-12,3.37506
2022-05-13,4.24623
2022-05-14,0.45577
2022-05-15,0.38654
2022-05-16,3.73853
2022-05-17,3.56545
2022-05-18,3.69237
2022-05-19,3.94046
2022-05-20,4.18277
2022-05-21,0.59424
2022-05-22,0.57693
2022-05-23,4.50585
2022-05-24,4.70778
2022-05-25,5.89626
2022-05-26,4.85778
2022-05-27,5.12894
2022-05-28,0.59424
2022-05-29,0.49616
2022-05-30,5.59626
2022-05-31,4.60393
2022-06-01,0.68655
2022-06-02,4.13661
2022-06-03,4.52893
2022-06-04,0.45
2022-06-05,0.42693
2022-06-06,0.50193
2022-06-07,3.64622
2022-06-08,4.27508
2022-06-09,3.91738
2022-06-10,3.6693
2022-06-11,0.375
2022-06-12,0.23077
2022-06-13,4.08469
2022-06-14,4.44816
2022-06-15,4.0443
2022-06-16,4.07315
2022-06-17,4.08469
2022-06-18,0.42116
2022-06-19,0.20192
2022-06-20,4.02123
2022-06-21,3.60006
2022-06-22,4.102
2022-06-23,4.24046
2022-06-24,4.70778
2022-06-25,0.48462
2022-06-26,0.35769
2022-06-27,4.43085
2022-06-28,3.55391
2022-06-29,3.80199
2022-06-30,4.82316
2022-07-01,4.177
2022-07-02,0.34039
2022-07-03,0.31731
2022-07-04,4.027
2022-07-05,4.402
2022-07-06,4.33277
2022-07-07,4.21738
2022-07-08,4.42508
2022-07-09,0.33462
2022-07-10,0.32885
2022-07-11,3.79622
2022-07-12,3.4616
2022-07-13,3.58853
2022-07-14,3.40391
2022-07-15,3.49622
2022-07-16,0.35192
2022-07-17,0.31154
2022-07-18,3.91161
2022-07-19,3.91161
2022-07-20,3.82507
2022-07-21,3.32314
2022-07-22,3.51929
2022-07-23,0.28269
2022-07-24,0.38077
2022-07-25,3.8193
2022-07-26,3.34044
2022-07-27,3.94622
2022-07-28,3.79622
2022-07-29,3.58276
2022-07-30,0.375
2022-07-31,0.26538
2022-08-01,3.37506
2022-08-02,3.13852
2022-08-03,3.73853
2022-08-04,3.51929
2022-08-05,5.0424
2022-08-06,0.60001
