date,상속재산분할협의서
2021-08-04,52.14105
2021-08-05,45.84382
2021-08-06,48.86649
2021-08-07,24.68513
2021-08-08,25.4408
2021-08-09,52.39294
2021-08-10,51.38539
2021-08-11,52.14105
2021-08-12,58.94206
2021-08-13,38.79093
2021-08-14,21.41057
2021-08-15,23.67758
2021-08-16,27.20403
2021-08-17,52.39294
2021-08-18,59.44584
2021-08-19,49.11838
2021-08-20,49.11838
2021-08-21,21.41057
2021-08-22,24.18136
2021-08-23,49.62216
2021-08-24,52.89672
2021-08-25,57.43073
2021-08-26,47.60705
2021-08-27,44.83627
2021-08-28,22.92191
2021-08-29,25.18891
2021-08-30,47.35516
2021-08-31,50.62972
2021-09-01,55.91939
2021-09-02,58.69017
2021-09-03,40.05037
2021-09-04,30.2267
2021-09-05,26.19647
2021-09-06,60.95717
2021-09-07,55.91939
2021-09-08,54.15617
2021-09-09,51.38539
2021-09-10,40.80604
2021-09-11,24.18136
2021-09-12,26.44836
2021-09-13,60.95717
2021-09-14,53.4005
2021-09-15,54.40806
2021-09-16,50.62972
2021-09-17,40.55415
2021-09-18,18.89168
2021-09-19,18.3879
2021-09-20,26.95214
2021-09-21,30.47858
2021-09-22,34.50881
2021-09-23,90.6801
2021-09-24,72.54408
2021-09-25,27.20403
2021-09-26,32.4937
2021-09-27,76.07052
2021-09-28,56.92695
2021-09-29,64.23173
2021-09-30,62.46851
2021-10-01,44.58438
2021-10-02,19.89924
2021-10-03,18.3879
2021-10-04,27.95969
2021-10-05,67.50629
2021-10-06,68.26196
2021-10-07,55.6675
2021-10-08,43.82871
2021-10-09,21.66246
2021-10-10,18.13602
2021-10-11,22.92191
2021-10-12,60.20151
2021-10-13,57.17884
2021-10-14,54.15617
2021-10-15,42.82115
2021-10-16,18.89168
2021-10-17,26.19647
2021-10-18,56.67506
2021-10-19,51.38539
2021-10-20,50.12594
2021-10-21,44.58438
2021-10-22,46.3476
2021-10-23,22.16624
2021-10-24,25.94458
2021-10-25,64.23173
2021-10-26,55.16372
2021-10-27,58.94206
2021-10-28,54.40806
2021-10-29,38.28715
2021-10-30,17.88413
2021-10-31,32.24181
2021-11-01,53.4005
2021-11-02,50.37783
2021-11-03,54.65994
2021-11-04,57.9345
2021-11-05,42.31738
2021-11-06,23.1738
2021-11-07,29.72292
2021-11-08,56.42317
2021-11-09,59.94962
2021-11-10,61.46095
2021-11-11,50.12594
2021-11-12,52.39294
2021-11-13,28.46347
2021-11-14,24.43324
2021-11-15,76.32241
2021-11-16,76.07052
2021-11-17,57.17884
2021-11-18,53.90428
2021-11-19,55.6675
2021-11-20,27.95969
2021-11-21,28.71536
2021-11-22,61.96473
2021-11-23,51.63727
2021-11-24,50.62972
2021-11-25,48.86649
2021-11-26,50.62972
2021-11-27,20.15113
2021-11-28,29.97481
2021-11-29,63.72795
2021-11-30,70.02518
2021-12-01,59.19395
2021-12-02,60.4534
2021-12-03,48.86649
2021-12-04,20.9068
2021-12-05,22.92191
2021-12-06,65.23929
2021-12-07,60.95717
2021-12-08,61.96473
2021-12-09,64.23173
2021-12-10,50.12594
2021-12-11,32.24181
2021-12-12,28.46347
2021-12-13,68.01007
2021-12-14,59.44584
2021-12-15,56.67506
2021-12-16,67.00251
2021-12-17,56.67506
2021-12-18,24.43324
2021-12-19,26.95214
2021-12-20,75.06297
2021-12-21,62.46851
2021-12-22,58.18639
2021-12-23,55.6675
2021-12-24,45.59193
2021-12-25,22.41813
2021-12-26,32.99748
2021-12-27,54.40806
2021-12-28,64.73551
2021-12-29,64.73551
2021-12-30,48.11083
2021-12-31,44.33249
2022-01-01,18.3879
2022-01-02,20.40302
2022-01-03,75.31486
2022-01-04,55.91939
2022-01-05,65.99496
2022-01-06,62.7204
2022-01-07,58.43828
2022-01-08,24.68513
2022-01-09,39.04282
2022-01-10,87.15365
2022-01-11,57.17884
2022-01-12,56.17128
2022-01-13,70.52896
2022-01-14,58.69017
2022-01-15,24.43324
2022-01-16,31.48614
2022-01-17,59.94962
2022-01-18,77.58186
2022-01-19,55.16372
2022-01-20,56.92695
2022-01-21,61.46095
2022-01-22,25.94458
2022-01-23,36.52392
2022-01-24,69.26952
2022-01-25,77.58186
2022-01-26,62.46851
2022-01-27,50.12594
2022-01-28,45.84382
2022-01-29,23.42569
2022-01-30,18.63979
2022-01-31,23.67758
2022-02-01,26.70025
2022-02-02,35.76826
2022-02-03,83.37531
2022-02-04,62.21662
2022-02-05,37.78337
2022-02-06,27.45591
2022-02-07,73.29974
2022-02-08,69.77329
2022-02-09,61.96473
2022-02-10,65.49118
2022-02-11,54.15617
2022-02-12,26.70025
2022-02-13,30.47858
2022-02-14,71.03274
2022-02-15,66.49874
2022-02-16,50.88161
2022-02-17,59.94962
2022-02-18,57.17884
2022-02-19,31.23425
2022-02-20,33.50125
2022-02-21,73.04785
2022-02-22,64.48362
2022-02-23,72.0403
2022-02-24,60.20151
2022-02-25,41.56171
2022-02-26,28.96725
2022-02-27,26.95214
2022-02-28,47.35516
2022-03-01,34.00503
2022-03-02,54.15617
2022-03-03,53.65239
2022-03-04,51.1335
2022-03-05,23.92947
2022-03-06,21.41057
2022-03-07,52.89672
2022-03-08,48.86649
2022-03-09,29.21914
2022-03-10,55.91939
2022-03-11,46.85138
2022-03-12,22.41813
2022-03-13,33.75314
2022-03-14,68.51385
2022-03-15,67.2544
2022-03-16,54.65994
2022-03-17,56.92695
2022-03-18,58.94206
2022-03-19,29.97481
2022-03-20,29.47103
2022-03-21,63.22418
2022-03-22,62.7204
2022-03-23,69.26952
2022-03-24,58.18639
2022-03-25,53.14861
2022-03-26,26.44836
2022-03-27,32.74559
2022-03-28,73.80352
2022-03-29,67.75818
2022-03-30,55.91939
2022-03-31,54.15617
2022-04-01,51.38539
2022-04-02,31.98992
2022-04-03,31.73803
2022-04-04,67.50629
2022-04-05,65.49118
2022-04-06,59.44584
2022-04-07,66.24685
2022-04-08,59.69773
2022-04-09,24.93702
2022-04-10,28.46347
2022-04-11,66.24685
2022-04-12,60.4534
2022-04-13,56.42317
2022-04-14,59.69773
2022-04-15,54.65994
2022-04-16,32.4937
2022-04-17,31.48614
2022-04-18,70.27707
2022-04-19,61.46095
2022-04-20,60.95717
2022-04-21,64.48362
2022-04-22,46.59949
2022-04-23,24.68513
2022-04-24,35.76826
2022-04-25,65.74307
2022-04-26,72.79596
2022-04-27,65.74307
2022-04-28,71.03274
2022-04-29,55.6675
2022-04-30,25.69269
2022-05-01,37.53148
2022-05-02,68.26196
2022-05-03,68.76574
2022-05-04,76.5743
2022-05-05,40.30226
2022-05-06,61.96473
2022-05-07,26.19647
2022-05-08,22.67002
2022-05-09,75.56675
2022-05-10,80.85642
2022-05-11,73.29974
2022-05-12,66.24685
2022-05-13,48.6146
2022-05-14,26.95214
2022-05-15,32.99748
2022-05-16,63.97984
2022-05-17,61.96473
2022-05-18,68.51385
2022-05-19,66.49874
2022-05-20,56.92695
2022-05-21,30.73047
2022-05-22,29.72292
2022-05-23,63.47607
2022-05-24,63.47607
2022-05-25,65.23929
2022-05-26,63.97984
2022-05-27,47.60705
2022-05-28,25.94458
2022-05-29,29.47103
2022-05-30,62.97229
2022-05-31,66.49874
2022-06-01,23.67758
2022-06-02,62.7204
2022-06-03,51.88916
2022-06-04,22.67002
2022-06-05,18.89168
2022-06-06,31.73803
2022-06-07,54.91183
2022-06-08,57.43073
2022-06-09,63.22418
2022-06-10,66.24685
2022-06-11,27.45591
2022-06-12,31.73803
2022-06-13,77.32997
2022-06-14,73.55163
2022-06-15,65.74307
2022-06-16,55.41561
2022-06-17,51.1335
2022-06-18,28.46347
2022-06-19,22.67002
2022-06-20,64.9874
2022-06-21,63.72795
2022-06-22,66.24685
2022-06-23,55.16372
2022-06-24,46.09571
2022-06-25,26.19647
2022-06-26,24.93702
2022-06-27,68.51385
2022-06-28,62.46851
2022-06-29,49.87405
2022-06-30,46.09571
2022-07-01,36.27204
2022-07-02,24.18136
2022-07-03,22.92191
2022-07-04,59.19395
2022-07-05,56.42317
2022-07-06,61.96473
2022-07-07,59.94962
2022-07-08,47.85894
2022-07-09,25.94458
2022-07-10,24.93702
2022-07-11,60.70528
2022-07-12,54.91183
2022-07-13,62.46851
2022-07-14,63.97984
2022-07-15,60.70528
2022-07-16,30.73047
2022-07-17,32.74559
2022-07-18,61.20906
2022-07-19,56.67506
2022-07-20,67.50629
2022-07-21,64.23173
2022-07-22,53.90428
2022-07-23,21.91435
2022-07-24,35.51637
2022-07-25,72.29219
2022-07-26,65.99496
