date,비갱신건강보험
2023-10-15,4.94505
2023-10-16,7.14285
2023-10-17,12.08791
2023-10-18,3.84615
2023-10-19,8.24175
2023-10-20,7.6923
2023-10-23,7.6923
2023-10-24,6.5934
2023-10-25,8.24175
2023-10-26,3.2967
2023-10-27,8.7912
2023-10-28,4.3956
2023-10-29,3.2967
2023-10-30,6.04395
2023-10-31,8.24175
2023-11-01,4.94505
2023-11-02,3.2967
2023-11-03,6.5934
2023-11-05,2.74725
2023-11-06,7.6923
2023-11-07,2.74725
2023-11-08,7.14285
2023-11-09,4.3956
2023-11-10,2.74725
2023-11-12,3.2967
2023-11-13,8.7912
2023-11-14,4.94505
2023-11-15,10.43956
2023-11-16,4.94505
2023-11-17,7.14285
2023-11-19,6.04395
2023-11-20,10.43956
2023-11-21,13.73626
2023-11-22,7.6923
2023-11-23,3.84615
2023-11-24,8.24175
2023-11-26,5.4945
2023-11-27,6.5934
2023-11-28,7.6923
2023-11-29,3.84615
2023-11-30,12.08791
2023-12-01,4.94505
2023-12-04,6.5934
2023-12-05,4.94505
2023-12-06,6.5934
2023-12-07,11.53846
2023-12-08,4.3956
2023-12-10,3.2967
2023-12-11,8.7912
2023-12-12,4.94505
2023-12-13,10.43956
2023-12-14,9.8901
2023-12-15,6.04395
2023-12-17,3.84615
2023-12-18,10.98901
2023-12-19,2.74725
2023-12-20,3.2967
2023-12-21,2.74725
2023-12-22,4.3956
2023-12-23,11.53846
2023-12-24,5.4945
2023-12-25,3.2967
2023-12-26,10.43956
2023-12-27,21.97802
2023-12-28,6.5934
2023-12-29,3.84615
2023-12-30,2.74725
2023-12-31,4.3956
2024-01-02,8.7912
2024-01-03,5.4945
2024-01-04,3.84615
2024-01-05,8.24175
2024-01-06,6.5934
2024-01-07,3.84615
2024-01-08,14.28571
2024-01-09,20.87912
2024-01-10,9.8901
2024-01-11,12.08791
2024-01-12,14.28571
2024-01-13,3.84615
2024-01-14,7.6923
2024-01-15,15.93406
2024-01-16,6.5934
2024-01-17,12.63736
2024-01-18,12.63736
2024-01-19,18.13186
2024-01-20,10.98901
2024-01-21,7.14285
2024-01-22,12.08791
2024-01-23,16.48351
2024-01-24,20.87912
2024-01-25,23.07692
2024-01-26,22.52747
2024-01-28,10.98901
2024-01-29,15.93406
2024-01-30,15.93406
2024-01-31,18.68131
2024-02-01,21.42857
2024-02-02,17.58241
2024-02-03,6.5934
2024-02-04,2.74725
2024-02-05,20.87912
2024-02-06,8.7912
2024-02-07,7.14285
2024-02-09,5.4945
2024-02-12,5.4945
2024-02-13,16.48351
2024-02-14,10.43956
2024-02-15,9.8901
2024-02-16,7.6923
2024-02-17,3.84615
2024-02-18,2.74725
2024-02-19,5.4945
2024-02-20,12.63736
2024-02-21,24.17582
2024-02-22,13.18681
2024-02-23,7.6923
2024-02-25,7.6923
2024-02-26,13.73626
2024-02-27,6.04395
2024-02-28,14.83516
2024-02-29,10.98901
2024-03-01,6.04395
