date,증여상속
2022-07-06,45.16129
2022-07-07,48.74551
2022-07-08,47.31182
2022-07-09,42.65232
2022-07-10,41.93548
2022-07-11,58.78136
2022-07-12,55.19713
2022-07-13,51.6129
2022-07-14,50.53763
2022-07-15,48.38709
2022-07-16,43.36917
2022-07-17,35.84229
2022-07-18,63.08243
2022-07-19,52.68817
2022-07-20,56.2724
2022-07-21,56.98924
2022-07-22,36.20071
2022-07-23,38.70967
2022-07-24,41.21863
2022-07-25,59.13978
2022-07-26,47.31182
2022-07-27,41.93548
2022-07-28,48.02867
2022-07-29,36.20071
2022-07-30,29.39068
2022-07-31,37.99283
2022-08-01,50.89605
2022-08-02,49.10394
2022-08-03,52.32974
2022-08-04,50.53763
2022-08-05,46.23655
2022-08-06,36.91756
2022-08-07,37.27598
2022-08-08,53.04659
2022-08-09,36.55913
2022-08-10,38.35125
2022-08-11,41.93548
2022-08-12,43.36917
2022-08-13,39.42652
2022-08-14,28.67383
2022-08-15,34.4086
2022-08-16,53.40501
2022-08-17,43.36917
2022-08-18,36.55913
2022-08-19,46.9534
2022-08-20,39.0681
2022-08-21,41.57706
2022-08-22,49.46236
2022-08-23,53.40501
2022-08-24,43.72759
2022-08-25,45.51971
2022-08-26,36.20071
2022-08-27,36.20071
2022-08-28,29.03225
2022-08-29,40.14336
2022-08-30,44.44444
2022-08-31,35.84229
2022-09-01,46.9534
2022-09-02,44.44444
2022-09-03,39.78494
2022-09-04,45.51971
2022-09-05,48.02867
2022-09-06,43.36917
2022-09-07,45.87813
2022-09-08,35.48387
2022-09-09,34.76702
2022-09-10,58.42293
2022-09-11,56.63082
2022-09-12,98.92473
2022-09-13,83.15412
2022-09-14,66.30824
2022-09-15,54.12186
2022-09-16,55.91397
2022-09-17,48.74551
2022-09-18,49.82078
2022-09-19,59.4982
2022-09-20,48.02867
2022-09-21,53.40501
2022-09-22,44.44444
2022-09-23,46.23655
2022-09-24,34.05017
2022-09-25,34.4086
2022-09-26,53.04659
2022-09-27,50.53763
