date,기아주식
2021-06-26,2.77832
2021-06-27,2.97678
2021-06-28,12.06588
2021-06-29,9.12879
2021-06-30,8.85096
2021-07-01,9.3074
2021-07-02,9.94244
2021-07-03,1.92498
2021-07-04,2.50049
2021-07-05,11.80789
2021-07-06,10.7561
2021-07-07,12.24449
2021-07-08,11.54991
2021-07-09,12.78031
2021-07-10,2.4608
2021-07-11,2.40127
2021-07-12,10.10121
2021-07-13,9.76384
2021-07-14,10.49811
2021-07-15,10.39888
2021-07-16,10.45842
2021-07-17,2.22266
2021-07-18,2.73863
2021-07-19,10.69656
2021-07-20,10.61718
2021-07-21,10.20043
2021-07-22,13.99087
2021-07-23,12.62155
2021-07-24,2.61956
2021-07-25,2.38142
2021-07-26,10.12105
2021-07-27,9.20817
2021-07-28,9.9226
2021-07-29,8.95018
2021-07-30,13.99087
2021-07-31,2.77832
2021-08-01,2.56003
2021-08-02,11.7682
2021-08-03,12.10557
2021-08-04,13.79241
2021-08-05,13.33597
2021-08-06,11.82774
2021-08-07,2.44096
2021-08-08,2.18297
2021-08-09,12.32387
2021-08-10,13.95118
2021-08-11,15.34034
2021-08-12,22.36554
2021-08-13,15.02282
2021-08-14,3.01647
2021-08-15,2.71879
2021-08-16,4.10795
2021-08-17,12.66124
2021-08-18,11.94681
2021-08-19,16.9478
2021-08-20,15.14189
2021-08-21,2.63941
2021-08-22,2.93709
2021-08-23,12.34371
2021-08-24,12.50248
2021-08-25,11.39114
2021-08-26,11.09347
2021-08-27,9.36693
2021-08-28,2.6791
2021-08-29,2.02421
2021-08-30,9.84322
2021-08-31,13.19706
2021-09-01,13.49474
2021-09-02,10.18059
2021-09-03,11.51022
2021-09-04,2.57987
2021-09-05,2.08374
2021-09-06,10.61718
2021-09-07,10.06152
2021-09-08,15.04266
2021-09-09,12.18495
2021-09-10,21.53205
2021-09-11,3.43322
2021-09-12,2.95693
2021-09-13,10.29966
2021-09-14,10.33935
2021-09-15,8.33498
2021-09-16,9.7043
