date,삼성증권고객센터
2022-04-17,0.30293
2022-04-18,4.02908
2022-04-19,3.33232
2022-04-20,3.87761
2022-04-21,3.9079
2022-04-22,3.78673
2022-04-24,0.27264
2022-04-25,4.60466
2022-04-26,2.96879
2022-04-27,3.78673
2022-04-28,3.30202
2022-04-29,3.66555
2022-04-30,0.27264
2022-05-01,0.18176
2022-05-02,5.11966
2022-05-03,4.27143
2022-05-04,3.33232
2022-05-05,0.24235
2022-05-06,4.15025
2022-05-07,0.15146
2022-05-09,3.72614
2022-05-10,2.78703
2022-05-11,2.72644
2022-05-12,3.4232
2022-05-13,3.69584
2022-05-16,3.75643
2022-05-17,3.66555
2022-05-18,2.51438
2022-05-19,3.51408
2022-05-20,3.05967
2022-05-21,0.36352
2022-05-22,0.21205
2022-05-23,3.72614
2022-05-24,3.57467
2022-05-25,4.36231
2022-05-26,3.24144
2022-05-27,3.66555
2022-05-28,0.27264
2022-05-30,3.72614
2022-05-31,3.12026
2022-06-01,0.33323
2022-06-02,3.39291
2022-06-03,2.78703
2022-06-05,0.15146
2022-06-06,0.4847
2022-06-07,4.02908
2022-06-08,3.05967
2022-06-09,2.63556
2022-06-10,2.66585
2022-06-11,0.18176
2022-06-12,0.33323
2022-06-13,3.78673
2022-06-14,4.75613
2022-06-15,5.66495
2022-06-16,3.54438
2022-06-17,3.60496
2022-06-20,3.12026
2022-06-21,3.39291
2022-06-22,3.15056
2022-06-23,2.30233
2022-06-24,3.81702
2022-06-25,0.18176
2022-06-27,3.30202
2022-06-28,2.66585
2022-06-29,2.78703
2022-06-30,3.39291
2022-07-01,3.08997
2022-07-02,0.15146
2022-07-03,0.18176
2022-07-04,3.84731
2022-07-05,2.75674
2022-07-06,2.57497
2022-07-07,2.15086
2022-07-08,2.60527
2022-07-09,0.30293
2022-07-10,0.24235
2022-07-11,3.05967
2022-07-12,2.4538
2022-07-13,2.36292
2022-07-14,3.15056
2022-07-15,3.24144
2022-07-16,0.30293
2022-07-18,3.87761
2022-07-19,5.30142
2022-07-20,3.18085
2022-07-21,3.12026
2022-07-22,2.78703
2022-07-23,0.24235
2022-07-25,3.15056
2022-07-26,2.36292
2022-07-27,2.36292
2022-07-28,2.72644
2022-07-29,2.48409
2022-08-01,3.15056
2022-08-02,2.69615
2022-08-03,3.12026
2022-08-04,2.75674
2022-08-05,2.18115
2022-08-06,0.21205
2022-08-08,3.27173
2022-08-09,3.08997
2022-08-10,2.33262
2022-08-11,3.02938
2022-08-12,3.05967
2022-08-14,0.15146
2022-08-15,0.18176
2022-08-16,3.51408
2022-08-17,3.66555
2022-08-18,3.54438
2022-08-19,3.9382
2022-08-20,0.15146
2022-08-22,3.51408
2022-08-23,2.87791
2022-08-24,2.84762
2022-08-25,3.24144
2022-08-26,3.72614
2022-08-27,0.24235
2022-08-28,0.15146
2022-08-29,3.84731
2022-08-30,2.30233
2022-08-31,3.27173
2022-09-01,3.21114
2022-09-02,2.63556
2022-09-04,0.21205
2022-09-05,2.63556
2022-09-06,2.60527
2022-09-07,2.24174
2022-09-08,2.21145
2022-09-09,0.30293
2022-09-13,4.30172
2022-09-14,3.08997
2022-09-15,3.45349
2022-09-16,3.57467
2022-09-17,0.21205
2022-09-18,0.15146
2022-09-19,3.15056
2022-09-20,2.66585
2022-09-21,2.39321
2022-09-22,2.78703
2022-09-23,3.24144
2022-09-24,0.24235
2022-09-26,3.48379
2022-09-27,3.54438
2022-09-28,3.08997
2022-09-29,2.51438
2022-09-30,3.63526
2022-10-03,0.24235
2022-10-04,3.99878
2022-10-05,3.57467
2022-10-06,2.9385
2022-10-07,3.02938
2022-10-08,0.15146
2022-10-09,0.18176
2022-10-10,0.36352
2022-10-11,3.48379
2022-10-12,3.21114
2022-10-13,2.9082
2022-10-14,3.18085
2022-10-16,0.18176
2022-10-17,4.69554
2022-10-18,4.27143
2022-10-19,3.75643
2022-10-20,3.08997
2022-10-21,3.05967
2022-10-22,0.21205
2022-10-23,0.18176
2022-10-24,3.48379
2022-10-25,3.02938
2022-10-26,3.9079
2022-10-27,4.24113
2022-10-28,3.45349
2022-10-31,3.51408
2022-11-01,4.05937
2022-11-02,2.96879
2022-11-03,2.99909
2022-11-04,3.84731
2022-11-05,0.15146
2022-11-07,3.08997
2022-11-08,3.15056
2022-11-09,2.9082
2022-11-10,2.87791
2022-11-11,3.27173
2022-11-12,0.39382
2022-11-14,3.87761
2022-11-15,4.72584
2022-11-16,3.99878
2022-11-17,4.11996
2022-11-18,3.75643
2022-11-19,0.21205
2022-11-20,0.30293
2022-11-21,3.87761
2022-11-22,3.48379
2022-11-23,4.18055
2022-11-24,4.11996
2022-11-25,3.45349
2022-11-26,0.72705
2022-11-27,0.15146
2022-11-28,3.9079
2022-11-29,3.54438
2022-11-30,3.57467
2022-12-01,3.48379
2022-12-02,3.51408
2022-12-04,0.30293
2022-12-05,4.27143
2022-12-06,3.51408
2022-12-07,3.75643
2022-12-08,3.02938
2022-12-09,3.02938
2022-12-10,0.36352
2022-12-12,4.11996
2022-12-13,3.99878
2022-12-14,4.08966
2022-12-15,2.60527
2022-12-16,3.69584
2022-12-17,0.15146
2022-12-19,3.27173
2022-12-20,3.08997
2022-12-21,4.36231
2022-12-22,3.39291
2022-12-23,4.36231
2022-12-24,0.18176
2022-12-25,0.42411
2022-12-26,5.3923
2022-12-27,5.78612
2022-12-28,6.78582
2022-12-29,5.30142
2022-12-30,4.4229
2022-12-31,0.27264
2023-01-01,0.18176
2023-01-02,4.81672
2023-01-03,4.84701
2023-01-04,4.4229
2023-01-05,4.4229
2023-01-06,3.63526
2023-01-07,0.66646
2023-01-08,0.24235
2023-01-09,5.30142
2023-01-10,4.4229
2023-01-11,3.84731
2023-01-12,4.21084
2023-01-13,7.14934
2023-01-14,1.18146
2023-01-15,0.69675
2023-01-16,8.72462
2023-01-17,6.54347
2023-01-18,6.66464
2023-01-19,6.69494
2023-01-20,6.54347
2023-01-21,0.87852
2023-01-22,0.39382
