date,피상속인
2022-04-01,30.50259
2022-04-02,17.67764
2022-04-03,17.15771
2022-04-04,39.86135
2022-04-05,44.36741
2022-04-06,37.60831
2022-04-07,33.62218
2022-04-08,33.10225
2022-04-09,18.54419
2022-04-10,19.58405
2022-04-11,41.42114
2022-04-12,44.1941
2022-04-13,40.20797
2022-04-14,42.11438
2022-04-15,33.27556
2022-04-16,16.81109
2022-04-17,19.23743
2022-04-18,40.7279
2022-04-19,41.24783
2022-04-20,42.98093
2022-04-21,39.34142
2022-04-22,31.36915
2022-04-23,21.83708
2022-04-24,18.19757
2022-04-25,41.07452
2022-04-26,42.461
2022-04-27,32.75563
2022-04-28,38.64818
2022-04-29,28.24956
2022-04-30,13.34488
2022-05-01,14.73136
2022-05-02,33.62218
2022-05-03,41.07452
2022-05-04,34.83535
2022-05-05,17.50433
2022-05-06,30.6759
2022-05-07,16.46447
2022-05-08,18.19757
2022-05-09,42.461
2022-05-10,36.04852
2022-05-11,38.9948
2022-05-12,34.66204
2022-05-13,28.07625
2022-05-14,13.17157
2022-05-15,16.29116
2022-05-16,36.74176
2022-05-17,35.00866
2022-05-18,29.28942
2022-05-19,35.7019
2022-05-20,27.03639
2022-05-21,17.33102
2022-05-22,16.11785
2022-05-23,34.66204
2022-05-24,40.55459
2022-05-25,35.18197
2022-05-26,38.47487
2022-05-27,29.28942
2022-05-28,19.06412
2022-05-29,16.29116
2022-05-30,39.51473
2022-05-31,29.46273
2022-06-01,19.41074
2022-06-02,37.78162
2022-06-03,36.04852
2022-06-04,18.89081
2022-06-05,25.30329
2022-06-06,24.43674
2022-06-07,48.35355
2022-06-08,47.83362
2022-06-09,50.77989
2022-06-10,36.39514
2022-06-11,29.28942
2022-06-12,25.99653
2022-06-13,46.96707
2022-06-14,53.37954
2022-06-15,46.27383
2022-06-16,47.14038
2022-06-17,37.435
2022-06-18,21.49046
2022-06-19,27.90294
2022-06-20,40.20797
2022-06-21,43.15424
2022-06-22,33.62218
2022-06-23,37.26169
2022-06-24,30.32928
2022-06-25,18.37088
2022-06-26,17.33102
2022-06-27,39.86135
2022-06-28,38.64818
2022-06-29,39.16811
2022-06-30,35.35528
2022-07-01,26.86308
2022-07-02,20.4506
2022-07-03,19.06412
2022-07-04,35.35528
2022-07-05,40.90121
2022-07-06,36.39514
2022-07-07,37.95493
2022-07-08,29.80935
2022-07-09,20.79722
2022-07-10,19.06412
2022-07-11,42.11438
2022-07-12,39.86135
2022-07-13,44.36741
2022-07-14,44.1941
2022-07-15,37.08838
2022-07-16,20.79722
2022-07-17,17.67764
2022-07-18,44.02079
2022-07-19,54.41941
2022-07-20,42.63431
2022-07-21,39.86135
2022-07-22,42.63431
2022-07-23,20.79722
2022-07-24,20.10398
2022-07-25,41.24783
2022-07-26,41.94107
2022-07-27,41.24783
2022-07-28,39.86135
2022-07-29,30.50259
2022-07-30,14.90467
2022-07-31,15.25129
2022-08-01,43.32755
2022-08-02,40.7279
2022-08-03,39.86135
2022-08-04,36.04852
2022-08-05,32.2357
2022-08-06,12.65164
2022-08-07,21.31715
2022-08-08,32.92894
2022-08-09,37.78162
2022-08-10,44.02079
2022-08-11,39.34142
2022-08-12,31.71577
2022-08-13,14.90467
2022-08-14,14.73136
2022-08-15,22.35701
2022-08-16,38.47487
2022-08-17,40.03466
2022-08-18,37.95493
2022-08-19,38.64818
2022-08-20,22.53032
2022-08-21,25.64991
2022-08-22,42.63431
2022-08-23,35.87521
2022-08-24,38.12824
2022-08-25,42.28769
2022-08-26,34.31542
2022-08-27,15.42461
2022-08-28,16.29116
2022-08-29,42.28769
2022-08-30,36.04852
2022-08-31,59.61871
2022-09-01,100.0
2022-09-02,70.36395
2022-09-03,36.39514
2022-09-04,36.56845
2022-09-05,51.12651
2022-09-06,46.62045
2022-09-07,49.74003
2022-09-08,37.95493
2022-09-09,24.43674
2022-09-10,19.58405
2022-09-11,22.87694
2022-09-12,24.09012
2022-09-13,57.36568
2022-09-14,54.76603
2022-09-15,49.56672
2022-09-16,58.40554
2022-09-17,31.36915
2022-09-18,32.06239
2022-09-19,70.36395
2022-09-20,75.38994
2022-09-21,70.19064
2022-09-22,69.67071
2022-09-23,56.15251
2022-09-24,34.31542
2022-09-25,36.22183
2022-09-26,76.4298
2022-09-27,60.13864
2022-09-28,54.41941
2022-09-29,54.93934
2022-09-30,47.83362
2022-10-01,22.53032
2022-10-02,26.16984
2022-10-03,35.18197
2022-10-04,51.81975
2022-10-05,58.75216
2022-10-06,50.9532
2022-10-07,41.42114
2022-10-08,26.68977
2022-10-09,26.68977
2022-10-10,28.76949
2022-10-11,51.29982
2022-10-12,54.76603
2022-10-13,44.54072
2022-10-14,46.44714
2022-10-15,32.06239
2022-10-16,30.50259
2022-10-17,50.9532
2022-10-18,51.12651
2022-10-19,48.87348
2022-10-20,48.87348
2022-10-21,36.04852
2022-10-22,28.76949
2022-10-23,29.80935
2022-10-24,46.62045
2022-10-25,49.91334
2022-10-26,47.66031
