date,직장인투잡
2022-10-11,73.49593
2022-10-12,56.91056
2022-10-13,60.813
2022-10-14,54.63414
2022-10-15,40.6504
2022-10-16,45.69105
2022-10-17,85.20325
2022-10-18,83.08943
2022-10-19,78.86178
2022-10-20,68.94308
2022-10-21,60.0
2022-10-22,50.4065
2022-10-23,56.09756
2022-10-24,74.30894
2022-10-25,66.34146
2022-10-26,67.64227
2022-10-27,61.78861
2022-10-28,48.78048
2022-10-29,37.23577
2022-10-30,32.52032
2022-10-31,75.60975
2022-11-01,69.26829
2022-11-02,61.62601
2022-11-03,61.30081
2022-11-04,51.54471
2022-11-05,37.88617
2022-11-06,43.41463
2022-11-07,61.13821
2022-11-08,73.65853
2022-11-09,70.4065
2022-11-10,71.38211
2022-11-11,65.69105
2022-11-12,53.00813
2022-11-13,67.64227
2022-11-14,100.0
2022-11-15,93.33333
2022-11-16,77.07317
2022-11-17,73.49593
2022-11-18,54.63414
2022-11-19,43.90243
2022-11-20,51.21951
2022-11-21,86.50406
2022-11-22,73.98373
2022-11-23,65.52845
2022-11-24,50.7317
2022-11-25,47.15447
2022-11-26,37.23577
2022-11-27,39.51219
2022-11-28,59.02439
2022-11-29,60.3252
2022-11-30,46.17886
2022-12-01,49.43089
2022-12-02,48.94308
2022-12-03,37.39837
2022-12-04,54.14634
2022-12-05,57.88617
2022-12-06,49.91869
2022-12-07,63.25203
2022-12-08,57.72357
2022-12-09,48.78048
2022-12-10,32.52032
2022-12-11,40.9756
2022-12-12,66.99186
2022-12-13,65.85365
2022-12-14,57.07317
2022-12-15,49.59349
2022-12-16,44.87804
2022-12-17,30.8943
2022-12-18,35.12195
2022-12-19,59.67479
2022-12-20,68.45528
2022-12-21,60.0
2022-12-22,53.33333
2022-12-23,43.90243
2022-12-24,28.94308
2022-12-25,44.06504
2022-12-26,69.59349
2022-12-27,70.2439
2022-12-28,61.46341
2022-12-29,52.84552
2022-12-30,39.34959
2022-12-31,33.17073
2023-01-01,49.75609
2023-01-02,77.23577
2023-01-03,72.35772
2023-01-04,58.21138
2023-01-05,55.28455
2023-01-06,50.8943
2023-01-07,40.3252
2023-01-08,53.82113
2023-01-09,85.52845
2023-01-10,87.47967
2023-01-11,81.46341
2023-01-12,60.0
2023-01-13,47.47967
2023-01-14,36.42276
2023-01-15,41.95121
2023-01-16,61.46341
2023-01-17,59.18699
2023-01-18,52.68292
2023-01-19,52.52032
2023-01-20,35.44715
2023-01-21,25.52845
2023-01-22,29.10569
2023-01-23,39.18699
2023-01-24,48.78048
2023-01-25,77.07317
2023-01-26,61.78861
2023-01-27,53.65853
2023-01-28,40.3252
2023-01-29,55.77235
2023-01-30,83.90243
2023-01-31,74.14634
2023-02-01,65.69105
2023-02-02,60.0
2023-02-03,44.55284
2023-02-04,31.21951
2023-02-05,51.38211
2023-02-06,79.34959
2023-02-07,65.52845
2023-02-08,66.50406
2023-02-09,54.95934
2023-02-10,48.45528
2023-02-11,29.59349
2023-02-12,49.75609
2023-02-13,88.45528
2023-02-14,76.42276
2023-02-15,60.3252
2023-02-16,53.98373
2023-02-17,46.50406
2023-02-18,32.68292
2023-02-19,44.71544
2023-02-20,66.82926
2023-02-21,64.55284
2023-02-22,56.91056
2023-02-23,48.78048
2023-02-24,46.99186
2023-02-25,28.29268
2023-02-26,45.36585
2023-02-27,61.78861
2023-02-28,60.1626
2023-03-01,51.05691
2023-03-02,57.07317
2023-03-03,43.57723
2023-03-04,34.30894
2023-03-05,45.52845
2023-03-06,66.50406
2023-03-07,57.39837
2023-03-08,59.67479
2023-03-09,53.00813
2023-03-10,48.29268
2023-03-11,24.39024
2023-03-12,35.60975
2023-03-13,60.813
2023-03-14,58.04878
2023-03-15,58.04878
2023-03-16,51.05691
2023-03-17,39.18699
2023-03-18,32.03252
2023-03-19,40.1626
2023-03-20,61.30081
2023-03-21,61.46341
2023-03-22,55.60975
2023-03-23,49.91869
2023-03-24,38.69918
2023-03-25,23.90243
2023-03-26,37.07317
2023-03-27,65.36585
2023-03-28,51.70731
2023-03-29,50.8943
2023-03-30,42.92682
2023-03-31,36.09756
2023-04-01,27.31707
2023-04-02,34.95934
2023-04-03,50.8943
2023-04-04,50.7317
2023-04-05,47.31707
2023-04-06,39.83739
2023-04-07,33.65853
2023-04-08,29.75609
2023-04-09,40.9756
2023-04-10,57.39837
2023-04-11,62.11382
2023-04-12,55.12195
