date,현대상선주가
2021-10-03,1.72311
2021-10-04,3.84026
2021-10-05,30.08099
2021-10-06,27.75119
2021-10-07,31.74469
2021-10-08,30.06223
2021-10-09,2.16092
2021-10-10,1.74187
2021-10-11,3.28986
2021-10-12,27.32589
2021-10-13,24.62394
2021-10-14,26.76924
2021-10-15,27.53541
2021-10-16,2.04834
2021-10-17,1.48544
2021-10-18,23.77959
2021-10-19,25.28692
2021-10-20,21.95327
2021-10-21,21.82818
2021-10-22,20.18325
2021-10-23,1.90762
2021-10-24,1.401
2021-10-25,23.06657
2021-10-26,23.00403
2021-10-27,28.82071
2021-10-28,25.54648
2021-10-29,23.24795
2021-10-30,2.11089
2021-10-31,1.31657
2021-11-01,21.82506
2021-11-02,25.81542
2021-11-03,20.33649
2021-11-04,21.72186
2021-11-05,18.81977
2021-11-06,1.77627
2021-11-07,1.3322
2021-11-08,20.14572
2021-11-09,19.3045
2021-11-10,18.87606
2021-11-11,20.25205
2021-11-12,24.44882
2021-11-13,2.03583
2021-11-14,1.45729
2021-11-15,20.8087
2021-11-16,19.57657
2021-11-17,18.28814
2021-11-18,18.62901
2021-11-19,18.088
2021-11-20,1.70747
2021-11-21,1.28529
2021-11-22,20.08005
2021-11-23,18.47265
2021-11-24,18.06298
2021-11-25,17.33433
2021-11-26,16.8371
2021-11-27,1.76064
2021-11-28,1.30718
2021-11-29,20.11758
2021-11-30,20.08318
2021-12-01,22.39109
2021-12-02,23.58882
2021-12-03,22.86643
2021-12-04,2.34543
2021-12-05,1.48231
2021-12-06,23.32926
2021-12-07,22.87581
2021-12-08,22.58498
2021-12-09,20.48972
2021-12-10,18.36632
2021-12-11,1.67933
2021-12-12,1.54798
2021-12-13,24.89601
2021-12-14,21.16521
2021-12-15,20.01125
2021-12-16,20.97757
2021-12-17,22.3004
2021-12-18,2.15467
2021-12-19,1.72936
2021-12-20,19.22944
2021-12-21,19.96122
2021-12-22,18.72908
2021-12-23,18.64465
2021-12-24,17.21862
2021-12-25,1.55424
2021-12-26,1.37911
2021-12-27,17.95978
2021-12-28,18.52894
2021-12-29,22.70381
2021-12-30,18.28189
2021-12-31,5.17872
2022-01-01,1.05075
2022-01-02,1.21962
2022-01-03,18.79163
2022-01-04,17.83469
2022-01-05,18.43199
2022-01-06,16.7683
2022-01-07,17.60327
2022-01-08,1.74813
2022-01-09,1.31969
2022-01-10,16.19914
2022-01-11,16.50561
2022-01-12,17.7784
2022-01-13,15.92081
2022-01-14,15.47987
2022-01-15,1.47606
2022-01-16,1.34784
2022-01-17,15.55493
2022-01-18,15.0358
2022-01-19,14.91071
2022-01-20,14.50417
2022-01-21,13.90061
2022-01-22,1.46355
2022-01-23,1.11017
2022-01-24,14.80439
2022-01-25,16.14285
2022-01-26,16.85586
2022-01-27,17.2968
2022-01-28,16.58379
2022-01-29,1.53547
2022-01-30,0.98821
2022-01-31,0.94442
2022-02-01,1.01635
2022-02-02,1.03824
2022-02-03,17.26866
2022-02-04,15.88329
2022-02-05,1.61053
2022-02-06,0.9413
2022-02-07,14.74184
2022-02-08,18.22247
2022-02-09,16.82146
2022-02-10,16.71826
2022-02-11,14.795
2022-02-12,1.37286
2022-02-13,0.96631
2022-02-14,16.94968
2022-02-15,22.42549
2022-02-16,19.61409
2022-02-17,26.95687
2022-02-18,28.70187
2022-02-19,2.69568
2022-02-20,1.83882
2022-02-21,27.94508
2022-02-22,29.86208
2022-02-23,28.51111
2022-02-24,26.4784
2022-02-25,23.41057
2022-02-26,2.05147
2022-02-27,1.19773
2022-02-28,20.29583
2022-03-01,2.45488
2022-03-02,20.4522
2022-03-03,23.25421
2022-03-04,39.64099
2022-03-05,3.67451
2022-03-06,2.42048
2022-03-07,30.1623
2022-03-08,26.75985
2022-03-09,2.91459
2022-03-10,23.02279
2022-03-11,21.46542
2022-03-12,2.03583
2022-03-13,1.87947
2022-03-14,25.98117
2022-03-15,23.26672
2022-03-16,22.10338
2022-03-17,22.22534
2022-03-18,23.6889
2022-03-19,2.16405
2022-03-20,1.47606
2022-03-21,19.67351
2022-03-22,18.67592
2022-03-23,18.72908
2022-03-24,18.56021
2022-03-25,17.20298
2022-03-26,1.61365
2022-03-27,1.02261
2022-03-28,17.56575
2022-03-29,16.78706
2022-03-30,17.63454
2022-03-31,16.65884
2022-04-01,15.16715
2022-04-02,1.37598
2022-04-03,1.01635
2022-04-04,15.70816
2022-04-05,14.66679
2022-04-06,14.05072
2022-04-07,16.07405
2022-04-08,15.52991
2022-04-09,1.39475
2022-04-10,0.88188
2022-04-11,16.15536
2022-04-12,15.28911
2022-04-13,15.91456
2022-04-14,15.52053
2022-04-15,13.94439
2022-04-16,1.28217
2022-04-17,0.95068
2022-04-18,14.05385
2022-04-19,16.4587
2022-04-20,16.33674
2022-04-21,16.54626
2022-04-22,13.83494
2022-04-23,1.34158
2022-04-24,0.85061
2022-04-25,13.06876
2022-04-26,14.11014
2022-04-27,13.08127
2022-04-28,16.64946
2022-04-29,15.74881
2022-04-30,1.27904
2022-05-01,0.96006
2022-05-02,15.69252
2022-05-03,15.6894
2022-05-04,14.28526
2022-05-05,1.93263
2022-05-06,14.85129
2022-05-07,1.4698
2022-05-08,1.08202
2022-05-09,14.46352
2022-05-10,13.43152
2022-05-11,16.00838
2022-05-12,20.61168
2022-05-13,19.61409
2022-05-14,1.8826
2022-05-15,1.21337
2022-05-16,16.50248
2022-05-17,15.67689
2022-05-18,15.17966
2022-05-19,14.98889
2022-05-20,15.78009
2022-05-21,1.35097
2022-05-22,1.16959
2022-05-23,18.96988
2022-05-24,21.00572
2022-05-25,18.42574
2022-05-26,18.14741
2022-05-27,19.72667
2022-05-28,1.76064
2022-05-29,1.19773
2022-05-30,17.80342
2022-05-31,17.228
2022-06-01,2.4799
2022-06-02,14.87944
2022-06-03,14.71682
2022-06-04,1.28842
2022-06-05,0.99446
2022-06-06,1.35097
2022-06-07,13.46592
2022-06-08,13.88497
2022-06-09,13.25953
2022-06-10,13.64418
2022-06-11,1.23213
2022-06-12,0.95693
2022-06-13,14.22272
2022-06-14,15.01704
2022-06-15,14.33843
2022-06-16,14.57297
2022-06-17,13.44716
2022-06-18,1.21649
2022-06-19,0.74115
2022-06-20,14.50417
2022-06-21,15.32976
2022-06-22,14.83566
2022-06-23,14.99828
2022-06-24,15.19216
2022-06-25,1.40726
2022-06-26,0.93817
2022-06-27,15.60183
2022-06-28,15.19529
2022-06-29,13.24702
2022-06-30,13.09065
2022-07-01,12.86236
2022-07-02,1.18522
2022-07-03,0.85373
2022-07-04,13.48156
2022-07-05,14.15079
2022-07-06,13.11254
2022-07-07,14.18832
2022-07-08,14.23835
2022-07-09,1.26966
2022-07-10,0.87875
2022-07-11,11.7303
2022-07-12,11.02667
2022-07-13,11.95546
2022-07-14,12.2119
2022-07-15,11.97423
2022-07-16,1.00071
2022-07-17,0.73177
2022-07-18,13.70047
2022-07-19,12.81233
2022-07-20,13.43465
2022-07-21,12.67786
2022-07-22,11.53641
2022-07-23,1.057
2022-07-24,0.71301
2022-07-25,11.98048
2022-07-26,11.18929
2022-07-27,10.49504
2022-07-28,11.88041
2022-07-29,11.87103
2022-07-30,1.06013
2022-07-31,0.79119
2022-08-01,11.77721
2022-08-02,10.83278
2022-08-03,10.53257
2022-08-04,11.0298
2022-08-05,12.15873
2022-08-06,1.0789
2022-08-07,0.69424
2022-08-08,11.3519
2022-08-09,11.12049
2022-08-10,11.10172
2022-08-11,12.93429
2022-08-12,13.01873
2022-08-13,1.0914
2022-08-14,0.69737
2022-08-15,1.06326
2022-08-16,12.32448
2022-08-17,10.961
2022-08-18,11.25496
2022-08-19,9.85708
2022-08-20,0.90064
2022-08-21,0.64421
2022-08-22,9.96028
2022-08-23,10.4106
2022-08-24,10.9266
2022-08-25,14.23523
2022-08-26,12.73415
2022-08-27,1.03199
2022-08-28,0.58792
2022-08-29,10.82965
2022-08-30,11.80536
2022-08-31,11.63961
2022-09-01,10.10101
2022-09-02,10.55446
2022-09-03,0.84748
2022-09-04,0.62232
2022-09-05,9.99781
2022-09-06,10.10101
2022-09-07,9.90712
2022-09-08,9.50996
2022-09-09,0.80995
2022-09-10,0.53788
2022-09-11,0.60043
2022-09-12,0.82872
2022-09-13,13.33145
2022-09-14,12.28695
2022-09-15,11.02667
2022-09-16,10.04471
2022-09-17,0.88813
2022-09-18,0.64734
2022-09-19,10.03221
2022-09-20,9.81643
2022-09-21,10.16042
2022-09-22,9.67257
2022-09-23,9.56312
2022-09-24,0.96944
2022-09-25,0.54414
2022-09-26,10.81089
2022-09-27,13.1876
2022-09-28,12.11495
2022-09-29,11.34878
2022-09-30,10.49504
2022-10-01,0.91628
2022-10-02,0.60355
2022-10-03,1.01322
2022-10-04,10.94223
2022-10-05,10.1354
2022-10-06,10.53569
2022-10-07,9.37861
2022-10-08,0.80057
2022-10-09,0.49723
2022-10-10,0.88501
2022-10-11,9.47868
2022-10-12,9.31294
2022-10-13,9.06589
2022-10-14,9.86959
2022-10-15,1.06013
2022-10-16,0.60355
2022-10-17,10.54507
2022-10-18,10.21671
2022-10-19,9.80079
2022-10-20,8.55927
2022-10-21,7.8744
2022-10-22,0.69737
2022-10-23,0.48159
2022-10-24,9.10341
2022-10-25,8.22153
2022-10-26,8.22778
2022-10-27,8.85636
2022-10-28,8.16211
2022-10-29,0.66923
2022-10-30,0.45032
