date,한신기계주가
2022-07-25,11.05394
2022-07-26,13.74062
2022-07-27,13.62272
2022-07-28,14.56234
2022-07-29,14.33726
2022-07-30,1.7006
2022-07-31,1.47195
2022-08-01,12.94748
2022-08-02,14.61593
2022-08-03,11.3076
2022-08-04,11.47909
2022-08-05,10.47159
2022-08-06,1.0861
2022-08-07,1.04322
2022-08-08,13.15827
2022-08-09,13.05108
2022-08-10,14.0443
2022-08-11,20.68953
2022-08-12,15.92354
2022-08-13,1.93997
2022-08-14,1.33976
2022-08-15,1.64344
2022-08-16,16.78099
2022-08-17,13.81922
2022-08-18,12.94748
2022-08-19,12.15791
2022-08-20,1.3076
2022-08-21,0.97892
2022-08-22,11.45409
2022-08-23,13.09396
2022-08-24,12.32225
2022-08-25,17.8528
2022-08-26,20.50375
2022-08-27,1.81493
2022-08-28,1.4255
2022-08-29,13.0225
2022-08-30,12.67595
2022-08-31,12.99749
2022-09-01,9.94283
2022-09-02,10.30367
2022-09-03,1.0468
2022-09-04,0.95033
2022-09-05,9.93211
2022-09-06,8.56377
2022-09-07,9.07466
2022-09-08,8.70668
2022-09-09,0.75384
2022-09-10,0.53233
2022-09-11,0.52518
2022-09-12,0.78599
2022-09-13,9.48195
2022-09-14,8.13862
2022-09-15,8.19578
2022-09-16,7.56698
2022-09-17,0.98606
2022-09-18,0.64665
2022-09-19,8.26009
2022-09-20,8.99249
2022-09-21,12.015
2022-09-22,8.71025
2022-09-23,7.95641
2022-09-24,0.91818
2022-09-25,0.84315
2022-09-26,8.22079
2022-09-27,8.14576
2022-09-28,7.79564
2022-09-29,8.16005
2022-09-30,8.02072
2022-10-01,0.77884
2022-10-02,0.57163
2022-10-03,0.73954
2022-10-04,8.45301
2022-10-05,6.85244
2022-10-06,7.75991
2022-10-07,6.95605
2022-10-08,0.59664
2022-10-09,0.45016
2022-10-10,0.74312
2022-10-11,6.53804
2022-10-12,6.6488
2022-10-13,6.34512
2022-10-14,6.89889
2022-10-15,0.70025
2022-10-16,0.44301
2022-10-17,6.88102
2022-10-18,7.3419
2022-10-19,6.45944
2022-10-20,39.27474
2022-10-21,18.52447
2022-10-22,1.52197
2022-10-23,1.21114
2022-10-24,13.91925
2022-10-25,15.19113
2022-10-26,15.10182
2022-10-27,11.84708
2022-10-28,11.88638
2022-10-29,2.08288
2022-10-30,1.3076
2022-10-31,12.04715
2022-11-01,32.25794
2022-11-02,17.48124
2022-11-03,17.52768
2022-11-04,12.76527
2022-11-05,1.45766
2022-11-06,1.31118
2022-11-07,13.15112
2022-11-08,14.96605
2022-11-09,16.01286
2022-11-10,19.56413
2022-11-11,15.28045
2022-11-12,1.8578
2022-11-13,1.89353
2022-11-14,13.35119
2022-11-15,11.2826
2022-11-16,12.8653
2022-11-17,12.23294
2022-11-18,10.58949
2022-11-19,1.13612
2022-11-20,0.96463
2022-11-21,8.9389
2022-11-22,10.76098
2022-11-23,8.97106
2022-11-24,9.08896
2022-11-25,7.62057
2022-11-26,0.77884
2022-11-27,0.64308
2022-11-28,6.77027
2022-11-29,7.04537
2022-11-30,7.72061
2022-12-01,8.01714
2022-12-02,6.67738
2022-12-03,0.44301
2022-12-04,0.55734
2022-12-05,6.40228
2022-12-06,5.68774
2022-12-07,6.45587
2022-12-08,6.59878
2022-12-09,6.49517
2022-12-10,0.52518
2022-12-11,0.48231
2022-12-12,6.72382
2022-12-13,7.87781
2022-12-14,7.83494
2022-12-15,10.71454
2022-12-16,6.38799
2022-12-17,0.58949
2022-12-18,0.4966
2022-12-19,5.81993
2022-12-20,5.79849
2022-12-21,5.85566
2022-12-22,5.89496
2022-12-23,5.38406
2022-12-24,0.51804
2022-12-25,0.46087
2022-12-26,5.60557
2022-12-27,5.4055
2022-12-28,7.37406
2022-12-29,5.84851
2022-12-30,1.39692
2022-12-31,0.28938
2023-01-01,0.35727
2023-01-02,5.80207
2023-01-03,5.97713
2023-01-04,6.52018
2023-01-05,5.74848
2023-01-06,6.40228
2023-01-07,0.78956
2023-01-08,0.48588
2023-01-09,8.50303
2023-01-10,20.74312
2023-01-11,12.69024
2023-01-12,12.10075
2023-01-13,12.04001
2023-01-14,1.83637
2023-01-15,2.09003
2023-01-16,12.48302
2023-01-17,8.87102
2023-01-18,7.64201
2023-01-19,10.84315
2023-01-20,7.57413
2023-01-21,0.70739
2023-01-22,0.59664
2023-01-23,0.63236
2023-01-24,0.80385
2023-01-25,8.47445
2023-01-26,7.96355
2023-01-27,8.13504
2023-01-28,0.84315
2023-01-29,0.98963
2023-01-30,7.52411
2023-01-31,8.6638
2023-02-01,7.24901
2023-02-02,7.41693
2023-02-03,6.87388
2023-02-04,0.60378
2023-02-05,0.71454
2023-02-06,6.2165
2023-02-07,5.35191
2023-02-08,5.63415
2023-02-09,5.06609
2023-02-10,4.9732
2023-02-11,0.4966
2023-02-12,0.40014
2023-02-13,5.78778
2023-02-14,5.15183
2023-02-15,4.8553
2023-02-16,5.66988
2023-02-17,5.1304
2023-02-18,0.56448
2023-02-19,0.3787
2023-02-20,5.51982
2023-02-21,5.602
2023-02-22,5.23401
2023-02-23,4.89817
2023-02-24,4.5802
2023-02-25,0.43586
2023-02-26,0.31797
2023-02-27,5.03751
2023-02-28,4.5016
2023-03-01,0.50375
2023-03-02,5.08395
2023-03-03,4.98035
2023-03-04,0.44301
2023-03-05,0.39299
2023-03-06,6.11647
2023-03-07,5.53054
2023-03-08,7.68846
2023-03-09,9.21043
2023-03-10,6.20221
2023-03-11,0.56806
2023-03-12,0.38585
2023-03-13,6.03787
2023-03-14,5.60914
2023-03-15,6.77742
2023-03-16,5.08038
2023-03-17,5.39121
2023-03-18,0.4573
2023-03-19,0.31082
2023-03-20,5.91639
2023-03-21,5.41979
2023-03-22,4.99106
2023-03-23,4.85173
2023-03-24,5.12325
2023-03-25,0.3787
2023-03-26,0.2608
2023-03-27,4.3444
2023-03-28,4.49803
2023-03-29,5.31618
2023-03-30,5.31618
2023-03-31,6.66666
2023-04-01,0.7324
2023-04-02,0.78956
2023-04-03,6.80242
2023-04-04,10.00357
2023-04-05,8.66738
2023-04-06,8.33869
2023-04-07,6.68095
2023-04-08,0.56091
2023-04-09,0.47159
2023-04-10,5.64487
2023-04-11,7.1204
2023-04-12,8.38156
2023-04-13,11.37549
2023-04-14,9.54269
2023-04-15,0.84315
2023-04-16,0.68953
2023-04-17,12.42943
2023-04-18,8.65309
2023-04-19,7.9314
2023-04-20,8.07073
2023-04-21,6.88102
2023-04-22,0.79671
2023-04-23,0.68595
2023-04-24,6.97034
2023-04-25,9.64272
2023-04-26,7.98856
2023-04-27,7.50982
2023-04-28,6.18435
2023-04-29,0.71811
2023-04-30,0.49303
2023-05-01,1.14683
2023-05-02,6.26295
2023-05-03,5.36262
2023-05-04,6.39156
2023-05-05,0.68595
2023-05-06,0.54305
2023-05-07,0.38942
2023-05-08,5.71275
2023-05-09,5.209
2023-05-10,4.98392
2023-05-11,5.32332
2023-05-12,4.93033
2023-05-13,0.41086
2023-05-14,0.27509
2023-05-15,4.97677
2023-05-16,5.23043
2023-05-17,4.92675
2023-05-18,4.52304
2023-05-19,5.41622
2023-05-20,0.51804
2023-05-21,0.45016
2023-05-22,6.15219
2023-05-23,4.91604
2023-05-24,4.2265
2023-05-25,3.81207
2023-05-26,3.66916
2023-05-27,0.26795
2023-05-28,0.25366
2023-05-29,0.52876
2023-05-30,4.04072
2023-05-31,3.85852
2023-06-01,3.41907
2023-06-02,3.69417
2023-06-03,0.28938
2023-06-04,0.21436
2023-06-05,4.23722
2023-06-06,0.40728
2023-06-07,4.20507
2023-06-08,3.89782
2023-06-09,4.51232
2023-06-10,0.39299
2023-06-11,0.26795
2023-06-12,3.60128
2023-06-13,3.9657
2023-06-14,3.68703
2023-06-15,3.19757
2023-06-16,3.66202
2023-06-17,0.36798
2023-06-18,0.3787
2023-06-19,3.79421
2023-06-20,4.00857
2023-06-21,3.46552
2023-06-22,2.85816
2023-06-23,2.95105
2023-06-24,0.23579
2023-06-25,0.16077
2023-06-26,3.37263
2023-06-27,3.4941
2023-06-28,3.19399
2023-06-29,2.95819
2023-06-30,3.00821
2023-07-01,0.21793
2023-07-02,0.1822
2023-07-03,3.19042
2023-07-04,3.10825
2023-07-05,3.49053
2023-07-06,2.95819
2023-07-07,2.69024
2023-07-08,0.24294
2023-07-09,0.24294
2023-07-10,3.84423
2023-07-11,12.94033
2023-07-12,6.2165
2023-07-13,5.4055
2023-07-14,4.98035
2023-07-15,0.96105
2023-07-16,0.71454
2023-07-17,3.81922
2023-07-18,3.35834
2023-07-19,2.9439
2023-07-20,2.64022
2023-07-21,2.5259
2023-07-22,0.23579
2023-07-23,0.26438
2023-07-24,2.81886
2023-07-25,2.83315
2023-07-26,3.26902
2023-07-27,3.30475
2023-07-28,2.76527
2023-07-29,0.418
2023-07-30,0.31439
2023-07-31,3.0618
2023-08-01,2.99035
2023-08-02,3.92997
2023-08-03,3.01893
2023-08-04,2.60092
2023-08-05,0.31439
2023-08-06,0.33226
2023-08-07,3.42622
2023-08-08,2.93676
2023-08-09,2.77241
2023-08-10,2.63308
2023-08-11,2.82243
2023-08-12,0.31082
2023-08-13,0.28938
2023-08-14,2.48302
2023-08-15,0.45016
2023-08-16,2.59735
2023-08-17,2.55091
2023-08-18,2.32225
2023-08-19,0.34655
2023-08-20,0.23222
2023-08-21,2.48302
2023-08-22,2.6045
2023-08-23,2.71882
2023-08-24,3.46195
2023-08-25,2.65451
2023-08-26,0.20721
2023-08-27,0.18578
2023-08-28,6.62022
2023-08-29,5.41264
