date,에쿼티
2022-04-19,56.21118
2022-04-20,52.17391
2022-04-21,49.68944
2022-04-22,46.27329
2022-04-23,15.52795
2022-04-24,15.52795
2022-04-25,50.93167
2022-04-26,56.21118
2022-04-27,62.1118
2022-04-28,44.40993
2022-04-29,50.31055
2022-04-30,18.01242
2022-05-01,15.8385
2022-05-02,45.34161
2022-05-03,55.59006
2022-05-04,53.10559
2022-05-05,16.45962
2022-05-06,35.09316
2022-05-07,13.97515
2022-05-08,18.01242
2022-05-09,47.51552
2022-05-10,57.14285
2022-05-11,39.44099
2022-05-12,55.90062
2022-05-13,48.4472
2022-05-14,17.3913
2022-05-15,16.45962
2022-05-16,45.65217
2022-05-17,46.27329
2022-05-18,49.37888
2022-05-19,50.0
2022-05-20,41.6149
2022-05-21,18.32298
2022-05-22,27.63975
2022-05-23,50.93167
2022-05-24,54.65838
2022-05-25,60.86956
2022-05-26,54.65838
2022-05-27,47.20496
2022-05-28,18.01242
2022-05-29,16.45962
2022-05-30,50.0
2022-05-31,51.55279
2022-06-01,17.70186
2022-06-02,43.47826
2022-06-03,44.72049
2022-06-04,17.70186
2022-06-05,13.66459
2022-06-06,15.8385
2022-06-07,37.88819
2022-06-08,51.86335
2022-06-09,53.41614
2022-06-10,41.6149
2022-06-11,15.8385
2022-06-12,22.98136
2022-06-13,53.41614
2022-06-14,69.56521
2022-06-15,72.36024
2022-06-16,50.62111
2022-06-17,44.09937
2022-06-18,20.49689
2022-06-19,22.04968
2022-06-20,49.68944
2022-06-21,50.93167
2022-06-22,67.08074
2022-06-23,53.41614
2022-06-24,50.62111
2022-06-25,18.01242
2022-06-26,21.11801
2022-06-27,50.31055
2022-06-28,58.38509
2022-06-29,55.59006
2022-06-30,46.27329
2022-07-01,55.2795
2022-07-02,22.36024
2022-07-03,18.01242
2022-07-04,56.21118
2022-07-05,63.04347
2022-07-06,57.14285
2022-07-07,51.55279
2022-07-08,48.13664
2022-07-09,21.11801
2022-07-10,17.70186
2022-07-11,48.13664
2022-07-12,48.4472
2022-07-13,50.0
2022-07-14,49.06832
2022-07-15,38.19875
2022-07-16,14.59627
2022-07-17,16.14906
2022-07-18,41.6149
2022-07-19,52.48447
2022-07-20,54.34782
2022-07-21,52.79503
2022-07-22,41.92546
2022-07-23,15.21739
2022-07-24,20.18633
2022-07-25,48.75776
2022-07-26,44.72049
2022-07-27,39.75155
2022-07-28,42.85714
2022-07-29,29.81366
2022-07-30,12.1118
2022-07-31,14.59627
2022-08-01,39.44099
2022-08-02,52.79503
2022-08-03,44.40993
2022-08-04,46.27329
2022-08-05,33.85093
2022-08-06,16.45962
2022-08-07,12.1118
2022-08-08,36.02484
2022-08-09,37.57763
2022-08-10,47.82608
2022-08-11,60.24844
2022-08-12,68.94409
2022-08-13,13.97515
2022-08-14,8.07453
2022-08-15,11.49068
2022-08-16,38.19875
2022-08-17,56.83229
2022-08-18,48.75776
2022-08-19,52.48447
2022-08-20,20.18633
2022-08-21,20.18633
2022-08-22,43.47826
