date,메리츠금융지주
2021-09-03,10.97379
2021-09-04,2.27814
2021-09-05,1.73714
2021-09-06,10.34345
2021-09-07,18.01171
2021-09-08,15.73853
2021-09-09,14.76077
2021-09-10,14.42823
2021-09-11,2.46178
2021-09-12,2.19376
2021-09-13,11.51479
2021-09-14,18.05638
2021-09-15,12.83502
2021-09-16,10.04069
2021-09-17,8.21421
2021-09-18,1.57335
2021-09-19,1.22096
2021-09-20,1.23089
2021-09-21,1.17133
2021-09-22,1.46416
2021-09-23,11.79273
2021-09-24,9.69326
2021-09-25,1.67758
2021-09-26,1.48401
2021-09-27,10.39309
2021-09-28,9.41036
2021-09-29,8.49712
2021-09-30,6.88902
2021-10-01,6.28846
2021-10-02,1.24081
2021-10-03,0.95791
2021-10-04,1.28052
2021-10-05,6.94361
2021-10-06,6.89398
2021-10-07,7.17689
2021-10-08,6.19416
2021-10-09,1.32023
2021-10-10,2.15405
2021-10-11,1.72721
2021-10-12,6.59618
2021-10-13,5.06253
2021-10-14,4.5265
2021-10-15,4.30315
2021-10-16,0.83382
2021-10-17,0.78916
2021-10-18,4.2287
2021-10-19,4.6208
2021-10-20,3.8366
2021-10-21,5.45463
2021-10-22,3.73238
2021-10-23,0.69982
2021-10-24,0.65515
2021-10-25,4.46694
2021-10-26,4.09966
2021-10-27,3.7423
2021-10-28,3.61326
2021-10-29,3.26583
2021-10-30,0.67996
2021-10-31,0.73456
2021-11-01,3.21123
2021-11-02,3.4594
2021-11-03,6.50188
2021-11-04,4.75977
2021-11-05,3.46932
2021-11-06,0.87849
2021-11-07,0.69982
2021-11-08,3.88127
2021-11-09,3.74727
2021-11-10,3.64304
2021-11-11,3.26583
2021-11-12,3.4991
2021-11-13,0.88346
2021-11-14,0.81397
2021-11-15,4.75481
2021-11-16,4.59102
2021-11-17,3.8912
2021-11-18,3.37006
2021-11-19,4.2287
2021-11-20,1.24081
2021-11-21,1.11177
2021-11-22,4.58606
2021-11-23,4.73496
2021-11-24,7.00317
2021-11-25,7.98094
2021-11-26,6.43736
2021-11-27,0.90827
2021-11-28,0.89835
2021-11-29,4.91363
2021-11-30,4.60095
2021-12-01,4.35775
2021-12-02,4.44212
2021-12-03,5.34544
2021-12-04,1.22096
2021-12-05,1.16636
2021-12-06,4.50168
2021-12-07,5.71272
2021-12-08,6.37284
2021-12-09,6.11475
2021-12-10,7.11733
2021-12-11,1.75699
2021-12-12,1.55846
2021-12-13,5.01786
2021-12-14,5.26106
2021-12-15,5.51419
2021-12-16,4.66051
2021-12-17,11.02838
2021-12-18,4.02025
2021-12-19,1.94063
2021-12-20,8.21917
2021-12-21,9.72801
2021-12-22,9.03315
2021-12-23,7.37542
2021-12-24,8.91899
2021-12-25,2.49652
2021-12-26,2.05479
2021-12-27,8.60135
2021-12-28,9.1076
2021-12-29,11.86221
2021-12-30,10.0804
2021-12-31,3.32042
2022-01-01,1.46416
2022-01-02,1.36489
2022-01-03,10.5668
2022-01-04,18.1209
2022-01-05,12.70597
2022-01-06,10.05062
2022-01-07,14.10065
2022-01-08,2.60571
2022-01-09,2.21858
2022-01-10,11.94163
2022-01-11,10.14492
2022-01-12,14.82032
2022-01-13,18.513
2022-01-14,23.918
2022-01-15,3.67282
2022-01-16,2.54615
2022-01-17,15.19753
2022-01-18,14.43815
2022-01-19,13.17748
2022-01-20,10.93408
2022-01-21,8.97359
2022-01-22,1.96049
2022-01-23,1.90093
2022-01-24,8.56164
2022-01-25,8.82966
2022-01-26,8.31348
2022-01-27,8.55171
2022-01-28,9.1473
2022-01-29,1.6081
2022-01-30,1.27556
2022-01-31,1.15644
2022-02-01,2.04983
2022-02-02,1.87611
2022-02-03,8.72543
2022-02-04,11.08794
2022-02-05,2.53623
2022-02-06,2.59579
2022-02-07,9.12745
2022-02-08,7.48957
2022-02-09,6.85427
2022-02-10,11.07802
2022-02-11,7.87174
2022-02-12,1.27556
2022-02-13,1.32023
2022-02-14,6.09986
2022-02-15,7.31089
2022-02-16,7.15207
2022-02-17,7.50446
2022-02-18,5.77724
2022-02-19,1.05717
2022-02-20,1.19614
2022-02-21,7.56898
2022-02-22,11.32122
2022-02-23,7.95612
2022-02-24,6.56144
2022-02-25,5.80702
2022-02-26,1.22592
2022-02-27,1.04228
2022-02-28,9.39547
2022-03-01,2.7695
2022-03-02,10.10025
2022-03-03,8.56164
2022-03-04,9.60393
2022-03-05,2.48163
2022-03-06,1.71232
2022-03-07,8.60631
2022-03-08,7.78241
2022-03-09,1.67262
2022-03-10,8.39289
2022-03-11,8.14472
2022-03-12,2.16894
2022-03-13,1.60313
2022-03-14,7.58387
2022-03-15,10.35834
2022-03-16,9.23168
2022-03-17,8.69068
2022-03-18,7.75263
2022-03-19,1.77188
2022-03-20,1.51379
2022-03-21,7.16696
2022-03-22,6.23386
2022-03-23,7.20667
2022-03-24,10.72563
2022-03-25,9.77764
2022-03-26,1.78181
2022-03-27,1.6478
2022-03-28,8.16458
2022-03-29,9.42525
2022-03-30,9.34087
2022-03-31,10.69585
2022-04-01,7.296
2022-04-02,1.35497
2022-04-03,1.30037
2022-04-04,8.52193
2022-04-05,8.07524
2022-04-06,8.78499
2022-04-07,7.94123
2022-04-08,7.30097
2022-04-09,1.48898
2022-04-10,1.57335
2022-04-11,7.42009
2022-04-12,7.837
2022-04-13,6.75501
2022-04-14,7.15703
2022-04-15,6.16438
2022-04-16,1.0125
2022-04-17,0.94302
2022-04-18,6.39765
2022-04-19,5.57375
2022-04-20,14.52253
2022-04-21,8.44748
2022-04-22,6.80464
2022-04-23,1.45423
2022-04-24,1.18125
2022-04-25,5.61346
2022-04-26,5.22136
2022-04-27,4.55628
2022-04-28,4.93845
2022-04-29,4.49176
2022-04-30,0.8239
2022-05-01,0.73952
2022-05-02,4.08477
2022-05-03,4.93349
2022-05-04,5.18165
2022-05-05,1.24578
2022-05-06,4.49672
2022-05-07,0.81893
2022-05-08,0.8636
2022-05-09,5.1072
2022-05-10,5.00794
2022-05-11,13.16756
2022-05-12,7.71292
2022-05-13,6.30335
2022-05-14,1.29541
2022-05-15,0.9182
2022-05-16,5.57871
2022-05-17,5.36033
2022-05-18,5.08735
2022-05-19,4.10958
2022-05-20,4.28826
2022-05-21,0.68493
2022-05-22,0.77923
2022-05-23,4.89874
2022-05-24,4.05995
2022-05-25,4.12447
2022-05-26,3.78201
2022-05-27,3.50903
2022-05-28,0.7296
2022-05-29,0.6204
2022-05-30,4.12944
2022-05-31,4.33789
2022-06-01,0.8636
2022-06-02,3.65296
2022-06-03,3.4594
2022-06-04,0.60551
2022-06-05,0.52114
2022-06-06,0.72463
2022-06-07,3.96069
2022-06-08,3.42465
2022-06-09,4.02025
2022-06-10,3.51399
2022-06-11,0.72463
2022-06-12,0.74449
2022-06-13,5.26106
2022-06-14,6.11475
