date,장외주식거래방법
2021-07-07,29.99676
2021-07-08,30.25591
2021-07-09,23.64755
2021-07-10,13.60544
2021-07-11,12.37447
2021-07-12,19.46873
2021-07-13,21.70391
2021-07-14,22.18982
2021-07-15,26.95173
2021-07-16,23.77712
2021-07-17,14.80401
2021-07-18,14.70683
2021-07-19,20.89407
2021-07-20,20.57013
2021-07-21,21.15322
2021-07-22,21.50955
2021-07-23,21.34758
2021-07-24,12.14771
2021-07-25,14.48007
2021-07-26,21.05604
2021-07-27,23.3884
2021-07-28,22.22222
2021-07-29,22.80531
2021-07-30,18.56171
2021-07-31,10.46323
2021-08-01,9.88014
2021-08-02,16.00259
2021-08-03,21.2504
2021-08-04,22.61094
2021-08-05,23.03206
2021-08-06,32.71784
2021-08-07,14.18853
2021-08-08,20.44055
2021-08-09,32.00518
2021-08-10,32.00518
2021-08-11,32.91221
2021-08-12,35.98963
2021-08-13,33.56009
2021-08-14,15.51668
2021-08-15,15.9054
2021-08-16,27.66439
2021-08-17,26.33624
2021-08-18,37.31778
2021-08-19,40.9459
2021-08-20,27.632
2021-08-21,12.82798
2021-08-22,11.92095
2021-08-23,18.88564
2021-08-24,24.39261
2021-08-25,24.65176
2021-08-26,26.30385
2021-08-27,24.23064
2021-08-28,14.28571
2021-08-29,13.83219
2021-08-30,23.48558
2021-08-31,25.5264
2021-09-01,31.03336
2021-09-02,25.88273
2021-09-03,22.12504
2021-09-04,12.08292
2021-09-05,10.81956
2021-09-06,18.78846
2021-09-07,22.15743
2021-09-08,23.22643
2021-09-09,24.48979
2021-09-10,20.21379
2021-09-11,12.08292
2021-09-12,10.88435
2021-09-13,16.68286
2021-09-14,19.95464
2021-09-15,22.64334
2021-09-16,21.05604
2021-09-17,20.24619
2021-09-18,9.71817
2021-09-19,8.97311
2021-09-20,6.3816
2021-09-21,8.35762
2021-09-22,7.9689
2021-09-23,19.88986
2021-09-24,20.47295
2021-09-25,11.46744
2021-09-26,13.2491
2021-09-27,16.71525
2021-09-28,18.0434
2021-09-29,19.33916
2021-09-30,22.06025
2021-10-01,17.07159
2021-10-02,8.00129
2021-10-03,8.94071
2021-10-04,8.90832
2021-10-05,17.84904
2021-10-06,15.64625
2021-10-07,19.1448
2021-10-08,15.03077
2021-10-09,8.64917
2021-10-10,10.13929
2021-10-11,10.13929
2021-10-12,13.34629
2021-10-13,14.67444
2021-10-14,18.52931
2021-10-15,15.87301
2021-10-16,7.32102
2021-10-17,10.94914
2021-10-18,12.95756
2021-10-19,13.86459
2021-10-20,15.67865
2021-10-21,20.76449
2021-10-22,15.06316
2021-10-23,6.25202
2021-10-24,7.74214
2021-10-25,15.16034
2021-10-26,17.0068
2021-10-27,18.23777
2021-10-28,14.44768
2021-10-29,14.96598
2021-10-30,7.64496
2021-10-31,7.22384
2021-11-01,13.34629
2021-11-02,16.4885
2021-11-03,19.88986
2021-11-04,19.46873
2021-11-05,14.64204
2021-11-06,7.70975
2021-11-07,8.87593
2021-11-08,12.66601
2021-11-09,14.77162
2021-11-10,16.68286
2021-11-11,17.71946
2021-11-12,16.84483
2021-11-13,9.16747
2021-11-14,11.11111
2021-11-15,19.24198
2021-11-16,21.37998
2021-11-17,21.34758
2021-11-18,13.31389
2021-11-19,15.06316
2021-11-20,9.26465
2021-11-21,12.43926
2021-11-22,17.97862
2021-11-23,18.20537
2021-11-24,19.53352
2021-11-25,19.88986
2021-11-26,14.8688
2021-11-27,8.68156
2021-11-28,8.87593
2021-11-29,15.12795
2021-11-30,16.55328
2021-12-01,14.02656
2021-12-02,10.20408
2021-12-03,14.15613
2021-12-04,7.61256
2021-12-05,8.19565
2021-12-06,11.72659
2021-12-07,14.3505
2021-12-08,17.68707
2021-12-09,17.10398
2021-12-10,15.06316
2021-12-11,8.39002
2021-12-12,10.46323
2021-12-13,15.16034
2021-12-14,13.73501
2021-12-15,26.0123
2021-12-16,22.93488
2021-12-17,15.87301
2021-12-18,10.10689
2021-12-19,13.86459
2021-12-20,20.40816
2021-12-21,15.71104
2021-12-22,15.25753
2021-12-23,17.84904
2021-12-24,12.37447
2021-12-25,10.85195
2021-12-26,13.41107
2021-12-27,13.7998
2021-12-28,18.0434
2021-12-29,13.54065
2021-12-30,15.74344
2021-12-31,12.92517
2022-01-01,8.16326
2022-01-02,12.11532
2022-01-03,14.77162
2022-01-04,15.4195
2022-01-05,18.36734
2022-01-06,19.37155
2022-01-07,14.99838
2022-01-08,10.20408
2022-01-09,14.3505
2022-01-10,14.38289
2022-01-11,15.16034
2022-01-12,16.03498
2022-01-13,16.4885
2022-01-14,15.12795
2022-01-15,8.32523
2022-01-16,9.94493
2022-01-17,10.94914
2022-01-18,15.03077
2022-01-19,15.54907
2022-01-20,18.10819
2022-01-21,17.23356
2022-01-22,7.67735
2022-01-23,8.19565
2022-01-24,12.7308
2022-01-25,13.2815
2022-01-26,15.25753
2022-01-27,26.75736
2022-01-28,15.87301
2022-01-29,7.28862
2022-01-30,7.35341
2022-01-31,6.3816
2022-02-01,7.15905
2022-02-02,8.09847
2022-02-03,19.1448
2022-02-04,17.88143
2022-02-05,9.26465
2022-02-06,9.19987
2022-02-07,15.09556
2022-02-08,16.00259
2022-02-09,15.4195
2022-02-10,15.09556
2022-02-11,12.66601
2022-02-12,6.54356
2022-02-13,9.36183
2022-02-14,14.15613
2022-02-15,16.78004
2022-02-16,14.44768
2022-02-17,17.81665
2022-02-18,17.20116
2022-02-19,8.39002
2022-02-20,10.17168
2022-02-21,15.58147
2022-02-22,18.39974
2022-02-23,14.8688
2022-02-24,17.13637
2022-02-25,13.44347
2022-02-26,8.4872
2022-02-27,7.02947
2022-02-28,10.91674
2022-03-01,7.58017
2022-03-02,11.43505
2022-03-03,12.24489
2022-03-04,10.91674
2022-03-05,4.34078
2022-03-06,5.76611
2022-03-07,8.84353
2022-03-08,10.20408
2022-03-09,8.19565
2022-03-10,11.85617
2022-03-11,10.39844
2022-03-12,5.70132
2022-03-13,6.3816
2022-03-14,10.04211
2022-03-15,10.75477
2022-03-16,13.37868
2022-03-17,15.12795
2022-03-18,12.89277
2022-03-19,6.8999
2022-03-20,6.8675
2022-03-21,10.6252
2022-03-22,13.57304
2022-03-23,15.48428
2022-03-24,16.32653
2022-03-25,14.44768
2022-03-26,6.70553
2022-03-27,5.96047
2022-03-28,11.07871
2022-03-29,13.05474
2022-03-30,12.82798
2022-03-31,15.9054
2022-04-01,13.70262
2022-04-02,5.96047
2022-04-03,6.12244
2022-04-04,12.30968
2022-04-05,12.30968
2022-04-06,11.46744
2022-04-07,15.74344
2022-04-08,12.18011
2022-04-09,5.21541
2022-04-10,4.69711
2022-04-11,9.78296
2022-04-12,10.04211
2022-04-13,20.27858
2022-04-14,19.72789
2022-04-15,16.42371
2022-04-16,10.17168
2022-04-17,8.39002
2022-04-18,10.72238
2022-04-19,11.98574
2022-04-20,12.30968
2022-04-21,13.99416
2022-04-22,11.07871
2022-04-23,5.92808
2022-04-24,5.24781
2022-04-25,10.49562
2022-04-26,11.85617
2022-04-27,11.75898
2022-04-28,10.65759
2022-04-29,9.49141
2022-04-30,4.27599
2022-05-01,4.2112
2022-05-02,6.80272
2022-05-03,8.42241
2022-05-04,9.23226
2022-05-05,5.73372
2022-05-06,7.54778
2022-05-07,6.47878
2022-05-08,5.89569
2022-05-09,8.58438
2022-05-10,7.32102
2022-05-11,9.84774
2022-05-12,8.71396
2022-05-13,7.38581
2022-05-14,2.94784
2022-05-15,3.43375
2022-05-16,7.4182
2022-05-17,7.12666
2022-05-18,7.64496
2022-05-19,8.29284
2022-05-20,8.77874
2022-05-21,4.14642
2022-05-22,5.18302
2022-05-23,8.16326
2022-05-24,7.61256
2022-05-25,7.54778
2022-05-26,10.65759
2022-05-27,9.75056
2022-05-28,3.53093
2022-05-29,3.59572
2022-05-30,11.1435
2022-05-31,9.49141
2022-06-01,4.59993
2022-06-02,8.4872
2022-06-03,8.00129
2022-06-04,3.75769
2022-06-05,5.08584
2022-06-06,5.02105
2022-06-07,7.45059
2022-06-08,8.81114
2022-06-09,8.71396
2022-06-10,8.16326
2022-06-11,3.49854
2022-06-12,2.81827
2022-06-13,7.54778
2022-06-14,8.94071
2022-06-15,7.67735
2022-06-16,7.9689
2022-06-17,7.22384
2022-06-18,3.95205
2022-06-19,3.53093
2022-06-20,6.15484
2022-06-21,7.12666
2022-06-22,7.61256
2022-06-23,5.50696
2022-06-24,6.41399
2022-06-25,2.72108
2022-06-26,2.55911
2022-06-27,5.76611
2022-06-28,5.34499
2022-06-29,6.31681
2022-06-30,6.8675
2022-07-01,5.3126
2022-07-02,2.26757
2022-07-03,2.23517
2022-07-04,4.95626
2022-07-05,5.02105
2022-07-06,5.63654
2022-07-07,6.57596
2022-07-08,5.47457
2022-07-09,3.10981
2022-07-10,3.10981
2022-07-11,5.3126
2022-07-12,5.3126
2022-07-13,4.89148
2022-07-14,6.12244
2022-07-15,7.32102
2022-07-16,2.72108
2022-07-17,3.79008
2022-07-18,6.31681
2022-07-19,5.05344
2022-07-20,6.47878
2022-07-21,7.45059
2022-07-22,7.67735
2022-07-23,3.10981
2022-07-24,3.04502
2022-07-25,5.37738
2022-07-26,5.21541
2022-07-27,5.47457
2022-07-28,6.05766
2022-07-29,6.21963
2022-07-30,2.55911
2022-07-31,3.85487
2022-08-01,4.92387
2022-08-02,6.64075
2022-08-03,6.57596
2022-08-04,7.45059
2022-08-05,5.50696
2022-08-06,3.95205
2022-08-07,2.88305
2022-08-08,5.50696
2022-08-09,6.77032
2022-08-10,6.51117
2022-08-11,6.57596
2022-08-12,6.25202
2022-08-13,2.85066
2022-08-14,2.78587
2022-08-15,4.11402
2022-08-16,5.57175
2022-08-17,5.34499
2022-08-18,7.19144
2022-08-19,5.50696
2022-08-20,2.85066
2022-08-21,4.27599
2022-08-22,6.05766
2022-08-23,5.86329
2022-08-24,6.12244
2022-08-25,6.93229
2022-08-26,7.45059
2022-08-27,4.08163
2022-08-28,2.26757
2022-08-29,5.99287
2022-08-30,6.96469
2022-08-31,7.67735
2022-09-01,7.48299
2022-09-02,6.15484
2022-09-03,3.01263
2022-09-04,3.01263
2022-09-05,5.37738
2022-09-06,6.05766
2022-09-07,6.05766
2022-09-08,5.53935
2022-09-09,2.81827
2022-09-10,2.07321
2022-09-11,3.01263
2022-09-12,3.10981
2022-09-13,0.68027
2022-09-14,0.25915
2022-09-15,0.16196
2022-09-16,0.38872
2022-09-17,0.19436
2022-09-19,0.25915
2022-09-21,0.19436
2022-09-22,0.32393
2022-09-23,0.93942
2022-09-24,0.58309
2022-09-25,0.58309
2022-09-26,0.93942
2022-09-27,1.06899
2022-09-28,0.16196
2022-09-29,0.35633
2022-09-30,0.64787
2022-10-01,0.61548
2022-10-02,0.45351
2022-10-03,0.74505
2022-10-04,1.23096
2022-10-05,1.39293
2022-10-06,0.97181
2022-10-07,1.23096
2022-10-10,0.35633
2022-10-11,1.5873
2022-10-12,0.87463
2022-10-13,1.26336
2022-10-14,1.23096
2022-10-15,0.71266
2022-10-16,0.74505
2022-10-17,1.39293
2022-10-18,1.26336
2022-10-19,0.90702
2022-10-20,1.45772
2022-10-21,1.0366
2022-10-22,0.64787
2022-10-23,0.22675
2022-10-24,1.06899
2022-10-25,1.19857
2022-10-26,1.16618
2022-10-27,1.45772
2022-10-28,0.97181
2022-10-29,0.22675
2022-10-30,0.77745
2022-10-31,1.65208
2022-11-01,1.23096
2022-11-02,0.97181
2022-11-03,1.06899
2022-11-04,0.97181
2022-11-05,0.42112
2022-11-06,0.29154
2022-11-07,0.58309
2022-11-08,0.77745
2022-11-09,0.71266
2022-11-10,0.32393
2022-11-12,0.25915
2022-11-15,1.39293
2022-11-16,0.29154
2022-11-17,1.45772
2022-11-18,1.42533
2022-11-19,0.71266
2022-11-20,0.22675
2022-11-21,0.74505
2022-11-22,1.00421
2022-11-23,0.74505
2022-11-24,0.80984
2022-11-25,0.32393
2022-11-26,0.77745
2022-11-27,0.84224
2022-11-28,0.93942
2022-11-29,0.68027
2022-11-30,1.19857
2022-12-01,1.81405
2022-12-02,1.0366
2022-12-03,0.22675
2022-12-04,0.29154
2022-12-05,0.87463
2022-12-06,1.39293
2022-12-07,1.49011
2022-12-08,0.55069
2022-12-09,0.16196
2022-12-13,0.22675
2022-12-14,0.19436
2022-12-15,0.87463
2022-12-16,0.55069
2022-12-17,0.35633
2022-12-19,0.55069
2022-12-20,0.80984
2022-12-21,1.00421
2022-12-22,1.00421
2022-12-23,0.45351
2022-12-24,0.71266
2022-12-25,0.71266
2022-12-26,0.5183
2022-12-27,1.13378
2022-12-28,0.84224
2022-12-29,0.68027
2022-12-30,0.25915
2022-12-31,0.32393
2023-01-01,0.61548
2023-01-02,0.61548
2023-01-03,0.87463
2023-01-04,1.23096
2023-01-05,0.71266
2023-01-06,1.45772
2023-01-07,0.84224
2023-01-08,0.84224
2023-01-09,1.06899
2023-01-10,1.06899
2023-01-11,1.10139
2023-01-12,1.19857
2023-01-13,1.36054
2023-01-14,0.4859
2023-01-15,0.61548
2023-01-16,1.23096
2023-01-17,0.93942
2023-01-18,1.16618
2023-01-19,0.84224
2023-01-20,0.90702
2023-01-21,0.38872
2023-01-22,0.38872
2023-01-23,0.22675
2023-01-24,1.10139
2023-01-25,1.06899
2023-01-26,1.49011
