date,주식시세표
2022-01-22,4.55062
2022-01-23,3.58361
2022-01-24,20.13651
2022-01-25,24.11831
2022-01-26,21.95676
2022-01-27,33.21956
2022-01-28,26.05233
2022-01-29,7.56541
2022-01-30,3.41296
2022-01-31,4.49374
2022-02-01,7.05346
2022-02-02,5.68828
2022-02-03,23.89078
2022-02-04,17.57679
2022-02-05,5.63139
2022-02-06,4.83503
2022-02-07,19.16951
2022-02-08,17.8612
2022-02-09,17.23549
2022-02-10,17.5199
2022-02-11,17.97497
2022-02-12,4.15244
2022-02-13,3.98179
2022-02-14,17.63367
2022-02-15,19.73833
2022-02-16,21.61547
2022-02-17,21.27417
2022-02-18,19.5108
2022-02-19,4.15244
2022-02-20,3.41296
2022-02-21,19.56769
2022-02-22,19.28327
2022-02-23,18.54379
2022-02-24,24.51649
2022-02-25,22.92377
2022-02-26,5.68828
2022-02-27,3.46985
2022-02-28,17.8612
2022-03-01,5.46075
2022-03-02,19.16951
2022-03-03,18.43003
2022-03-04,18.60068
2022-03-05,3.98179
2022-03-06,3.18543
2022-03-07,17.57679
2022-03-08,18.43003
2022-03-09,5.80204
2022-03-10,19.34015
2022-03-11,19.68145
2022-03-12,5.97269
2022-03-13,4.6075
2022-03-14,16.78043
2022-03-15,17.63367
2022-03-16,18.71444
2022-03-17,20.64846
2022-03-18,18.77133
2022-03-19,4.83503
2022-03-20,4.20932
2022-03-21,15.41524
2022-03-22,16.5529
2022-03-23,15.47212
2022-03-24,16.09783
2022-03-25,15.92718
2022-03-26,3.92491
2022-03-27,3.46985
2022-03-28,13.8794
2022-03-29,15.98407
2022-03-30,17.63367
2022-03-31,15.75654
2022-04-01,13.8794
2022-04-02,3.2992
2022-04-03,3.12855
2022-04-04,14.562
2022-04-05,15.52901
2022-04-06,16.43913
2022-04-07,19.16951
2022-04-08,16.43913
2022-04-09,3.01478
2022-04-10,2.73037
2022-04-11,17.8612
2022-04-12,16.38225
2022-04-13,18.25938
2022-04-14,17.63367
2022-04-15,15.75654
2022-04-16,3.75426
2022-04-17,2.67349
2022-04-18,16.83731
2022-04-19,17.97497
2022-04-20,19.5108
2022-04-21,18.37315
2022-04-22,16.15472
2022-04-23,4.43686
2022-04-24,2.21843
2022-04-25,14.90329
2022-04-26,15.98407
2022-04-27,16.43913
2022-04-28,17.57679
2022-04-29,16.09783
2022-04-30,4.6075
2022-05-01,2.67349
2022-05-02,17.5199
2022-05-03,16.78043
2022-05-04,15.35836
2022-05-05,5.91581
2022-05-06,16.49601
2022-05-07,4.83503
2022-05-08,2.6166
2022-05-09,16.72354
2022-05-10,17.40614
2022-05-11,16.60978
2022-05-12,20.07963
2022-05-13,15.81342
2022-05-14,4.55062
2022-05-15,3.07167
2022-05-16,17.23549
2022-05-17,15.58589
2022-05-18,16.95108
2022-05-19,16.5529
2022-05-20,16.83731
2022-05-21,3.58361
2022-05-22,3.12855
2022-05-23,16.66666
2022-05-24,17.80432
2022-05-25,13.82252
2022-05-26,15.47212
2022-05-27,15.01706
2022-05-28,4.66439
2022-05-29,2.38907
2022-05-30,12.79863
2022-05-31,14.50511
2022-06-01,4.20932
2022-06-02,15.18771
2022-06-03,15.07394
2022-06-04,2.67349
2022-06-05,1.82025
2022-06-06,3.18543
2022-06-07,14.27758
2022-06-08,16.04095
2022-06-09,14.84641
2022-06-10,15.8703
2022-06-11,3.69738
2022-06-12,2.44596
2022-06-13,18.77133
2022-06-14,22.24118
2022-06-15,22.12741
2022-06-16,20.59158
2022-06-17,22.07053
2022-06-18,4.72127
2022-06-19,3.01478
2022-06-20,17.63367
2022-06-21,16.60978
2022-06-22,21.843
2022-06-23,21.78612
2022-06-24,19.11262
2022-06-25,4.15244
2022-06-26,3.81114
2022-06-27,16.5529
2022-06-28,16.78043
2022-06-29,17.46302
2022-06-30,16.83731
2022-07-01,17.5199
2022-07-02,4.32309
2022-07-03,1.87713
2022-07-04,15.98407
2022-07-05,15.41524
2022-07-06,16.43913
2022-07-07,16.66666
2022-07-08,13.82252
2022-07-09,3.18543
2022-07-10,3.07167
2022-07-11,12.79863
2022-07-12,14.39135
2022-07-13,13.02616
2022-07-14,12.85551
2022-07-15,14.39135
2022-07-16,2.9579
2022-07-17,3.01478
2022-07-18,14.50511
2022-07-19,14.44823
2022-07-20,13.53811
2022-07-21,12.11604
2022-07-22,14.2207
2022-07-23,3.69738
2022-07-24,1.53583
2022-07-25,15.07394
2022-07-26,12.79863
2022-07-27,13.76564
2022-07-28,15.18771
2022-07-29,13.36746
2022-07-30,3.18543
2022-07-31,2.38907
2022-08-01,12.68486
2022-08-02,11.77474
2022-08-03,12.11604
2022-08-04,13.99317
2022-08-05,13.13993
2022-08-06,2.21843
2022-08-07,1.87713
2022-08-08,14.50511
2022-08-09,13.70875
2022-08-10,13.59499
2022-08-11,14.33447
2022-08-12,13.99317
2022-08-13,2.67349
2022-08-14,2.38907
2022-08-15,3.01478
2022-08-16,12.2298
2022-08-17,13.59499
