date,현대미술작가
2021-12-12,16.66666
2021-12-13,29.80769
2021-12-14,21.47435
2021-12-15,32.37179
2021-12-16,24.67948
2021-12-17,23.71794
2021-12-18,17.30769
2021-12-19,16.02564
2021-12-20,24.67948
2021-12-21,28.84615
2021-12-22,17.94871
2021-12-23,8.65384
2021-12-24,22.75641
2021-12-25,7.05128
2021-12-26,14.10256
2021-12-27,21.79487
2021-12-28,12.17948
2021-12-29,25.0
2021-12-30,16.02564
2021-12-31,11.21794
2022-01-01,12.82051
2022-01-02,8.33333
2022-01-03,17.6282
2022-01-04,17.94871
2022-01-05,15.38461
2022-01-06,14.10256
2022-01-07,11.53846
2022-01-08,8.65384
2022-01-09,12.17948
2022-01-10,15.70512
2022-01-11,13.78205
2022-01-12,12.17948
2022-01-13,12.17948
2022-01-14,16.66666
2022-01-15,12.5
2022-01-16,10.25641
2022-01-17,16.34615
2022-01-18,14.10256
2022-01-19,11.21794
2022-01-20,8.01282
2022-01-21,9.93589
2022-01-22,9.61538
2022-01-23,10.57692
2022-01-24,12.17948
2022-01-25,12.82051
2022-01-26,10.57692
2022-01-27,15.0641
2022-01-28,13.78205
2022-01-29,12.5
2022-01-30,16.98717
2022-01-31,16.66666
2022-02-01,16.34615
2022-02-02,14.10256
2022-02-03,19.55128
2022-02-04,12.5
2022-02-05,16.34615
2022-02-06,13.14102
2022-02-07,16.34615
2022-02-08,11.53846
2022-02-09,11.53846
2022-02-10,8.01282
2022-02-11,15.70512
2022-02-12,9.61538
2022-02-13,8.65384
2022-02-14,16.34615
2022-02-15,13.14102
2022-02-16,12.82051
2022-02-17,13.46153
2022-02-18,7.05128
2022-02-19,10.57692
2022-02-20,11.85897
2022-02-21,8.97435
2022-02-22,11.53846
2022-02-23,16.66666
2022-02-24,17.94871
2022-02-25,11.21794
2022-02-26,13.78205
2022-02-27,15.0641
2022-02-28,11.53846
2022-03-01,13.46153
2022-03-02,42.6282
2022-03-03,41.02564
2022-03-04,21.47435
2022-03-05,18.58974
2022-03-06,21.47435
2022-03-07,34.93589
2022-03-08,36.85897
2022-03-09,26.92307
2022-03-10,41.98717
2022-03-11,32.05128
2022-03-12,17.30769
2022-03-13,27.24358
2022-03-14,53.52564
2022-03-15,38.46153
2022-03-16,35.25641
2022-03-17,27.24358
2022-03-18,33.33333
2022-03-19,29.48717
2022-03-20,37.5
2022-03-21,34.93589
2022-03-22,36.85897
2022-03-23,39.42307
2022-03-24,35.25641
2022-03-25,35.25641
2022-03-26,17.6282
2022-03-27,27.5641
2022-03-28,34.93589
2022-03-29,31.73076
2022-03-30,26.92307
2022-03-31,24.35897
2022-04-01,23.39743
2022-04-02,14.74358
2022-04-03,26.28205
2022-04-04,37.82051
2022-04-05,24.35897
2022-04-06,33.65384
2022-04-07,28.20512
2022-04-08,12.17948
2022-04-09,12.82051
2022-04-10,17.94871
2022-04-11,26.92307
2022-04-12,19.23076
2022-04-13,20.51282
2022-04-14,30.44871
2022-04-15,22.75641
2022-04-16,23.39743
2022-04-17,19.23076
2022-04-18,22.11538
2022-04-19,25.0
2022-04-20,27.24358
2022-04-21,25.32051
2022-04-22,21.79487
2022-04-23,11.21794
2022-04-24,14.74358
2022-04-25,25.96153
2022-04-26,16.98717
2022-04-27,23.71794
2022-04-28,18.26923
2022-04-29,15.70512
2022-04-30,14.42307
2022-05-01,20.51282
2022-05-02,29.48717
2022-05-03,21.15384
2022-05-04,15.38461
2022-05-05,13.78205
2022-05-06,20.83333
2022-05-07,15.38461
2022-05-08,18.91025
2022-05-09,22.75641
2022-05-10,25.32051
2022-05-11,22.43589
2022-05-12,32.05128
2022-05-13,24.35897
2022-05-14,17.94871
2022-05-15,23.71794
2022-05-16,30.1282
2022-05-17,33.33333
2022-05-18,27.24358
2022-05-19,25.0
2022-05-20,17.94871
2022-05-21,14.42307
2022-05-22,14.74358
2022-05-23,23.71794
2022-05-24,33.33333
2022-05-25,26.60256
2022-05-26,26.60256
2022-05-27,16.34615
2022-05-28,17.6282
2022-05-29,20.1923
2022-05-30,30.76923
2022-05-31,28.20512
2022-06-01,17.30769
2022-06-02,20.1923
2022-06-03,24.35897
2022-06-04,11.21794
2022-06-05,21.47435
2022-06-06,29.16666
2022-06-07,29.48717
2022-06-08,27.5641
2022-06-09,31.08974
2022-06-10,25.64102
2022-06-11,12.17948
2022-06-12,23.07692
2022-06-13,30.44871
2022-06-14,29.80769
2022-06-15,31.73076
2022-06-16,34.61538
2022-06-17,25.32051
2022-06-18,12.82051
2022-06-19,18.58974
2022-06-20,25.96153
2022-06-21,25.0
2022-06-22,25.96153
2022-06-23,33.33333
2022-06-24,15.38461
2022-06-25,9.29487
2022-06-26,18.26923
2022-06-27,23.07692
2022-06-28,23.39743
2022-06-29,20.51282
2022-06-30,19.87179
2022-07-01,16.34615
2022-07-02,14.10256
2022-07-03,10.89743
2022-07-04,22.11538
2022-07-05,27.24358
2022-07-06,25.96153
2022-07-07,26.60256
2022-07-08,24.67948
2022-07-09,14.74358
2022-07-10,12.5
2022-07-11,15.70512
2022-07-12,23.71794
2022-07-13,25.64102
2022-07-14,16.02564
2022-07-15,12.17948
2022-07-16,9.29487
2022-07-17,15.38461
2022-07-18,11.85897
2022-07-19,11.53846
2022-07-20,10.25641
2022-07-21,11.21794
2022-07-22,11.85897
2022-07-23,12.5
2022-07-24,8.97435
2022-07-25,8.01282
2022-07-26,10.57692
2022-07-27,10.89743
2022-07-28,8.97435
2022-07-29,10.25641
2022-07-30,7.05128
2022-07-31,5.44871
2022-08-01,7.37179
2022-08-02,7.05128
2022-08-03,12.82051
2022-08-04,14.10256
2022-08-05,12.17948
2022-08-06,10.57692
2022-08-07,9.29487
2022-08-08,7.6923
2022-08-09,12.5
2022-08-10,8.65384
2022-08-11,9.93589
2022-08-12,8.01282
2022-08-13,6.73076
2022-08-14,7.05128
2022-08-15,8.97435
2022-08-16,9.29487
2022-08-17,21.47435
2022-08-18,21.47435
2022-08-19,17.6282
2022-08-20,10.89743
2022-08-21,11.53846
2022-08-22,24.35897
2022-08-23,18.58974
2022-08-24,23.39743
2022-08-25,19.87179
2022-08-26,18.91025
2022-08-27,9.29487
2022-08-28,8.01282
2022-08-29,15.0641
2022-08-30,20.83333
2022-08-31,12.82051
2022-09-01,39.10256
2022-09-02,20.51282
2022-09-03,14.10256
2022-09-04,20.83333
2022-09-05,31.73076
2022-09-06,34.61538
2022-09-07,29.80769
2022-09-08,17.94871
2022-09-09,9.29487
2022-09-10,8.01282
2022-09-11,10.25641
2022-09-12,19.23076
2022-09-13,34.93589
2022-09-14,22.11538
2022-09-15,30.76923
2022-09-16,29.80769
2022-09-17,12.17948
2022-09-18,15.0641
2022-09-19,25.96153
2022-09-20,20.1923
2022-09-21,20.1923
2022-09-22,17.30769
2022-09-23,20.1923
2022-09-24,15.0641
2022-09-25,8.97435
2022-09-26,21.15384
2022-09-27,16.98717
2022-09-28,11.85897
2022-09-29,14.74358
2022-09-30,17.30769
2022-10-01,10.25641
2022-10-02,10.25641
2022-10-03,13.46153
2022-10-04,17.6282
2022-10-05,23.07692
2022-10-06,26.28205
2022-10-07,26.60256
2022-10-08,5.1282
2022-10-09,13.14102
2022-10-10,16.02564
2022-10-11,18.91025
2022-10-12,17.6282
2022-10-13,30.76923
2022-10-14,15.38461
2022-10-15,13.78205
2022-10-16,17.6282
2022-10-17,25.96153
2022-10-18,20.51282
2022-10-19,25.0
2022-10-20,22.75641
2022-10-21,20.51282
2022-10-22,11.53846
2022-10-23,19.23076
2022-10-24,23.07692
2022-10-25,26.60256
2022-10-26,25.96153
2022-10-27,15.70512
2022-10-28,14.74358
2022-10-29,11.21794
2022-10-30,16.98717
2022-10-31,34.93589
2022-11-01,20.1923
2022-11-02,16.02564
2022-11-03,25.64102
2022-11-04,17.94871
2022-11-05,10.89743
2022-11-06,9.93589
2022-11-07,22.75641
2022-11-08,21.79487
2022-11-09,19.55128
2022-11-10,21.79487
2022-11-11,20.51282
2022-11-12,14.42307
2022-11-13,13.78205
2022-11-14,47.43589
2022-11-15,34.61538
2022-11-16,20.51282
2022-11-17,20.1923
2022-11-18,28.20512
2022-11-19,18.58974
2022-11-20,22.43589
2022-11-21,27.88461
2022-11-22,28.20512
2022-11-23,23.07692
2022-11-24,27.88461
2022-11-25,33.01282
2022-11-26,16.02564
2022-11-27,15.70512
2022-11-28,28.20512
2022-11-29,24.03846
2022-11-30,23.39743
2022-12-01,22.43589
2022-12-02,21.15384
2022-12-03,11.85897
2022-12-04,15.38461
2022-12-05,23.39743
2022-12-06,15.0641
2022-12-07,14.74358
2022-12-08,11.85897
2022-12-09,16.66666
2022-12-10,11.85897
2022-12-11,11.53846
2022-12-12,18.58974
2022-12-13,14.74358
2022-12-14,19.55128
2022-12-15,15.0641
2022-12-16,19.23076
2022-12-17,8.65384
2022-12-18,20.83333
2022-12-19,11.53846
2022-12-20,20.51282
2022-12-21,14.74358
2022-12-22,10.25641
2022-12-23,8.33333
2022-12-24,6.73076
2022-12-25,7.05128
2022-12-26,10.57692
2022-12-27,8.01282
2022-12-28,8.01282
2022-12-29,8.97435
2022-12-30,7.6923
2022-12-31,7.37179
2023-01-01,9.29487
2023-01-02,8.97435
2023-01-03,13.46153
2023-01-04,6.08974
2023-01-05,7.05128
2023-01-06,13.14102
2023-01-07,10.25641
2023-01-08,9.93589
2023-01-09,10.25641
2023-01-10,13.46153
2023-01-11,8.97435
2023-01-12,8.33333
2023-01-13,10.57692
2023-01-14,10.25641
2023-01-15,16.66666
2023-01-16,12.82051
2023-01-17,16.34615
2023-01-18,18.26923
2023-01-19,10.57692
2023-01-20,8.65384
