date,실비보험추천
2022-04-03,6.45879
2022-04-04,16.48106
2022-04-05,12.69487
2022-04-06,16.70378
2022-04-07,11.13585
2022-04-08,12.91759
2022-04-09,6.68151
2022-04-10,6.90423
2022-04-11,13.58574
2022-04-12,16.48106
2022-04-13,18.48552
2022-04-14,17.81737
2022-04-15,13.58574
2022-04-16,6.90423
2022-04-17,6.23608
2022-04-18,17.14922
2022-04-19,14.03118
2022-04-20,13.36302
2022-04-21,15.36748
2022-04-22,11.804
2022-04-23,6.45879
2022-04-24,6.45879
2022-04-25,15.14476
2022-04-26,14.47661
2022-04-27,12.69487
2022-04-28,17.14922
2022-04-29,12.91759
2022-04-30,6.68151
2022-05-01,6.68151
2022-05-02,16.25835
2022-05-03,16.9265
2022-05-04,10.69042
2022-05-05,5.34521
2022-05-06,11.13585
2022-05-07,5.12249
2022-05-08,6.45879
2022-05-09,19.15367
2022-05-10,14.25389
2022-05-11,18.70824
2022-05-12,15.14476
2022-05-13,11.13585
2022-05-14,8.90868
2022-05-15,4.67706
2022-05-16,16.9265
2022-05-17,11.13585
2022-05-18,14.47661
2022-05-19,14.25389
2022-05-20,13.36302
2022-05-21,5.34521
2022-05-22,5.79064
2022-05-23,16.25835
2022-05-24,15.14476
2022-05-25,14.47661
2022-05-26,9.57683
2022-05-27,13.14031
2022-05-28,7.34966
2022-05-29,6.45879
2022-05-30,14.25389
2022-05-31,11.13585
2022-06-01,10.02227
2022-06-02,8.24053
2022-06-03,10.91314
2022-06-04,4.23162
2022-06-05,5.79064
2022-06-06,7.7951
2022-06-07,15.36748
2022-06-08,17.81737
2022-06-09,17.59465
2022-06-10,11.58129
2022-06-11,6.23608
2022-06-12,4.23162
2022-06-13,13.36302
2022-06-14,15.81291
2022-06-15,13.36302
2022-06-16,10.91314
2022-06-17,12.69487
2022-06-18,10.02227
2022-06-19,5.56792
2022-06-20,18.2628
2022-06-21,15.81291
2022-06-22,14.47661
2022-06-23,13.80846
2022-06-24,12.69487
2022-06-25,4.23162
2022-06-26,8.01781
2022-06-27,15.81291
2022-06-28,19.82182
2022-06-29,14.47661
2022-06-30,12.47216
2022-07-01,8.46325
2022-07-02,6.45879
2022-07-03,8.46325
2022-07-04,15.5902
2022-07-05,15.14476
2022-07-06,12.47216
2022-07-07,12.91759
2022-07-08,14.69933
2022-07-09,10.69042
2022-07-10,5.12249
2022-07-11,22.71714
2022-07-12,16.9265
2022-07-13,18.04008
2022-07-14,16.03563
2022-07-15,13.36302
2022-07-16,6.23608
2022-07-17,7.34966
2022-07-18,15.5902
2022-07-19,11.804
2022-07-20,17.14922
2022-07-21,13.58574
